Date,Year,Quarter,United States ,Inside MSAs,Inside Principal Cities1,Outside Principal Cities1 (Suburbs),Outside MSAs,Northeast,Midwest2,South,West,Month
1956-01-01,1956,1,6.2,4.8,,,8.9,3.3,5.2,7.9,9.7,1
1956-04-01,1956,2,5.9,4.8,,,8.1,2.7,5.3,8.1,9.3,4
1956-07-01,1956,3,6.3,5.1,,,8.3,3.3,6.3,8.5,8.3,7
1956-10-01,1956,4,5.8,4.6,,,8.0,3.1,5.6,8.1,7.4,10
1957-01-01,1957,1,5.3,4.2,,,7.1,3.5,5.0,6.4,6.9,1
1957-04-01,1957,2,5.3,4.1,,,7.5,3.3,4.8,6.4,7.9,4
1957-07-01,1957,3,5.7,4.7,,,7.2,3.6,5.8,6.6,7.5,7
1957-10-01,1957,4,5.8,4.4,,,8.5,3.5,6.1,7.1,7.3,10
1958-01-01,1958,1,6.3,4.9,,,8.8,3.7,7.0,7.8,7.1,1
1958-04-01,1958,2,6.5,5.2,,,9.2,3.7,7.5,8.0,8.0,4
1958-07-01,1958,3,6.3,5.2,,,8.3,3.7,7.2,7.4,7.9,7
1958-10-01,1958,4,6.6,5.0,,,9.3,3.9,7.6,8.3,6.7,10
1959-01-01,1959,1,6.8,5.1,,,9.7,3.9,7.6,9.0,6.9,1
1959-04-01,1959,2,7.3,5.5,,,10.7,3.7,6.9,10.0,9.5,4
1959-07-01,1959,3,7.2,5.4,,,10.2,3.8,6.7,9.7,9.0,7
1959-10-01,1959,4,7.0,5.7,,,9.4,3.9,7.3,8.9,8.9,10
1960-01-01,1960,1,8.0,6.6,,,10.4,5.1,8.3,9.4,10.1,1
1960-04-01,1960,2,8.0,6.8,,,10.4,4.9,8.1,9.2,11.1,4
1960-07-01,1960,3,8.3,7.4,,,9.9,5.0,8.6,9.8,10.7,7
1960-10-01,1960,4,8.4,7.2,,,10.5,4.5,8.3,9.8,12.3,10
1961-01-01,1961,1,8.9,7.8,,,10.6,5.3,9.2,10.1,11.4,1
1961-04-01,1961,2,8.8,7.8,,,11.0,5.0,9.5,10.7,11.2,4
1961-07-01,1961,3,8.6,7.5,,,10.6,4.9,9.0,10.8,9.9,7
1961-10-01,1961,4,8.5,7.4,,,10.3,4.4,9.4,10.4,10.2,10
