,amenity,longitude,latitude
0,restaurant,-96.8240399,32.9544031
1,restaurant,-96.8261066,32.9618042
2,pub,-96.8255552,32.9616566
3,restaurant,-96.826396,32.9615841
4,police,-96.8274823,32.9616121
5,post_office,-96.8247328,32.9620834
6,fountain,-96.8265917,32.9610319
7,restaurant,-96.8233508,32.9534563
8,fast_food,-96.8246893,32.9535165
9,cafe,-96.8244036,32.9534448
10,restaurant,-96.8254658,32.9534178
11,restaurant,-96.8241696,32.9534628
12,fast_food,-96.8530122,32.953634
13,fast_food,-96.8179517,32.9536858
14,theatre,-96.8267301,32.953715
15,fast_food,-96.8270646,32.9545074
16,restaurant,-96.826848,32.9536831
17,toilets,-96.8268856,32.9613289
18,parking_entrance,-96.8234169,32.9571463
19,parking_entrance,-96.8236734,32.9572942
20,parking_entrance,-96.8253556,32.9580075
21,parking_entrance,-96.8240972,32.9585836
22,parking_entrance,-96.825355,32.9587759
23,parking_entrance,-96.8226178,32.9600973
24,restaurant,-96.8147727,32.9536787
25,restaurant,-96.8166931,32.9535323
26,restaurant,-96.8198444,32.9517858
27,restaurant,-96.8193412,32.9518162
28,restaurant,-96.822022,32.9518219
29,fast_food,-96.8384943,32.9548796
30,cafe,-96.8261021,32.9628439
31,dentist,-96.8254731,32.9611641
32,restaurant,-96.8252885,32.9614515
33,restaurant,-96.8245932,32.9613975
34,bench,-96.825708,32.9611598
35,bench,-96.8256411,32.9612337
36,waste_basket,-96.8255938,32.9613858
37,parking_entrance,-96.8225469,32.9614802
38,parking_entrance,-96.8225846,32.9615527
39,parking_entrance,-96.8226307,32.9616414
40,parking_entrance,-96.8235131,32.962798
41,parking_entrance,-96.8272263,32.9630699
42,parking_entrance,-96.827225,32.9631286
43,bench,-96.8252529,32.9636774
44,bench,-96.8252759,32.9637037
45,bench,-96.8252925,32.9637377
46,bench,-96.8252833,32.9637933
47,bench,-96.825275,32.9638173
48,bench,-96.8252621,32.9638413
49,bench,-96.8274723,32.9642514
50,bench,-96.8275146,32.9642525
51,bench,-96.8275546,32.964252
52,bench,-96.8275961,32.964252
53,bench,-96.8276371,32.9642522
54,bench,-96.8276772,32.9642528
55,restaurant,-96.8308997,32.97747
56,restaurant,-96.829267,32.953203
57,restaurant,-96.8404813,32.9500654
58,fast_food,-96.8536192,32.952708
59,parking_entrance,-96.8236277,32.9648846
60,parking_entrance,-96.8396947,32.9430856
61,fountain,-96.817298,32.9504958
62,fountain,-96.8108429,32.953561
63,place_of_worship,-96.8108263,32.9469265
64,restaurant,-96.817687,32.9506218
65,pub,-96.8302318,32.9591769
66,parking_entrance,-96.8268316,32.969061
67,parking_entrance,-96.8489235,32.9369698
68,parking_entrance,-96.8526462,32.9345391
69,fountain,-96.8253076,32.9696501
70,fountain,-96.8251178,32.9707413
71,bank,-96.8248061,32.9753437
72,charging_station,-96.8208701,32.9528648
73,charging_station,-96.8213124,32.9539131
74,bench,-96.8131408,32.9482139
75,bench,-96.8134922,32.9474408
76,bench,-96.8138865,32.9482533
77,parking_entrance,-96.8214958,32.9504592
78,parking_entrance,-96.8213719,32.9501277
79,parking_entrance,-96.8259564,32.9457707
80,parking_entrance,-96.8265504,32.951329
81,parking_entrance,-96.8259942,32.9453323
82,parking_entrance,-96.8259935,32.9453042
83,parking_entrance,-96.8259722,32.9442924
84,parking_entrance,-96.8259734,32.944334
85,cigar_bar,-96.8378291,32.9548857
86,fast_food,-96.8266643,32.9537321
87,restaurant,-96.8235515,32.953456
88,theatre,-96.8414127,32.942381
89,cafe,-96.8393546,32.9429922
90,post_box,-96.8256426,32.9507338
91,bar,-96.8230612,32.9618061
92,parking_entrance,-96.8263943,32.9510702
93,clinic,-96.8398652,32.9474498
94,fast_food,-96.8548419,32.9527849
95,dentist,-96.8534387,32.9527074
96,ice_cream,-96.8533389,32.952704
97,fast_food,-96.8532671,32.9527032
98,restaurant,-96.8543925,32.9526592
99,prep_school,-96.8509515,32.950746
100,restaurant,-96.8507734,32.950678
101,post_office,-96.8402111,32.9547918
102,fast_food,-96.8536195,32.9526814
103,parking_entrance,-96.8486458,32.9542874
104,restaurant,-96.8208089,32.9537352
105,toilets,-96.8542927,32.9509415
106,parking_entrance,-96.8241274,32.9526492
107,parking_entrance,-96.8237955,32.9632037
108,parking_entrance,-96.8282498,32.9633066
