,amenity,longitude,latitude
0,school,-81.5515074,41.0683889
1,place_of_worship,-81.4773362,41.1058894
2,school,-81.5490073,41.0433889
3,school,-81.5265059,41.0550557
4,school,-81.5084489,41.0964448
5,school,-81.5107681,41.0536002
6,school,-81.5040042,41.1017226
7,school,-81.5111214,41.0383455
8,school,-81.557341,41.062
9,school,-81.5681748,41.0986666
10,school,-81.548193,41.0690577
11,place_of_worship,-81.5609525,41.0464444
12,place_of_worship,-81.5665081,41.0989444
13,school,-81.5651193,41.0667222
14,school,-81.4321829,41.0539236
15,school,-81.4948289,41.0988374
16,school,-81.5159496,41.0514447
17,place_of_worship,-81.5876207,41.060611
18,place_of_worship,-81.4937262,41.0531115
19,place_of_worship,-81.4920594,41.0542227
20,place_of_worship,-81.491226,41.0533893
21,place_of_worship,-81.4906704,41.0545004
22,place_of_worship,-81.4901149,41.0545004
23,place_of_worship,-81.4853925,41.0539449
24,place_of_worship,-81.4812256,41.0561671
25,place_of_worship,-81.4715029,41.0622783
26,place_of_worship,-81.4584467,41.0603339
27,place_of_worship,-81.491226,41.0611671
28,place_of_worship,-81.4903927,41.0561671
29,place_of_worship,-81.4890037,41.0603338
30,place_of_worship,-81.4853924,41.0617227
31,place_of_worship,-81.4865036,41.060056
32,place_of_worship,-81.4865036,41.0595004
33,place_of_worship,-81.4865036,41.0592227
34,place_of_worship,-81.4862258,41.0589449
35,place_of_worship,-81.4640024,41.0742228
36,place_of_worship,-81.464558,41.0731117
37,place_of_worship,-81.4678915,41.0750561
38,place_of_worship,-81.4715028,41.0700561
39,place_of_worship,-81.4740029,41.0728339
40,place_of_worship,-81.4756696,41.0742228
41,place_of_worship,-81.4762252,41.0750561
42,place_of_worship,-81.4656691,41.0845005
43,place_of_worship,-81.4620578,41.0870005
44,place_of_worship,-81.4637245,41.0881117
45,place_of_worship,-81.4665024,41.0942228
46,place_of_worship,-81.4953926,41.1158893
47,place_of_worship,-81.4951149,41.0958893
48,place_of_worship,-81.4873367,41.0936671
49,school,-81.4770584,41.1061672
50,place_of_worship,-81.4770584,41.1070005
51,place_of_worship,-81.4744799,41.0845546
52,place_of_worship,-81.4927458,41.0803237
53,place_of_worship,-81.4973373,41.0775559
54,place_of_worship,-81.4898369,41.0739449
55,school,-81.4879803,41.0724796
56,place_of_worship,-81.4828922,41.070056
57,place_of_worship,-81.4928927,41.0703338
58,place_of_worship,-81.4909481,41.0703338
59,place_of_worship,-81.4901148,41.0697782
60,place_of_worship,-81.4903926,41.0672782
61,place_of_worship,-81.4931704,41.0739449
62,place_of_worship,-81.4917814,41.0728338
63,place_of_worship,-81.4542796,41.0839451
64,place_of_worship,-81.4540021,41.0522784
65,place_of_worship,-81.446224,41.0433895
66,place_of_worship,-81.444835,41.0492229
67,place_of_worship,-81.4456683,41.0564451
68,place_of_worship,-81.4362235,41.0531119
69,place_of_worship,-81.4351124,41.0458896
70,place_of_worship,-81.436779,41.0453341
71,place_of_worship,-81.4281675,41.044223
72,place_of_worship,-81.4287232,41.0450563
73,place_of_worship,-81.4334456,41.041723
74,place_of_worship,-81.4372817,41.0458588
75,place_of_worship,-81.4303898,41.0728341
76,place_of_worship,-81.4428904,41.0711673
77,place_of_worship,-81.4415014,41.0792229
78,place_of_worship,-81.4476128,41.0689451
79,place_of_worship,-81.4949687,41.0562642
80,place_of_worship,-81.5668428,41.0321444
81,place_of_worship,-81.5662306,41.0419999
