,amenity,longitude,latitude
0,school,-73.7872561,42.646032
1,university,-73.7857729,42.6637127
2,school,-73.7832252,42.6644149
3,school,-73.7898055,42.6417835
4,school,-73.8162186,42.6735855
5,fountain,-73.8239299,42.6861657
6,place_of_worship,-73.7600293,42.6409845
7,place_of_worship,-73.7611111,42.6402778
8,place_of_worship,-73.7590862,42.6398909
9,school,-73.7613889,42.6544444
10,kindergarten,-73.7644816,42.661196
11,college,-73.788769,42.6805698
12,place_of_worship,-73.7727778,42.6425
13,school,-73.7618211,42.6456883
14,school,-73.7811111,42.6422222
15,college,-73.8076355,42.6583058
16,school,-73.8355556,42.6508333
17,school,-73.7783333,42.6413889
18,school,-73.795258,42.6430791
19,school,-73.7667292,42.6617245
20,college,-73.8630317,42.7053426
21,research_institute,-73.8252424,42.6876318
22,fire_station,-73.7685031,42.659282
23,fire_station,-73.7743223,42.6680604
24,library,-73.7705695,42.6602358
25,library,-73.7714263,42.6616312
26,research_institute,-73.7711328,42.6605868
27,police,-73.7909741,42.6660185
28,post_office,-73.7526497,42.6478495
29,bank,-73.7523476,42.6498792
30,bank,-73.7528209,42.6502037
31,bank,-73.7527276,42.6495105
32,bank,-73.7520568,42.6491648
33,bank,-73.7513589,42.6492998
34,bank,-73.7518459,42.6490557
35,restaurant,-73.7532592,42.6494573
36,cafe,-73.7526782,42.6503233
37,bank,-73.7537741,42.6476577
38,pharmacy,-73.7521307,42.6502635
39,pub,-73.7429464,42.6613564
40,bar,-73.7514854,42.652827
41,restaurant,-73.7486679,42.6533342
42,restaurant,-73.7477348,42.6540692
43,bar,-73.7509665,42.6483796
44,nightclub,-73.7530564,42.6496416
45,car_rental,-73.7541951,42.6480823
46,atm,-73.754138,42.6481599
47,fast_food,-73.7539281,42.6487036
48,fast_food,-73.7539756,42.6485929
49,fast_food,-73.7531867,42.6495143
50,fast_food,-73.7516378,42.6505308
51,fast_food,-73.7516557,42.6508803
52,restaurant,-73.7516606,42.6532897
53,police,-73.8514282,42.7016258
54,restaurant,-73.8502478,42.7016954
55,restaurant,-73.8589999,42.7063338
56,fire_station,-73.8512733,42.7013406
57,community_centre,-73.8529538,42.7029206
58,fast_food,-73.847426,42.6955689
59,fast_food,-73.7490473,42.6756786
60,bank,-73.7487192,42.6759097
61,post_box,-73.7524461,42.649831
62,post_box,-73.7526699,42.6477664
63,theatre,-73.771831,42.6562616
64,restaurant,-73.7769766,42.6428833
65,bar,-73.7767339,42.6429849
66,parking_entrance,-73.7605564,42.6510807
67,parking_entrance,-73.761024,42.6506257
68,parking,-73.7622859,42.6496191
69,toilets,-73.7610752,42.6498832
