,amenity,longitude,latitude
0,school,-90.1480911,38.8902933
1,grave_yard,-90.1237189,38.8858811
2,place_of_worship,-90.1981657,38.9067148
3,school,-90.1948322,38.906437
4,school,-90.1438956,38.9029709
5,school,-90.1461832,38.9013457
6,cafe,-90.1367749,38.9161587
7,school,-90.1528865,38.9044922
8,school,-90.130108,38.8906034
9,school,-90.1823318,38.8914371
10,school,-90.1928878,38.8969926
11,school,-90.1498308,38.9089367
12,school,-90.1870542,38.9206035
13,school,-90.1437307,38.9078643
14,school,-90.1512197,38.8953257
15,school,-90.1778873,38.8908815
16,place_of_worship,-90.1481641,38.8914368
17,place_of_worship,-90.1456641,38.8947701
18,place_of_worship,-90.1806652,38.91977
19,place_of_worship,-90.1660028,38.9054253
20,place_of_worship,-90.1483561,38.9084022
21,place_of_worship,-90.1959434,38.9106036
22,place_of_worship,-90.1467752,38.893659
23,school,-90.1695536,38.8908814
24,place_of_worship,-90.1395527,38.8994922
25,school,-90.1673314,38.9050479
26,place_of_worship,-90.1862209,38.921159
27,place_of_worship,-90.1468727,38.9035356
28,post_office,-90.1483624,38.9020965
29,parking,-90.1808967,38.8875056
30,parking,-90.1590002,38.9081771
31,parking,-90.1101958,38.9085889
32,parking,-90.1101672,38.9070114
33,parking,-90.1775276,38.8869178
34,clinic,-90.1716783,38.9189878
35,fast_food,-90.1705029,38.9190005
36,atm,-90.1610347,38.8880055
37,fuel,-90.1493473,38.9003405
38,fast_food,-90.1485434,38.9014401
39,restaurant,-90.1768076,38.8903517
40,casino,-90.1867366,38.8892403
41,fast_food,-90.1741629,38.8896133
42,atm,-90.1750811,38.8907148
43,restaurant,-90.1887134,38.8910024
44,restaurant,-90.1887076,38.8910503
45,restaurant,-90.1453859,38.9169878
46,waste_disposal,-90.1912613,38.9227287
47,toilets,-90.1123704,38.9064926
48,bench,-90.1135363,38.9052414
49,restaurant,-90.1624906,38.9163259
50,fast_food,-90.1617161,38.9163412
51,dentist,-90.1633272,38.9172904
52,fast_food,-90.1659829,38.9191431
53,library,-90.1749471,38.9245749
54,restaurant,-90.175454,38.9233638
55,courthouse,-90.186708,38.8931625
56,charging_station,-90.161577,38.916946
57,events_venue,-90.1862586,38.8921304
58,loading_dock,-90.1643792,38.9212699
59,loading_dock,-90.1643783,38.9212361
60,loading_dock,-90.1643773,38.9212024
61,restaurant,-90.1755398,38.8890553
