,amenity,longitude,latitude
0,school,-99.2978634,34.6614581
1,school,-99.3378643,34.6470139
2,place_of_worship,-99.3355623,34.6381538
3,place_of_worship,-99.334751,34.6652614
4,place_of_worship,-99.3213909,34.6499394
5,place_of_worship,-99.3269717,34.6671195
6,place_of_worship,-99.316475,34.6242373
7,place_of_worship,-99.3342639,34.6445625
8,place_of_worship,-99.3236973,34.6456253
9,place_of_worship,-99.3192528,34.6489584
10,place_of_worship,-99.3139749,34.6522916
11,place_of_worship,-99.3325864,34.639792
12,place_of_worship,-99.3325864,34.6400698
13,place_of_worship,-99.3009286,34.6452057
14,place_of_worship,-99.3239751,34.6478474
15,place_of_worship,-99.3167528,34.6336813
16,place_of_worship,-99.3273085,34.6364589
17,place_of_worship,-99.3347623,34.6607531
18,place_of_worship,-99.3128638,34.6522917
19,school,-99.3317531,34.6486806
20,post_office,-99.3362703,34.6402781
21,cafe,-99.334387,34.6397312
22,social_facility,-99.3172766,34.6663943
23,veterinary,-99.315961,34.6663563
24,dentist,-99.3236988,34.6672324
25,fast_food,-99.334412,34.6523905
26,fast_food,-99.334347,34.650721
27,fast_food,-99.3343422,34.6500463
28,fast_food,-99.3343446,34.6489342
29,fast_food,-99.334407,34.6541155
30,fast_food,-99.3345655,34.6560071
31,restaurant,-99.3345487,34.6565008
32,bank,-99.333598,34.6552832
33,police,-99.2993356,34.6464065
34,events_venue,-99.3231799,34.6517459
35,restaurant,-99.3153306,34.6381088
36,restaurant,-99.3160664,34.6381228
37,fast_food,-99.3237455,34.6381588
38,cafe,-99.3239386,34.638147
39,fast_food,-99.3283786,34.6382783
40,restaurant,-99.329523,34.6382665
41,restaurant,-99.3321977,34.6374154
42,fast_food,-99.3317497,34.6375133
43,restaurant,-99.3305901,34.637483
44,bank,-99.3349092,34.674402
