,amenity,longitude,latitude
0,drinking_water,-77.1060703,38.8844955
1,drinking_water,-77.1049859,38.8911349
2,fuel,-77.0726494,38.8963749
3,parking_entrance,-77.063962,38.8828544
4,parking_entrance,-77.0640782,38.8828149
5,parking_entrance,-77.0629243,38.8811028
6,bicycle_parking,-77.082935,38.8996281
7,school,-77.10784,38.86167
8,school,-77.1257791,38.8580033
9,school,-77.1043985,38.8712235
10,place_of_worship,-77.1124487,38.8682541
11,post_office,-77.1041553,38.8737605
12,grave_yard,-77.1268914,38.905308
13,grave_yard,-77.0991451,38.8515014
14,kindergarten,-77.1263517,38.9014367
15,grave_yard,-77.0752586,38.8701859
16,place_of_worship,-77.1124793,38.8681466
17,post_office,-77.1043897,38.873561
18,school,-77.093249,38.864799
19,school,-77.0991,38.88542
20,school,-77.0898515,38.8927746
21,school,-77.1348,38.91367
22,school,-77.1028474,38.9013353
23,library,-77.1001766,38.885012
24,library,-77.1002563,38.8851119
25,police,-77.0832045,38.8899085
26,police,-77.0830812,38.8899223
27,parking_entrance,-77.1055235,38.8807525
28,bicycle_parking,-77.0665191,38.8954753
29,drinking_water,-77.0595061,38.8696882
30,bicycle_parking,-77.0596005,38.8695212
31,drinking_water,-77.0768778,38.8800457
32,drinking_water,-77.0733017,38.8761797
33,drinking_water,-77.0732574,38.8766944
34,toilets,-77.0726367,38.8762728
35,drinking_water,-77.0736506,38.8773462
36,bicycle_parking,-77.0672237,38.8688454
37,bank,-77.0851889,38.8918304
38,bank,-77.0859673,38.8909384
39,cafe,-77.0860668,38.8914406
40,parking_entrance,-77.0922275,38.8875832
41,pharmacy,-77.0853067,38.8910272
42,bench,-77.0718902,38.8823301
43,bench,-77.0725833,38.8814295
44,bench,-77.0724652,38.8808936
45,bench,-77.0724481,38.8817488
46,bench,-77.0695298,38.8891063
47,bench,-77.0697616,38.8893335
48,bench,-77.0700534,38.889407
49,bench,-77.0695127,38.8892065
50,drinking_water,-77.0705772,38.8898007
51,drinking_water,-77.0705184,38.891117
52,bench,-77.0674441,38.8853316
53,bench,-77.067427,38.8863071
54,bench,-77.0675386,38.8872157
55,bench,-77.0697702,38.8831201
56,drinking_water,-77.0711938,38.8833377
57,bench,-77.073113,38.8809854
58,bench,-77.0732549,38.8807399
59,bureau_de_change,-77.0628078,38.8649906
60,bench,-77.0675557,38.8876817
61,waste_disposal,-77.0660046,38.8705756
62,drinking_water,-77.0602024,38.8728861
63,flower_containers,-77.0609921,38.87314
64,flower_containers,-77.0595759,38.8733071
65,waste_disposal,-77.0610178,38.87314
66,waste_disposal,-77.059593,38.8732937
67,waste_disposal,-77.0593355,38.8752181
68,flower_containers,-77.0594385,38.8748707
69,waste_disposal,-77.05943,38.874844
70,waste_disposal,-77.0621079,38.874864
71,waste_disposal,-77.0620907,38.8738884
72,waste_disposal,-77.0616186,38.8721594
73,bench,-77.0703069,38.8870638
74,bench,-77.0701181,38.8870037
75,waste_disposal,-77.069277,38.8861819
76,waste_disposal,-77.0701267,38.8854937
77,bench,-77.06938,38.8836564
78,bench,-77.0693628,38.883623
79,waste_disposal,-77.0668394,38.8871373
80,drinking_water,-77.066848,38.8871573
81,waste_disposal,-77.0713253,38.8702753
82,flower_containers,-77.0712996,38.8702553
83,waste_disposal,-77.0686903,38.8721865
84,bench,-77.06845,38.8710238
85,bench,-77.0685702,38.8708032
86,flower_containers,-77.066124,38.8782137
87,waste_disposal,-77.066124,38.8781803
88,flower_containers,-77.0685959,38.8742045
89,waste_disposal,-77.0686131,38.8742112
90,waste_disposal,-77.0688191,38.8765566
91,flower_containers,-77.0688276,38.8765432
92,waste_disposal,-77.067783,38.881907
93,waste_disposal,-77.0712763,38.8753004
94,bench,-77.0704056,38.8763539
95,bench,-77.0704411,38.8764059
96,bench,-77.0704076,38.8762988
97,bench,-77.0704123,38.8762473
98,bench,-77.0704351,38.8762092
99,waste_disposal,-77.0707356,38.8766168
100,flower_containers,-77.0707356,38.8766301
101,waste_disposal,-77.0709416,38.8757748
102,bench,-77.0720491,38.8756942
103,bench,-77.0707957,38.8763946
104,bench,-77.0708128,38.8762275
105,waste_disposal,-77.0728813,38.8756395
106,bench,-77.0728127,38.8756262
107,bench,-77.0720933,38.8757036
108,bench,-77.0720745,38.875693
109,waste_disposal,-77.0604714,38.8786748
110,waste_disposal,-77.061673,38.8794633
111,waste_disposal,-77.0638445,38.8750198
112,waste_disposal,-77.0621966,38.8767906
113,waste_disposal,-77.0643852,38.8749731
114,waste_disposal,-77.0613801,38.8758999
115,waste_disposal,-77.0613903,38.8758001
116,waste_disposal,-77.0606691,38.875865
117,waste_disposal,-77.060677,38.8757635
118,waste_disposal,-77.0617947,38.8757459
119,parking,-77.0494029,38.8612116
120,parking_entrance,-77.0497436,38.8555086
121,parking_entrance,-77.062329,38.8642083
122,pharmacy,-77.0631491,38.8621971
123,parking_entrance,-77.0627315,38.8623069
124,parking_entrance,-77.0602669,38.8651192
125,parking_entrance,-77.0604933,38.8651977
126,atm,-77.0922904,38.861572
127,bench,-77.0733987,38.8791468
128,bench,-77.0733815,38.8791869
129,bench,-77.0733815,38.8791201
130,bench,-77.0733386,38.8791334
131,drinking_water,-77.0733386,38.8791602
132,waste_disposal,-77.0733214,38.8790933
133,waste_disposal,-77.0730382,38.8730862
134,restaurant,-77.0628941,38.8636498
135,bicycle_parking,-77.0592353,38.8576724
136,drinking_water,-77.061115,38.8595972
137,waste_disposal,-77.0616383,38.8597493
138,waste_disposal,-77.0617842,38.8597359
139,waste_disposal,-77.0617978,38.859887
140,waste_disposal,-77.0608315,38.8592079
141,waste_disposal,-77.0630974,38.8590676
142,waste_disposal,-77.0625438,38.860769
143,bench,-77.0629344,38.8591143
144,drinking_water,-77.0598444,38.8582923
145,waste_disposal,-77.0598959,38.8582722
146,waste_basket,-77.059956,38.8592213
147,waste_basket,-77.060265,38.8592012
148,waste_disposal,-77.0613121,38.859903
149,recycling,-77.0617928,38.8599164
150,recycling,-77.0598874,38.8582989
151,recycling,-77.0613465,38.8598562
152,restaurant,-77.0627941,38.8639013
153,restaurant,-77.0626036,38.8636034
154,cafe,-77.0491962,38.8537314
155,restaurant,-77.0483794,38.853524
156,parking,-77.0490389,38.8532207
157,fast_food,-77.0560317,38.8602604
158,bank,-77.0534606,38.8603849
159,fast_food,-77.0874363,38.890678
160,cafe,-77.086002,38.890166
161,parking,-77.0696351,38.8971295
162,bench,-77.0686277,38.8969564
163,waste_basket,-77.0686472,38.8970345
164,pub,-77.091012,38.8896232
165,restaurant,-77.0788799,38.8942247
166,cafe,-77.0791808,38.8940644
167,restaurant,-77.0787995,38.8942539
168,parking,-77.0746008,38.8949592
169,theatre,-77.0691333,38.8950706
170,parking,-77.0698356,38.8947412
171,cafe,-77.0705613,38.8960729
172,bank,-77.0724548,38.8945903
173,cafe,-77.0714046,38.8936921
174,waste_basket,-77.0714515,38.8936117
175,waste_basket,-77.0717935,38.8935699
176,parking,-77.0729968,38.8952264
177,cafe,-77.07258,38.8946085
178,bench,-77.0830768,38.8924376
179,dentist,-77.0816086,38.89154
180,parking,-77.0814657,38.8916377
181,waste_basket,-77.0737679,38.893912
182,waste_basket,-77.0732364,38.8938448
183,marker,-77.0824071,38.8915645
184,bench,-77.0712289,38.8936858
185,bench,-77.0712195,38.8937036
186,bicycle_parking,-77.069626,38.8941639
187,fast_food,-77.0625527,38.8646365
188,cafe,-77.0625742,38.8645487
189,restaurant,-77.0899888,38.8900738
190,restaurant,-77.0934243,38.8887448
191,bicycle_parking,-77.0732971,38.8985812
192,bicycle_parking,-77.073426,38.8989791
193,bicycle_parking,-77.0734067,38.8988593
194,bank,-77.0705998,38.8965291
195,parking,-77.0705661,38.8961821
196,fast_food,-77.0705227,38.8953405
197,restaurant,-77.0863491,38.8897078
198,shelter,-77.149769,38.8830771
199,restaurant,-77.1419626,38.8854851
200,restaurant,-77.141862,38.8854425
201,waste_basket,-77.0732725,38.8940035
202,bench,-77.0693591,38.8951391
203,parking,-77.0986061,38.8852837
204,restaurant,-77.094503,38.8850514
205,restaurant,-77.0933012,38.8879723
206,fast_food,-77.0939473,38.884279
207,restaurant,-77.0936428,38.8886243
208,restaurant,-77.0939634,38.888415
209,restaurant,-77.0947895,38.887225
210,fast_food,-77.1006934,38.8839606
211,parking,-77.1055531,38.8807566
212,cafe,-77.1036556,38.8829782
213,fast_food,-77.1216787,38.8782583
