,amenity,longitude,latitude
0,bench,-123.8301396,46.1859308
1,pub,-123.8274641,46.1884134
2,bench,-123.8303707,46.1875903
3,bicycle_parking,-123.8300717,46.1882695
4,parking,-123.7807089,46.1891655
5,parking,-123.7818274,46.1889353
6,parking,-123.7789708,46.188811
7,parking,-123.777171,46.1874629
8,parking,-123.7800759,46.188512
9,parking,-123.7761518,46.1865789
10,parking,-123.7785926,46.1892139
11,parking,-123.7791183,46.1893922
12,parking,-123.7777048,46.186889
13,parking,-123.7776753,46.1875817
14,parking,-123.7835601,46.1885176
15,parking,-123.7811193,46.188356
16,restaurant,-123.827941,46.1891712
17,cafe,-123.8082816,46.1925418
18,cafe,-123.7975358,46.1971607
19,restaurant,-123.7979497,46.1966006
20,restaurant,-123.8513916,46.1896803
21,restaurant,-123.8314465,46.1898285
22,restaurant,-123.8319435,46.1894808
23,bench,-123.849828,46.188054
24,cafe,-123.8491164,46.1890941
25,toilets,-123.8170769,46.1811992
26,fountain,-123.7757868,46.1956909
27,post_box,-123.8064467,46.1930417
28,fast_food,-123.8417864,46.1904183
29,restaurant,-123.848332,46.1894205
30,waste_basket,-123.829052,46.1883985
31,bench,-123.8304041,46.1875914
32,pub,-123.8315372,46.190263
33,toilets,-123.7975939,46.1969026
34,restaurant,-123.8322812,46.189873
35,restaurant,-123.8333255,46.1889155
36,arts_centre,-123.8307878,46.1891456
37,restaurant,-123.830389,46.1888488
38,post_box,-123.8314733,46.1889685
39,atm,-123.8321511,46.1889456
40,restaurant,-123.8319258,46.190616
41,fountain,-123.8494446,46.1899524
42,restaurant,-123.8321859,46.19081
43,bar,-123.8319432,46.1907654
44,restaurant,-123.8318357,46.1907662
45,cafe,-123.8273378,46.188432
46,cafe,-123.801222,46.193379
47,music_school,-123.8317119,46.1857491
48,studio,-123.8334685,46.1896224
49,pub,-123.8281932,46.1883518
50,restaurant,-123.8017727,46.1933695
51,parking,-123.8296984,46.1871692
52,bicycle_parking,-123.8345526,46.1891358
53,telephone,-123.8400793,46.1734061
54,public_bookcase,-123.8301875,46.1859348
55,public_bookcase,-123.8410706,46.1862588
56,public_bookcase,-123.8355863,46.1868898
57,fast_food,-123.8581805,46.1853186
58,fast_food,-123.8583631,46.1853788
59,restaurant,-123.8315297,46.1888989
60,fire_station,-123.8114494,46.1907958
61,police,-123.8116774,46.1910446
62,dentist,-123.812246,46.1917669
63,clinic,-123.836266,46.1908441
64,restaurant,-123.8354307,46.1906918
65,bar,-123.83517,46.190696
66,dentist,-123.8233062,46.1880898
67,clinic,-123.8289167,46.1875581
68,bench,-123.8300975,46.1868101
69,bench,-123.8303335,46.1875194
70,cafe,-123.8595704,46.1806382
71,public_bookcase,-123.7999132,46.1912927
72,shelter,-123.8335276,46.1902712
73,shelter,-123.8332055,46.1901749
74,shelter,-123.8330619,46.1902744
75,bank,-123.8444332,46.1904495
76,bicycle_parking,-123.8549486,46.1817375
77,clinic,-123.8182519,46.1888526
78,fuel,-123.8420192,46.1725928
79,shelter,-123.8550092,46.1818013
