,amenity,longitude,latitude
0,grave_yard,-81.9442972,33.4568611
1,cafe,-81.9687185,33.4761094
2,restaurant,-81.9702791,33.4759223
3,restaurant,-81.9696743,33.4764308
4,restaurant,-81.9701292,33.476216
5,parking_entrance,-81.9906207,33.4716462
6,studio,-81.9975938,33.4940624
7,place_of_worship,-82.0362287,33.3612517
8,grave_yard,-82.1803986,33.335697
9,place_of_worship,-82.0217843,33.2573666
10,school,-82.2034547,33.2981981
11,school,-82.1584537,33.3184753
12,grave_yard,-82.0867855,33.3004205
13,grave_yard,-82.0131723,33.4131944
14,place_of_worship,-82.0376173,33.4198608
15,grave_yard,-82.0465068,33.3243086
16,place_of_worship,-82.1145639,33.3131978
17,grave_yard,-82.0156726,33.3659738
18,grave_yard,-82.0501173,33.5273575
19,school,-81.9762229,33.4742477
20,grave_yard,-82.1542865,33.4551376
21,grave_yard,-82.0267838,33.4031947
22,place_of_worship,-82.0933579,33.3223886
23,place_of_worship,-82.0256726,33.4145831
24,school,-82.0228948,33.4195829
25,place_of_worship,-82.0682277,33.2760484
26,grave_yard,-82.0315063,33.3673626
27,school,-82.0931745,33.3173643
28,place_of_worship,-82.0259501,33.4840251
29,grave_yard,-82.1959543,33.3848621
30,school,-81.9984847,33.4443947
31,place_of_worship,-82.0570625,33.338197
32,place_of_worship,-82.1951213,33.2993092
33,grave_yard,-82.1567869,33.3262528
34,place_of_worship,-82.0065052,33.4884693
35,place_of_worship,-82.0001162,33.4854139
36,school,-82.0034496,33.472081
37,school,-81.9817825,33.4676369
38,school,-81.9983774,33.4442514
39,place_of_worship,-82.0384511,33.3201421
40,grave_yard,-82.0648406,33.3129201
41,place_of_worship,-82.0831737,33.472359
42,school,-81.9973384,33.4815252
43,school,-82.0159499,33.4681924
44,grave_yard,-82.0665069,33.4098611
45,place_of_worship,-82.1293727,33.3809945
46,grave_yard,-82.2658748,33.2869125
47,grave_yard,-82.1223413,33.4606929
48,place_of_worship,-82.1165078,33.470137
49,place_of_worship,-82.0539435,33.5217396
50,place_of_worship,-82.0165062,33.3218088
51,place_of_worship,-82.0820624,33.5054136
52,place_of_worship,-82.1567871,33.2909761
53,school,-82.1395645,33.2901429
54,grave_yard,-82.2040102,33.3465299
55,school,-82.1006741,33.4698592
56,grave_yard,-82.0942856,33.3054203
57,school,-82.0053942,33.4737476
58,place_of_worship,-82.0898414,33.2376448
59,school,-82.0187278,33.4795808
60,place_of_worship,-82.0276169,33.4723589
61,grave_yard,-82.1540092,33.3187531
62,grave_yard,-82.036784,33.40875
63,place_of_worship,-82.0201175,33.2998651
64,place_of_worship,-82.1317997,33.2881878
65,grave_yard,-82.1069147,33.3901921
66,grave_yard,-82.1992879,33.3231973
67,grave_yard,-82.0481735,33.3265308
68,grave_yard,-81.9737274,33.3481969
69,university,-81.988562,33.4693345
70,school,-81.9845603,33.4629149
71,school,-82.0201167,33.4820807
72,grave_yard,-82.0278946,33.4881917
73,school,-82.0092832,33.444582
74,place_of_worship,-82.0223389,33.4834695
75,school,-82.0137279,33.4115277
76,school,-82.0101166,33.4431933
77,school,-82.2062326,33.2979203
78,school,-82.0395615,33.496247
79,place_of_worship,-81.9778936,33.4668037
80,place_of_worship,-81.9745601,33.4681926
81,place_of_worship,-81.9767824,33.4606928
82,place_of_worship,-81.9723378,33.4737479
83,place_of_worship,-81.9736887,33.4778286
84,school,-82.0167835,33.4190275
85,hospital,-82.0115058,33.395695
86,school,-82.0684513,33.4365269
87,place_of_worship,-81.979838,33.4676369
88,place_of_worship,-81.971296,33.474683
89,place_of_worship,-81.9787268,33.4806921
90,school,-82.0503954,33.4248606
91,place_of_worship,-82.0247958,33.4472416
92,school,-81.9898382,33.4829141
93,school,-82.0678241,33.4722714
94,place_of_worship,-81.9784491,33.4659703
95,place_of_worship,-82.0798403,33.4595817
96,school,-82.0126169,33.4023614
97,place_of_worship,-81.9801158,33.4662481
98,place_of_worship,-81.9726156,33.474859
99,place_of_worship,-81.9770893,33.4761017
100,school,-82.0584512,33.3931951
101,place_of_worship,-82.0115053,33.49958
102,place_of_worship,-82.0387282,33.4837474
103,place_of_worship,-82.0006718,33.4754143
104,place_of_worship,-82.0017829,33.4751365
105,place_of_worship,-82.01845,33.4759698
106,place_of_worship,-82.014561,33.4768032
107,place_of_worship,-82.0206722,33.47097
108,school,-82.0270613,33.4751366
109,place_of_worship,-82.0156721,33.4815252
110,place_of_worship,-82.0187277,33.4820807
111,place_of_worship,-82.0159499,33.478192
112,place_of_worship,-82.0056718,33.4823584
113,place_of_worship,-82.000394,33.4801363
114,place_of_worship,-82.0145681,33.4715301
115,place_of_worship,-82.0040052,33.4770808
116,place_of_worship,-81.9906717,33.4484708
117,place_of_worship,-81.9925515,33.450731
118,place_of_worship,-81.9787269,33.4562485
119,place_of_worship,-81.9818386,33.4547553
120,place_of_worship,-81.9856715,33.4551373
121,place_of_worship,-82.0270613,33.4731922
122,place_of_worship,-81.9834492,33.4579151
123,place_of_worship,-81.9739798,33.4638458
124,place_of_worship,-81.9784491,33.4631927
125,school,-81.9790047,33.4648593
126,place_of_worship,-81.9790047,33.4629149
127,place_of_worship,-81.9806714,33.4626371
128,school,-81.9815048,33.4656926
129,school,-82.0259506,33.3704181
130,school,-82.0287285,33.3684737
131,grave_yard,-82.0937299,33.3579185
132,school,-82.0926323,33.3019589
133,school,-82.0967857,33.3023648
134,place_of_worship,-82.0134498,33.4823585
135,school,-82.0151166,33.478192
136,school,-82.0401171,33.4876362
137,school,-82.0387282,33.4895805
138,place_of_worship,-82.0695623,33.4726368
139,school,-82.046403,33.4138341
140,hospital,-82.0874985,33.4905438
141,hospital,-82.125856,33.4303378
142,place_of_worship,-82.2187326,33.4073614
143,school,-82.0384503,33.518191
144,school,-82.0490062,33.5179132
145,school,-82.0434504,33.5040246
146,place_of_worship,-81.9990051,33.4848583
147,place_of_worship,-81.9974108,33.4831578
148,place_of_worship,-81.9959494,33.4820807
149,place_of_worship,-81.9959494,33.4798585
150,place_of_worship,-81.9956716,33.4812474
151,place_of_worship,-81.9956716,33.4856917
152,place_of_worship,-81.99452,33.483205
