,amenity,longitude,latitude
0,grave_yard,-69.6912438,44.3356396
1,school,-69.7967125,44.3122908
2,school,-69.749143,44.3135148
3,school,-69.783034,44.3120105
4,school,-69.7816648,44.3327563
5,place_of_worship,-69.7522676,44.3717345
6,grave_yard,-69.7713927,44.3610324
7,place_of_worship,-69.788323,44.3648826
8,post_office,-69.7742824,44.314653
9,pharmacy,-69.8122497,44.3134206
10,bus_station,-69.7994125,44.3560607
11,marketplace,-69.8128771,44.3162304
12,restaurant,-69.7935009,44.317451
13,car_rental,-69.7936672,44.3176928
14,bus_station,-69.7937154,44.3177964
15,bank,-69.7779797,44.3149241
16,fast_food,-69.7865796,44.3113758
17,post_office,-69.7868183,44.3114104
18,place_of_worship,-69.7740841,44.3248745
19,place_of_worship,-69.7740787,44.3249128
20,restaurant,-69.7747492,44.3142347
21,hospital,-69.7700831,44.2998261
22,fuel,-69.734281,44.3640278
23,clinic,-69.7850163,44.3634919
24,fountain,-69.785639,44.3632493
25,post_box,-69.7802632,44.3157361
26,car_rental,-69.7800834,44.3089318
27,fast_food,-69.804843,44.3150604
28,bank,-69.8051233,44.3151332
29,doctors,-69.7684451,44.3131205
30,restaurant,-69.7872674,44.3122674
31,loading_dock,-69.7886323,44.3431737
32,bench,-69.7590833,44.2989058
33,pharmacy,-69.7910454,44.3098451
34,fast_food,-69.8004467,44.315066
35,healthcare,-69.7615465,44.3032544
36,fast_food,-69.7661038,44.3201361
37,pharmacy,-69.7628262,44.3246235
38,atm,-69.7634832,44.3245111
39,restaurant,-69.7335771,44.299494
40,restaurant,-69.7633367,44.3237828
41,restaurant,-69.8046044,44.3147352
42,restaurant,-69.7741789,44.3148955
43,bank,-69.7933321,44.3426827
44,bank,-69.7918848,44.3361363
45,bank,-69.7973637,44.3601428
46,healthcare,-69.7666751,44.3110437
47,bank,-69.7937152,44.3436478
48,taxi,-69.7837537,44.3290932
49,restaurant,-69.7974731,44.3491344
50,healthcare,-69.8003632,44.3597087
51,healthcare,-69.8003633,44.3597077
52,healthcare,-69.8234325,44.3206446
53,place_of_worship,-69.8102859,44.318076
54,fire_station,-69.8056798,44.3483489
55,grave_yard,-69.7901454,44.3398689
56,grave_yard,-69.7894153,44.3392167
57,grave_yard,-69.8082889,44.3438067
58,grave_yard,-69.7648145,44.3227331
59,grave_yard,-69.658056,44.2943993
60,grave_yard,-69.7661251,44.3010496
61,restaurant,-69.7666329,44.3179088
62,fast_food,-69.797039,44.3498899
63,restaurant,-69.7738446,44.3156239
64,restaurant,-69.7738014,44.3157019
65,restaurant,-69.7736571,44.3160983
66,social_facility,-69.7916322,44.3348196
67,vending_machine,-69.7926026,44.3181433
68,parking,-69.7861489,44.313445
69,fountain,-69.7746522,44.314537
70,fountain,-69.7884977,44.3538946
71,social_facility,-69.7892425,44.3611268
72,fast_food,-69.7970074,44.3499101
73,parking,-69.7452926,44.3030434
74,bench,-69.7785197,44.299415
75,bench,-69.7796208,44.2992451
76,bench,-69.779653,44.2992067
77,parcel_locker,-69.7876477,44.3438332
78,fire_station,-69.7756234,44.3119256
79,restaurant,-69.7737937,44.3164677
80,cafe,-69.7739093,44.3162096
81,bar,-69.7740104,44.315998
82,restaurant,-69.7733801,44.3167607
83,marketplace,-69.774745,44.3136097
84,university,-69.7746656,44.3138127
85,bar,-69.7748387,44.3142966
86,fast_food,-69.7896802,44.3461731
87,restaurant,-69.7893319,44.3461009
88,parking,-69.7747514,44.3123464
89,toilets,-69.7641612,44.3204988
90,toilets,-69.7641709,44.3204719
91,toilets,-69.7642187,44.3205909
92,fountain,-69.7819473,44.3629392
93,post_office,-69.7920376,44.3114184
94,fast_food,-69.7896576,44.3437686
95,pharmacy,-69.7893306,44.3436515
96,payment_terminal,-69.7901894,44.343529
97,vending_machine,-69.7905151,44.3433347
98,vending_machine,-69.7899911,44.3437176
99,bank,-69.7892411,44.3435564
100,restaurant,-69.8157019,44.3171671
101,parking,-69.7525816,44.3118648
102,fountain,-69.7873675,44.3603815
103,car_rental,-69.7856965,44.3119129
104,charging_station,-69.7860816,44.3478673
105,charging_station,-69.7954754,44.3487439
106,events_venue,-69.7985902,44.3427268
107,events_venue,-69.7986061,44.3424226
108,events_venue,-69.7986013,44.3426095
109,events_venue,-69.7984936,44.3427426
110,events_venue,-69.7986137,44.3423184
111,events_venue,-69.7984978,44.3426592
112,events_venue,-69.7985203,44.342326
113,events_venue,-69.799021,44.3428888
114,events_venue,-69.7988462,44.3429412
115,fast_food,-69.7985817,44.3421483
116,events_venue,-69.7989285,44.3430024
117,theatre,-69.7517591,44.31552
