,amenity,longitude,latitude
0,school,-90.0326061,38.5475505
1,school,-90.0462175,38.5617172
2,grave_yard,-89.9303808,38.4975502
3,school,-90.004272,38.5181061
4,grave_yard,-89.9292697,38.4975502
5,school,-90.0384395,38.5547727
6,place_of_worship,-90.027328,38.5586614
7,school,-90.0342728,38.5508838
8,place_of_worship,-89.9578816,38.5156058
9,school,-89.957326,38.5144946
10,place_of_worship,-89.974271,38.5136615
11,place_of_worship,-89.9993166,38.5173323
12,place_of_worship,-89.9626038,38.5244946
13,place_of_worship,-89.9673262,38.527828
14,place_of_worship,-89.971493,38.5300502
15,school,-89.9706597,38.527828
16,place_of_worship,-89.9723265,38.5144947
17,place_of_worship,-89.9631593,38.5358834
18,school,-89.9934629,38.5045146
19,school,-90.0201917,38.5565259
20,post_office,-90.0208416,38.5567788
21,police,-89.9908138,38.5203683
22,library,-89.981924,38.5128999
23,townhall,-89.9845491,38.5122727
24,restaurant,-89.9262576,38.5055695
25,loading_dock,-89.9273596,38.5223619
26,fast_food,-89.925688,38.5201615
27,car_wash,-89.9612741,38.5357898
28,fast_food,-89.9622826,38.5353953
29,restaurant,-89.9254177,38.5201638
30,fast_food,-89.9406389,38.478377
31,fountain,-89.9213897,38.506857
32,bicycle_repair_station,-89.9885537,38.5184659
33,place_of_worship,-90.0038737,38.5180805
34,school,-90.012879,38.5251427
35,recycling,-89.9840847,38.5030269
36,school,-89.9803582,38.490826
37,fountain,-89.9842247,38.5136055
38,vending_machine,-89.9200459,38.5165145
39,vending_machine,-89.9200737,38.5165145
40,vending_machine,-89.9742026,38.5217389
41,vending_machine,-90.0162724,38.5577787
42,school,-89.9305844,38.5116121
43,school,-89.9313944,38.5117926
44,drinking_water,-90.0164313,38.5576117
45,fountain,-90.0257975,38.548056
46,fountain,-89.9903421,38.5063052
47,fountain,-89.9849028,38.5222065
48,drinking_water,-89.9562696,38.5106395
49,bicycle_repair_station,-89.9562194,38.5106221
50,bench,-89.9562503,38.5106681
51,bench,-89.9561978,38.5106806
52,shelter,-89.9562166,38.5106606
53,cafe,-89.9839187,38.5061259
54,cafe,-90.0348316,38.5497882
55,fast_food,-90.0353501,38.527836
56,pharmacy,-90.0362869,38.5408849
57,restaurant,-90.0338733,38.5248712
58,fast_food,-90.0222647,38.5418964
59,atm,-89.9304424,38.520155
60,fountain,-89.9844355,38.5230497
61,loading_dock,-89.9229981,38.5225871
62,loading_dock,-89.9234763,38.5225889
63,university,-90.01096,38.5230861
64,bar,-90.0010251,38.5172821
65,restaurant,-90.0019531,38.5178592
66,fuel,-90.0115224,38.5262996
67,bar,-90.0120355,38.5285115
68,library,-90.0156546,38.5325343
69,pharmacy,-90.0249229,38.5421513
70,bank,-90.0266623,38.5431524
71,fast_food,-90.0265005,38.5429007
72,restaurant,-90.027092,38.5433095
73,place_of_worship,-90.026211,38.5495078
74,hospital,-90.0214708,38.5490423
75,fuel,-90.0114667,38.541822
76,fast_food,-90.0119573,38.5417327
77,restaurant,-90.0098219,38.5417503
78,place_of_worship,-90.0080044,38.5396925
79,school,-90.0069827,38.5392934
80,fast_food,-90.0016088,38.5418922
81,place_of_worship,-90.00252,38.533773
82,social_facility,-90.0029869,38.5243534
83,shelter,-89.9784959,38.5132447
84,restaurant,-89.979328,38.5123338
85,fuel,-89.9703946,38.5134656
86,bar,-89.9626898,38.515285
87,bar,-90.0167288,38.5346061
88,place_of_worship,-90.0245647,38.5432507
89,fast_food,-90.0237392,38.541274
90,fast_food,-90.023373,38.5401897
91,pub,-90.0211562,38.5379855
92,fast_food,-90.0192824,38.5363781
93,restaurant,-90.0176568,38.5419634
94,school,-90.0095581,38.5464463
95,school,-90.0097936,38.5455061
96,place_of_worship,-90.0120738,38.5501826
97,fuel,-90.0109106,38.5498181
98,car_wash,-90.0107145,38.550153
99,place_of_worship,-90.0123915,38.5519811
100,fuel,-89.9938942,38.5140405
101,police,-89.9947544,38.5135428
102,parking,-89.9851074,38.5023378
103,prison,-89.9902468,38.5204046
104,bench,-90.0553251,38.5524129
105,waste_basket,-90.0553244,38.5524312
106,fountain,-90.0181559,38.5174098
107,fountain,-90.0164652,38.5177662
108,shelter,-90.0156813,38.5173029
109,shelter,-90.017992,38.51691
110,toilets,-90.0272157,38.5345672
111,toilets,-90.0273934,38.5346949
112,fuel,-90.0366387,38.5512726
113,fuel,-89.9992143,38.5060605
114,fuel,-89.9618574,38.5362524
115,fuel,-90.0540654,38.5470812
116,fuel,-90.0546423,38.5475963
117,drinking_water,-90.0239334,38.5296979
118,toilets,-90.0234869,38.5297155
119,toilets,-90.0234824,38.5297472
120,drinking_water,-90.027232,38.5345963
121,restaurant,-89.9838229,38.5060965
122,bicycle_repair_station,-89.982815,38.506064
123,bicycle_parking,-89.9828022,38.5060884
124,public_bookcase,-89.984026,38.5108685
125,public_bookcase,-89.9828246,38.5056498
126,bench,-89.9714262,38.5088825
127,bench,-89.9713772,38.5088162
128,bench,-89.9713219,38.5087967
129,shelter,-89.9713383,38.5089331
130,waste_disposal,-89.9713699,38.5082456
131,public_bookcase,-89.9707664,38.5085832
132,bbq,-89.9713698,38.5089653
133,bench,-89.971537,38.5088568
134,drinking_water,-89.9897499,38.5178114
135,bicycle_parking,-89.9897339,38.5178365
136,drinking_water,-89.9885515,38.5185472
137,bench,-89.9884896,38.5185457
138,bicycle_parking,-89.9885173,38.5184784
139,bench,-89.9880062,38.5187859
140,bench,-89.987972,38.517735
141,bicycle_parking,-89.9879416,38.5176662
142,waste_disposal,-89.9870526,38.5177531
