,amenity,longitude,latitude
0,dentist,-71.157438,42.348328
1,parking_entrance,-71.0896939,42.3321117
2,parking_entrance,-71.1154261,42.3222244
3,parking_entrance,-71.0684315,42.3546475
4,waste_basket,-71.123394,42.30252
5,bus_station,-71.0312759,42.3385164
6,prison,-71.1017299,42.2995927
7,prison,-71.1014102,42.2924662
8,prison,-71.0663292,42.3672757
9,hospital,-71.0639959,42.3498066
10,police,-71.0623249,42.3593842
11,police,-71.1242782,42.2564288
12,police,-71.1484246,42.2867829
13,police,-71.1505902,42.3493611
14,police,-71.0916905,42.2846826
15,police,-71.0490077,42.3225167
16,police,-71.1046118,42.3096859
17,police,-71.0549541,42.3411265
18,police,-71.0809867,42.3185903
19,police,-71.0590886,42.2980276
20,school,-71.1172368,42.2482006
21,police,-71.0676647,42.3343584
22,fire_station,-71.0632676,42.3183276
23,fire_station,-71.0855303,42.3480675
24,fire_station,-71.0960914,42.3371951
25,fire_station,-71.0896182,42.2908822
26,fire_station,-71.0787474,42.2782692
27,fire_station,-71.0302213,42.3791
28,fire_station,-71.0529956,42.3550774
29,fire_station,-71.0371376,42.3349826
30,fire_station,-71.0977763,42.3183967
31,fire_station,-71.1312522,42.2367637
32,fire_station,-71.0616123,42.3077417
33,fire_station,-71.0477989,42.2885707
34,fire_station,-71.0775392,42.3405215
35,fire_station,-71.1174661,42.2789955
36,fire_station,-71.1144181,42.3105415
37,fire_station,-71.071579,42.383825
38,fire_station,-71.0821723,42.3074868
39,fire_station,-71.0177962,42.3574557
40,fire_station,-71.1548054,42.2639868
41,fire_station,-71.1534743,42.3427021
42,fire_station,-71.1198375,42.2551417
43,fire_station,-71.0505004,42.3396213
44,library,-71.0561422,42.3088801
45,library,-71.098744,42.3368236
46,library,-71.0665318,42.3508011
47,library,-71.148036,42.3570746
48,library,-71.0674149,42.3627265
49,library,-71.0674336,42.3517086
50,library,-71.0967338,42.3388012
51,library,-71.0608723,42.3812739
52,library,-71.0456409,42.3167344
53,library,-71.10667,42.33007
54,library,-71.1075466,42.3410229
55,library,-71.061772,42.3589785
56,library,-71.0733773,42.3114342
57,library,-71.143259,42.3524539
58,library,-71.0903462,42.3454876
59,library,-71.0655492,42.3522439
60,library,-71.0609723,42.3083577
61,library,-71.06345,42.34609
62,library,-71.1203123,42.3520334
63,library,-71.07146,42.28995
64,library,-71.0875505,42.3384719
65,library,-71.0577759,42.3578104
66,library,-71.0629688,42.3520191
67,library,-71.0851334,42.3163726
68,library,-71.0624482,42.3578627
69,library,-71.0575878,42.3586922
70,library,-71.0694278,42.3633915
71,library,-71.0486803,42.3514733
72,library,-71.0702198,42.3462039
73,library,-71.0553015,42.3589283
74,library,-71.1282428,42.301215
75,library,-71.0709394,42.3329215
76,library,-71.1015014,42.2991367
77,library,-71.0568523,42.3569831
78,library,-71.0485784,42.3515705
79,library,-71.06053,42.35559
80,library,-71.08225,42.33834
81,library,-71.1721988,42.275538
82,library,-71.1069506,42.336164
83,library,-71.1657802,42.2776923
84,library,-71.0611127,42.358874
85,library,-71.0861271,42.3413628
86,library,-71.0851429,42.3432777
87,library,-71.107225,42.3363949
88,library,-71.0690611,42.3501823
89,library,-71.0622921,42.3500662
90,library,-71.0702095,42.3759427
91,library,-71.1745376,42.2821815
92,library,-71.0871413,42.3466437
93,library,-71.0758634,42.2857024
94,library,-71.14805,42.34973
95,library,-71.0638705,42.3592441
96,library,-71.0779829,42.3505737
97,library,-71.0721306,42.3582426
98,library,-71.0685994,42.3629815
99,library,-71.070508,42.367256
100,library,-71.10468,42.34128
101,library,-71.0955638,42.3356047
102,library,-71.0609706,42.3568568
103,school,-71.0803295,42.2969265
104,school,-71.1741519,42.2819989
105,school,-71.0854516,42.3013439
106,school,-71.072836,42.3234921
107,school,-71.0577382,42.3279259
108,school,-71.1321278,42.2455401
109,school,-71.093121,42.328767
110,school,-71.0586727,42.3012848
111,school,-71.0770897,42.3535373
112,school,-71.1522903,42.2926585
113,hospital,-71.0707256,42.336038
114,school,-71.0533691,42.3660949
115,school,-71.0688702,42.3483857
116,school,-71.060871,42.3216311
117,school,-71.064924,42.3479909
118,school,-71.0505125,42.331295
119,school,-71.1035877,42.3051984
120,school,-71.095856,42.3493369
121,school,-71.0839169,42.3405802
122,school,-71.0296633,42.3360441
123,school,-71.1017268,42.3215482
124,school,-71.0819614,42.3521992
125,school,-71.1092262,42.3063673
126,school,-71.0992242,42.3141479
127,school,-71.1016242,42.3165878
128,school,-71.0762198,42.3248496
129,school,-71.0493123,42.2907757
130,school,-71.0609101,42.3802573
131,school,-71.0912466,42.3307579
132,school,-71.1008167,42.3334114
133,school,-71.0708745,42.2955955
134,school,-71.1237378,42.2547984
135,school,-71.1064832,42.3257425
136,school,-71.0661423,42.2930321
137,school,-71.0708348,42.324475
138,school,-71.1114501,42.3281457
139,school,-71.1333677,42.2516416
140,school,-71.0659688,42.3076784
141,school,-71.1454645,42.3500616
142,school,-71.0642813,42.2919955
143,school,-71.1529868,42.3524328
144,school,-71.1558297,42.263526
145,school,-71.1625165,42.2720176
146,school,-71.1051603,42.3276141
147,school,-71.0688472,42.3411015
148,school,-71.1179363,42.2633986
149,school,-71.0612323,42.3009267
150,school,-71.1614958,42.3511302
151,school,-71.0842792,42.3075239
152,school,-71.1209974,42.3521128
153,school,-71.0512447,42.2819097
154,school,-71.0921613,42.2707467
155,school,-71.0041991,42.3885612
156,school,-71.0672091,42.2743918
157,school,-71.1100492,42.3309702
158,school,-71.1748744,42.2822803
159,school,-71.0719535,42.3582148
160,school,-71.0757306,42.3181026
161,school,-71.0789944,42.3152461
162,school,-71.0626871,42.2939231
163,school,-71.1375176,42.3521617
164,school,-71.0717155,42.3563955
165,school,-71.0685895,42.3409688
166,school,-71.0673127,42.3151419
167,school,-71.1034209,42.3129652
168,school,-71.0695697,42.2812487
169,school,-71.099189,42.3306376
