,amenity,longitude,latitude
0,school,-76.7435798,38.978444
1,grave_yard,-76.7505244,38.9612221
2,place_of_worship,-76.7880257,39.0062212
3,school,-76.7299682,38.9656666
4,school,-76.7366351,38.9864994
5,school,-76.7316348,38.951778
6,school,-76.7346906,38.959
7,school,-76.7416351,38.9245562
8,school,-76.7414795,38.9935052
9,school,-76.7502414,38.9761421
10,grave_yard,-76.786359,39.006499
11,place_of_worship,-76.7388534,38.9645593
12,place_of_worship,-76.7427415,38.9592803
13,school,-76.7341348,38.9203897
14,place_of_worship,-76.7333017,38.9881661
15,place_of_worship,-76.7267255,38.9839436
16,place_of_worship,-76.734135,38.9889994
17,place_of_worship,-76.7307939,38.9637251
18,school,-76.7283012,38.9051123
19,school,-76.757747,38.9967769
20,place_of_worship,-76.7458021,38.9770551
21,school,-76.7516356,38.9895548
22,post_office,-76.7802478,39.0084629
23,school,-76.7341749,38.9209002
24,school,-76.73291,38.98842
25,school,-76.7423,38.97535
26,school,-76.75426,39.00251
27,school,-76.78795,39.00633
28,school,-76.7265257,38.9833674
29,school,-76.7570101,38.9739271
30,school,-76.74566,38.97691
31,school,-76.7342455,38.9890123
32,school,-76.7438943,38.9401757
33,place_of_worship,-76.7322,38.9254
34,post_office,-76.757789,38.983239
35,school,-76.7420682,38.9758771
36,school,-76.7421261,38.9758638
37,school,-76.745454,38.977232
38,place_of_worship,-76.718902,38.91029
39,nursing_home,-76.7465157,38.9483857
40,fire_station,-76.7361771,38.9795775
41,fire_station,-76.7202745,38.9098049
42,bbq,-76.7914367,38.9911853
43,place_of_worship,-76.7196537,38.9650529
44,bench,-76.7903076,38.9894547
45,place_of_worship,-76.7494778,38.9762751
46,marketplace,-76.7337037,38.9804901
47,fast_food,-76.7565186,38.9729951
48,place_of_worship,-76.7571998,38.9791723
49,fire_station,-76.7396367,38.9462287
50,theatre,-76.7424236,38.9779629
51,post_box,-76.7555702,38.9729445
52,post_box,-76.756039,38.9723785
53,charging_station,-76.7358367,38.9452129
54,charging_station,-76.7078617,38.9567388
55,clinic,-76.7114591,38.9566804
56,parking,-76.6986956,38.9462047
57,clock,-76.7080365,38.965533
58,restaurant,-76.7589269,38.985592
59,fast_food,-76.7588722,38.9853539
60,pharmacy,-76.7588394,38.9851094
61,fast_food,-76.756843,38.9851211
62,restaurant,-76.7577674,38.9838233
63,restaurant,-76.7585933,38.9840656
64,fuel,-76.7567008,38.9844823
65,toilets,-76.7391823,38.9435727
66,restaurant,-76.7680972,38.9702757
67,fast_food,-76.7713897,38.9733439
68,fast_food,-76.734997,38.979062
69,loading_dock,-76.7212858,38.935852
70,bank,-76.7347178,38.9801986
71,grave_yard,-76.7446426,38.9028334
72,charging_station,-76.7193862,38.9375852
73,bank,-76.7372056,38.9421069
74,restaurant,-76.7342283,38.9417356
75,restaurant,-76.7344249,38.9417063
76,car_rental,-76.7365035,38.9416564
77,car_rental,-76.7365499,38.9416599
78,events_venue,-76.7337514,38.9436075
79,bank,-76.7565943,38.9734583
80,charging_station,-76.7369576,38.942832
81,restaurant,-76.732922,38.9445829
82,fast_food,-76.7351611,38.9445165
83,fast_food,-76.7360684,38.9455019
84,fast_food,-76.7360603,38.9460041
85,fast_food,-76.7370862,38.9454701
86,fast_food,-76.7344663,38.9447231
87,restaurant,-76.7348259,38.9457085
88,restaurant,-76.7346298,38.9450441
89,restaurant,-76.7336897,38.9455718
90,restaurant,-76.7338777,38.9444974
91,fast_food,-76.7338859,38.9443448
92,cafe,-76.7339186,38.9446849
93,fast_food,-76.7343886,38.9435342
94,fast_food,-76.736923,38.945457
95,bank,-76.7332063,38.9466969
96,fast_food,-76.7204535,38.9360773
97,prep_school,-76.7209486,38.9372348
98,post_depot,-76.719207,38.9379678
99,fast_food,-76.7190193,38.938024
100,cafe,-76.7226589,38.952365
101,fast_food,-76.7210936,38.9466068
102,car_rental,-76.7208092,38.9461601
103,cafe,-76.7339288,38.9446891
104,vending_machine,-76.7238979,38.9621701
105,bench,-76.7234307,38.9623626
106,bench,-76.72428,38.9620084
107,fountain,-76.7115851,38.9606557
108,restaurant,-76.7343674,38.9437902
109,car_wash,-76.7184152,38.9177524
110,community_centre,-76.7197785,38.9140919
111,fuel,-76.7186056,38.9085761
112,fast_food,-76.7191327,38.937993
113,fast_food,-76.7332551,38.9789112
114,fast_food,-76.734928,38.9777292
115,fast_food,-76.734347,38.980148
116,restaurant,-76.7298503,38.9818627
