,amenity,longitude,latitude
0,school,-82.3884264,28.5424946
1,school,-82.3914822,28.5558275
2,grave_yard,-82.3914822,28.5572162
3,school,-82.4023158,28.5419391
4,school,-82.3795372,28.5472166
5,school,-82.3845374,28.5552719
6,school,-82.3881487,28.5563829
7,place_of_worship,-82.3914104,28.5621164
8,place_of_worship,-82.3767202,28.558723
9,place_of_worship,-82.3833333,28.5566667
10,place_of_worship,-82.3835608,28.5581413
11,place_of_worship,-82.4127778,28.5530556
12,place_of_worship,-82.3890927,28.5545196
13,place_of_worship,-82.3886111,28.5472222
14,place_of_worship,-82.3866667,28.5522222
15,post_office,-82.3855556,28.5566667
16,post_office,-82.4158457,28.5443734
17,place_of_worship,-82.42,28.5516667
18,studio,-82.3883333,28.5558333
19,arts_centre,-82.3832882,28.5639453
20,fire_station,-82.2063889,28.5175
21,fire_station,-82.4008333,28.5544444
22,library,-82.3872222,28.5566667
23,police,-82.4007703,28.5544132
24,police,-82.3777598,28.5516563
25,police,-82.3791186,28.5507958
26,police,-82.388099,28.5565559
27,police,-82.4204401,28.547885
28,townhall,-82.3880556,28.5566667
29,police,-82.411306,28.543153
30,fast_food,-82.4203616,28.5520652
31,pharmacy,-82.4031775,28.5395023
32,restaurant,-82.4014214,28.539177
33,pharmacy,-82.402654,28.5408005
34,restaurant,-82.4002503,28.5398998
35,bank,-82.388145,28.555434
36,school,-82.3893081,28.5542965
37,place_of_worship,-82.3859989,28.5590502
38,restaurant,-82.381655,28.551901
39,bar,-82.3816736,28.5520704
40,vending_machine,-82.4073754,28.5366258
41,fast_food,-82.4058885,28.5376405
42,pharmacy,-82.4068919,28.5372731
43,fast_food,-82.4077698,28.5366688
44,fuel,-82.3755486,28.5698767
45,restaurant,-82.4082448,28.5410663
46,bank,-82.4045382,28.539928
47,post_box,-82.4155858,28.5444285
48,fast_food,-82.381797,28.5503556
49,place_of_worship,-82.379353,28.5492184
