,amenity,longitude,latitude
0,fuel,-112.5740113,33.3728807
1,fuel,-112.5786828,33.3702856
2,police,-112.5726637,33.3723716
3,courthouse,-112.5727388,33.3721028
4,school,-112.4861214,33.3790112
5,school,-112.5829501,33.3691439
6,school,-112.582495,33.368401
7,townhall,-112.5838873,33.370898
8,fuel,-112.5567603,33.4339318
9,fuel,-112.4783577,33.4553452
10,toilets,-112.5449344,33.4311204
11,courthouse,-112.5176836,33.4343583
12,school,-112.558467,33.4275776
13,fast_food,-112.558009,33.4382139
14,restaurant,-112.557333,33.4400492
15,restaurant,-112.55788,33.4330568
16,clinic,-112.5535319,33.4378203
17,restaurant,-112.5398571,33.4384611
18,clinic,-112.557561,33.4377708
19,clinic,-112.558776,33.4351722
20,fuel,-112.555916,33.4421107
21,restaurant,-112.5547762,33.4429802
22,fountain,-112.6367573,33.667033
23,fountain,-112.6200401,33.6621751
24,parking,-112.7063572,33.4829607
25,parking,-112.7072045,33.4821913
26,fuel,-112.590429,33.4274916
27,fast_food,-112.591836,33.4312015
28,post_box,-112.5745608,33.4299082
29,post_box,-112.6015185,33.3638304
30,post_box,-112.6039191,33.365812
31,post_box,-112.6064081,33.3643142
32,post_box,-112.601533,33.3644113
33,bench,-112.4899208,33.4381414
34,post_box,-112.5247594,33.433291
35,library,-112.5174128,33.4343747
36,waste_disposal,-112.47824,33.455327
37,charging_station,-112.556893,33.4429767
38,bench,-112.5653145,33.3943237
39,waste_disposal,-112.5721774,33.3742937
40,waste_disposal,-112.5738944,33.3737801
41,waste_disposal,-112.574293,33.3728797
42,waste_disposal,-112.5742661,33.3728708
43,waste_disposal,-112.5775242,33.3674413
44,waste_disposal,-112.4798458,33.4946475
45,waste_disposal,-112.5795969,33.3700581
46,waste_disposal,-112.5896659,33.3698025
47,waste_disposal,-112.5840587,33.3713657
48,waste_disposal,-112.5841087,33.3713709
49,waste_disposal,-112.5825914,33.3708853
50,waste_disposal,-112.5742706,33.3752519
51,waste_disposal,-112.5743645,33.3746296
52,waste_disposal,-112.5732933,33.3757037
53,waste_disposal,-112.5762057,33.3726866
54,waste_disposal,-112.5765584,33.3718517
55,waste_disposal,-112.5837761,33.3683651
56,waste_disposal,-112.5837651,33.3683153
57,waste_disposal,-112.5837518,33.3682665
58,waste_disposal,-112.5843799,33.3698495
59,waste_disposal,-112.5768239,33.3669633
60,waste_disposal,-112.5775384,33.3696854
61,waste_disposal,-112.6068706,33.393059
62,waste_disposal,-112.5900086,33.3856832
63,waste_disposal,-112.5926503,33.3805146
64,waste_disposal,-112.5926201,33.3804982
65,waste_disposal,-112.5937018,33.379696
66,waste_disposal,-112.5937313,33.3796911
67,waste_disposal,-112.5937782,33.3786767
68,waste_disposal,-112.5937758,33.3786433
69,waste_disposal,-112.592304,33.378611
70,waste_disposal,-112.5922769,33.3786119
71,waste_disposal,-112.5915967,33.3792149
72,waste_disposal,-112.5916306,33.3792137
73,waste_disposal,-112.5916147,33.380501
74,waste_disposal,-112.5916446,33.3805131
75,waste_disposal,-112.5899927,33.3914951
76,waste_disposal,-112.589984,33.3915479
77,waste_disposal,-112.5171081,33.4340907
78,waste_disposal,-112.5171886,33.4340816
79,waste_disposal,-112.5172335,33.4340713
80,waste_disposal,-112.5164935,33.4340635
81,waste_disposal,-112.5164114,33.4340648
