,amenity,longitude,latitude
0,school,-81.9489776,26.5675757
1,place_of_worship,-81.9895355,26.5716636
2,school,-81.9809227,26.5864639
3,school,-81.942483,26.6427507
4,grave_yard,-81.915087,26.6809043
5,school,-81.9448107,26.5745199
6,school,-81.9248097,26.6461835
7,place_of_worship,-81.9873119,26.5656315
8,place_of_worship,-81.9762006,26.5600761
9,place_of_worship,-81.9623112,26.5711867
10,place_of_worship,-81.9449,26.5757
11,place_of_worship,-81.9706447,26.5753533
12,place_of_worship,-82.006362,26.592085
13,place_of_worship,-81.937031,26.683522
14,place_of_worship,-82.015991,26.633258
15,place_of_worship,-82.011913,26.549547
16,place_of_worship,-81.9373,26.664
17,place_of_worship,-81.9407,26.6049
18,place_of_worship,-81.9889,26.5786
19,place_of_worship,-81.958,26.5683
20,place_of_worship,-81.9288,26.683
21,place_of_worship,-81.956932,26.603955
22,place_of_worship,-82.0079,26.6158
23,place_of_worship,-81.9315,26.6955
24,place_of_worship,-81.9899,26.635
25,place_of_worship,-81.9411,26.5971
26,place_of_worship,-81.9136,26.6814
27,place_of_worship,-81.9248,26.6394937
28,place_of_worship,-82.0144,26.6352
29,place_of_worship,-81.9872,26.6379
30,place_of_worship,-81.9266903,26.6521664
31,place_of_worship,-81.9533,26.564
32,place_of_worship,-82.007278,26.613997
33,fire_station,-82.0395717,26.7330983
34,fire_station,-81.9513588,26.683187
35,fire_station,-81.9631639,26.6299479
36,fire_station,-81.9562524,26.5619991
37,police,-81.9606629,26.6310603
38,school,-82.0126165,26.5896743
39,fuel,-81.974752,26.5920289
40,pharmacy,-81.9574275,26.5632579
41,fast_food,-81.9414089,26.6269211
42,fuel,-81.9620185,26.5632076
43,fast_food,-81.9570729,26.562433
44,restaurant,-82.0006249,26.6399742
45,cafe,-81.9332571,26.6707497
46,fast_food,-81.933758,26.6689215
47,fast_food,-82.0079378,26.5616321
48,fuel,-81.9414938,26.6588441
49,fast_food,-81.9405281,26.6981906
50,restaurant,-82.0238514,26.6080941
51,school,-81.9889112,26.6220926
52,restaurant,-81.9528512,26.5610181
53,bank,-81.9405061,26.6513118
54,bank,-81.9406671,26.6483296
55,parking,-82.0555102,26.6440475
56,restaurant,-81.991779,26.6438825
57,restaurant,-81.9915001,26.6439832
58,restaurant,-81.950363,26.5417202
59,toilets,-81.9177551,26.6084751
60,bank,-81.9737229,26.6081523
61,waste_disposal,-81.9736898,26.6052032
62,waste_disposal,-81.9740214,26.6059795
63,waste_disposal,-81.9736992,26.6060151
64,waste_disposal,-81.9734006,26.6078848
65,fast_food,-81.977379,26.6049139
66,waste_disposal,-81.9778852,26.6047881
67,waste_disposal,-81.977115,26.6048157
68,waste_disposal,-81.9761786,26.6049268
69,waste_disposal,-81.9751038,26.6053078
70,waste_disposal,-81.9751056,26.6062185
71,waste_disposal,-81.9751355,26.607076
72,waste_disposal,-81.9751062,26.6071575
73,dentist,-81.9734915,26.6050196
74,waste_disposal,-81.9752284,26.6025076
75,waste_disposal,-81.9751936,26.6027382
76,waste_disposal,-81.9764261,26.6068631
77,waste_disposal,-81.9733989,26.6084992
78,waste_disposal,-81.9734466,26.6098226
79,waste_disposal,-81.9734556,26.6105801
80,doctors,-81.9567746,26.6289004
81,social_facility,-81.9568798,26.6256356
82,waste_disposal,-81.9607072,26.6247744
83,waste_disposal,-81.9595799,26.6251675
84,waste_disposal,-81.9572543,26.6254377
85,waste_disposal,-81.9573075,26.6254679
86,waste_disposal,-81.9602135,26.6257173
87,waste_disposal,-81.9585051,26.6272458
88,waste_disposal,-81.9560833,26.6281426
89,waste_disposal,-81.9569251,26.6290936
90,waste_disposal,-81.958788,26.6291332
91,waste_disposal,-81.957934,26.6292094
92,bar,-81.9746091,26.6116802
93,restaurant,-81.9745488,26.6128483
94,fuel,-81.9744974,26.6111411
95,fuel,-81.9746939,26.6112692
96,waste_disposal,-81.9751568,26.612048
97,fuel,-81.9745315,26.6121285
98,waste_disposal,-81.974748,26.6123883
99,waste_disposal,-81.9733813,26.6132386
100,waste_disposal,-81.9749107,26.6135314
101,waste_disposal,-81.9749839,26.6140821
102,bicycle_parking,-81.9746497,26.6144468
103,kindergarten,-81.9418619,26.609271
104,waste_disposal,-81.942134,26.607099
105,waste_disposal,-81.9418092,26.6083639
106,waste_disposal,-81.9416893,26.6084676
107,waste_disposal,-81.9416873,26.6088123
108,waste_disposal,-81.9416803,26.6089283
109,bench,-81.9409873,26.6090819
110,waste_basket,-81.9409758,26.6091598
111,waste_disposal,-81.9416723,26.6092025
112,waste_disposal,-81.9416673,26.6093123
113,waste_disposal,-81.9420407,26.6093844
114,bench,-81.9412974,26.6095924
115,waste_disposal,-81.9416503,26.6096471
116,waste_disposal,-81.9402691,26.6096844
117,waste_disposal,-81.9402849,26.6100007
118,waste_disposal,-81.9413944,26.6104001
119,waste_disposal,-81.9415835,26.6108493
120,waste_basket,-81.940185,26.6109116
121,waste_disposal,-81.9413541,26.6116627
122,waste_disposal,-81.9415744,26.6124317
123,waste_disposal,-81.9403026,26.6124768
124,waste_disposal,-81.9415235,26.6133181
125,waste_disposal,-81.941549,26.6133932
126,waste_disposal,-81.9401667,26.6135911
127,waste_disposal,-81.9412058,26.6137297
128,waste_disposal,-81.9415168,26.6142313
129,veterinary,-81.9404878,26.6143596
130,waste_disposal,-81.939574,26.6079098
131,waste_disposal,-81.9386851,26.6079552
132,waste_disposal,-81.9388734,26.6080992
133,waste_disposal,-81.9384089,26.6082479
134,waste_disposal,-81.9380084,26.6083997
135,bicycle_parking,-81.938154,26.6087687
136,waste_disposal,-81.9371896,26.6094259
137,waste_disposal,-81.9373737,26.6109995
138,waste_disposal,-81.9402768,26.6142358
139,bench,-81.9408342,26.6144847
140,waste_disposal,-81.9404511,26.6152981
141,waste_disposal,-81.9404511,26.6162923
142,waste_disposal,-81.9404418,26.6163719
143,bank,-81.9402429,26.6355719
144,restaurant,-81.9421217,26.5933146
145,bank,-81.9405758,26.6424646
146,atm,-81.9057853,26.6816428
147,fuel,-81.905839,26.6817889
148,fountain,-81.935631,26.6178127
149,fountain,-81.9349891,26.6178139
150,waste_disposal,-81.9352649,26.6191522
151,bbq,-81.9340315,26.6200143
152,waste_basket,-81.9340418,26.6200212
153,fountain,-81.9354648,26.6202196
154,bicycle_parking,-81.9361587,26.6202596
155,waste_disposal,-81.9328229,26.620677
156,fountain,-81.9314785,26.6207917
157,restaurant,-82.0075044,26.5439572
158,restaurant,-81.9987377,26.5400551
