,amenity,longitude,latitude
0,place_of_worship,-96.8450122,32.9695072
1,place_of_worship,-96.8941706,32.941791
2,place_of_worship,-96.8872259,32.9495684
3,place_of_worship,-96.8866704,32.9551238
4,place_of_worship,-96.9055599,32.949013
5,place_of_worship,-96.8894482,33.0006779
6,place_of_worship,-96.915838,33.0209553
7,place_of_worship,-96.902782,32.9995668
8,place_of_worship,-96.8827812,33.0242885
9,place_of_worship,-96.9116712,33.0101222
10,place_of_worship,-96.9016709,33.0029001
11,place_of_worship,-96.8644473,33.0245661
12,place_of_worship,-96.8638918,32.985956
13,place_of_worship,-96.9002819,32.9576238
14,place_of_worship,-96.8652808,32.9731787
15,place_of_worship,-96.9230605,32.9829008
16,place_of_worship,-96.9175047,32.9540129
17,cafe,-96.8418195,33.0257128
18,post_box,-96.8850648,32.9687143
19,atm,-96.8880223,32.9724604
20,restaurant,-96.8843767,33.0227886
21,restaurant,-96.840181,33.027025
22,restaurant,-96.8895569,32.9532712
23,restaurant,-96.9281678,33.0210291
24,restaurant,-96.9173849,33.0209907
25,fast_food,-96.8427,32.984273
26,fast_food,-96.8442898,33.0250508
27,bureau_de_change,-96.8894704,32.9532632
28,fast_food,-96.8428337,33.025562
29,place_of_worship,-96.9086929,33.0227571
30,bbq,-96.8736629,33.0286697
31,bbq,-96.8739338,33.0287821
32,bbq,-96.8736475,33.0283931
33,bbq,-96.8736643,33.029066
34,bench,-96.8741953,33.0294809
35,bench,-96.8735885,33.0286534
36,bench,-96.8739607,33.028049
37,drinking_water,-96.8738534,33.0286767
38,bench,-96.8893698,32.9678493
39,bench,-96.8890426,32.9686431
40,bench,-96.8890412,32.9695387
41,bench,-96.8884002,32.9700417
42,bench,-96.8890808,32.9676918
43,bench,-96.8873286,32.9666145
44,animal_boarding,-96.8597171,33.0267018
45,place_of_worship,-96.9149937,32.9848805
46,healthcare,-96.8873786,32.9542616
47,dentist,-96.8854637,33.0333882
48,fast_food,-96.889875,32.9512199
49,doctors,-96.8859347,33.0132412
50,parking,-96.8940986,32.9702832
51,bench,-96.8927132,32.9717087
52,bench,-96.8925771,32.9717689
53,waste_basket,-96.8925845,32.9717875
54,fire_station,-96.8560976,32.9731815
55,pharmacy,-96.8856254,33.0256156
56,cinema,-96.8438135,32.9855419
57,dentist,-96.9334802,33.0211002
58,motorcycle_rental,-96.9193958,32.9652163
59,restaurant,-96.889635,32.95327
60,fast_food,-96.8892056,32.9532587
61,restaurant,-96.9077286,32.9528544
62,restaurant,-96.9065099,32.9526181
63,restaurant,-96.9084362,32.9516276
64,fast_food,-96.8904361,32.9835643
65,fast_food,-96.8905686,32.9840066
66,restaurant;coffee,-96.8896011,32.9835938
67,fast_food,-96.9078832,32.9821246
68,restaurant,-96.8850726,32.9533151
69,restaurant,-96.8668332,32.9891273
70,post_office,-96.909404,32.9996614
71,cafe,-96.9113886,32.9870341
72,ice_cream,-96.9079425,32.9525965
73,waste_basket,-96.9000924,32.9628633
74,theatre,-96.9078791,32.9515058
75,bench,-96.9024059,32.9602182
76,bench,-96.8939884,32.9695768
77,restaurant,-96.9077718,32.9524264
78,bench,-96.8964562,32.9662981
79,bench,-96.8942281,32.9695712
80,restaurant,-96.9076584,32.9523158
81,waste_basket,-96.8963935,32.9663466
82,waste_basket,-96.8942246,32.9696058
83,restaurant,-96.9084612,32.9528724
84,bench,-96.8940306,32.9696386
85,waste_basket,-96.9023812,32.9602386
86,bench,-96.8926455,32.9709181
87,drinking_water,-96.891318,32.9680723
88,fountain,-96.8923555,32.9706023
89,bench,-96.8928698,32.9706388
90,bench,-96.8934178,32.970275
91,fast_food,-96.9105411,32.9820732
92,bank,-96.9105465,32.9816187
93,recycling,-96.8945504,32.9551407
94,veterinary,-96.8905266,32.98418
95,pharmacy,-96.8856739,33.0007995
96,fast_food,-96.9152468,33.021415
97,pharmacy,-96.932728,33.022439
98,bank,-96.9166577,33.0211505
99,drinking_water,-96.9001277,32.96428
100,fast_food,-96.9154313,32.9627395
101,parking,-96.9017254,32.9623212
102,animal_shelter,-96.9367666,32.9666123
103,restaurant,-96.9189592,32.968962
104,drinking_water,-96.9070082,32.9573439
105,bench,-96.9070096,32.9573137
106,restaurant;cafe,-96.8894468,32.9752192
107,waste_basket,-96.8893466,32.9678477
108,waste_basket,-96.8890533,32.9695382
109,drinking_water,-96.8777167,32.9689586
110,restaurant,-96.9104261,32.986575
111,waste_basket,-96.8801173,32.9681431
112,waste_basket,-96.8841139,32.9750602
113,drinking_water,-96.8898263,32.9545242
114,bench,-96.88333,32.9763986
115,waste_basket,-96.88447,32.9667905
116,bench,-96.884839,32.9718666
117,bench,-96.8801465,32.9681415
118,bank,-96.91053,32.9864578
119,bench,-96.8889715,32.9686732
120,veterinary,-96.8891363,32.9557511
121,fast_food,-96.8894716,32.9748767
122,waste_basket,-96.8848082,32.9719123
123,bench,-96.8829865,32.9768322
124,bench,-96.8844995,32.9667956
125,drinking_water,-96.8835617,32.9766339
126,post_box,-96.9140591,32.9598497
127,restaurant,-96.9078718,32.9848529
128,restaurant,-96.9374144,33.0243408
129,veterinary,-96.912833,33.0130867
130,fast_food,-96.9146362,33.020491
131,dentist,-96.9372397,33.0242477
132,cafe,-96.9136631,33.0198353
133,restaurant,-96.9105406,32.9852099
134,fast_food,-96.9297382,33.0198851
135,restaurant,-96.9138944,33.0202294
136,place_of_worship,-96.913449,33.0180913
137,restaurant,-96.9138791,33.0201796
138,dentist,-96.9083399,32.9848309
139,cafe,-96.9133945,33.0205866
140,dentist,-96.9135769,33.0204575
141,kindergarten,-96.9440618,33.0160172
142,fast_food,-96.9139192,33.02032
143,fast_food,-96.9150823,33.0203865
144,bank,-96.9148625,33.0199496
145,prep_school,-96.9134703,33.0205102
146,pharmacy,-96.9133113,33.0191581
147,restaurant,-96.9137937,33.0203804
148,cafe,-96.9105242,32.9990909
149,restaurant,-96.9082319,32.9848349
150,bench,-96.9208292,33.0069911
151,bench,-96.9208724,33.0069045
152,waste_basket,-96.9209006,33.0069254
153,public_bookcase,-96.921772,33.0058571
154,bench,-96.8772909,33.0133941
155,public_bookcase,-96.8772721,33.0133927
156,public_bookcase,-96.8855172,33.0059455
157,bench,-96.8737842,33.0207317
158,bench,-96.8735877,33.0206299
159,bench,-96.8707381,33.024356
160,waste_basket,-96.8941083,32.9954855
161,bbq,-96.9008693,32.9900122
162,waste_basket,-96.9086678,32.9893064
163,waste_basket,-96.9114479,32.9885445
164,waste_basket,-96.9058052,32.9890702
165,waste_basket,-96.9007406,32.9901157
166,bench,-96.9114226,32.9885477
167,waste_basket,-96.8992618,32.9907874
168,bench,-96.8942064,32.9952091
169,bench,-96.9057618,32.9890753
170,waste_basket,-96.8921131,32.9677716
171,bench,-96.9215116,32.9859125
172,bench,-96.9086344,32.989307
173,bench,-96.8969013,32.9914765
174,waste_basket,-96.8969733,32.9914347
175,bench,-96.8964798,32.9909622
176,waste_basket,-96.9215365,32.9859126
177,fountain,-96.8894802,32.9758026
178,drinking_water,-96.8808722,32.993516
179,drinking_water,-96.8842862,32.9935368
180,waste_basket,-96.88421,32.9935722
181,bench,-96.8841743,32.9935863
182,drinking_water,-96.8989327,32.9674641
183,restaurant,-96.9324842,33.0201702
184,bank,-96.8895874,32.9522841
185,parking_space,-96.8608591,33.0373386
186,parking_space,-96.8608575,33.0372618
187,parking_space,-96.8606928,33.0327223
188,parking_space,-96.8607034,33.0325719
189,parking_space,-96.8610623,33.0343314
190,parking_space,-96.8611183,33.0343255
191,parking_space,-96.8611491,33.0343226
192,parking_space,-96.861196,33.0343267
193,parking_space,-96.8612227,33.0343296
194,parking_space,-96.8612773,33.0343261
195,parking_space,-96.8613095,33.0343243
196,parking_space,-96.8613536,33.0343273
197,parking_space,-96.8618178,33.0344259
198,parking_space,-96.8618262,33.0344476
199,parking_space,-96.8618262,33.0345004
200,parking_space,-96.8618269,33.0345227
201,parking_space,-96.8618269,33.0345726
202,parking_space,-96.8618276,33.0345973
203,parking_space,-96.8618283,33.034646
204,parking_space,-96.8618297,33.0346713
205,parking_space,-96.861829,33.0347217
206,parking_space,-96.8618283,33.0347464
207,parking_space,-96.8616301,33.0344775
208,parking_space,-96.861628,33.0344993
209,parking_space,-96.8614866,33.0345028
210,parking_space,-96.861488,33.0345239
211,parking_space,-96.8606271,33.0336125
212,parking_space,-96.8606262,33.0336644
213,parking_space,-96.8593111,33.034611
214,parking_space,-96.8592228,33.0346098
215,parking_space,-96.8591829,33.0346081
216,parking_space,-96.8591395,33.0346086
217,parking_space,-96.8584115,33.0361682
218,parking_space,-96.8583584,33.0361793
219,parking_space,-96.8583261,33.0361815
220,parking_space,-96.8582762,33.0361989
221,parking_space,-96.8583449,33.0350773
222,parking_space,-96.858271,33.0350804
223,parking_space,-96.8582193,33.0350796
224,parking_space,-96.8581444,33.0350811
225,restaurant,-96.8466855,33.025103
226,restaurant,-96.846135,33.0251682
227,fountain,-96.8634907,33.0348813
228,fountain,-96.86298,33.0348597
229,fountain,-96.8629715,33.0350918
230,restaurant,-96.9103907,32.9881463
231,restaurant,-96.9083693,32.9823868
232,restaurant,-96.8883318,32.9551093
233,toilets,-96.8935231,32.970828
234,toilets,-96.8836066,33.0259141
235,toilets,-96.8989372,32.9674572
