,amenity,longitude,latitude
0,school,-116.3452877,33.7914083
1,post_office,-116.3944556,33.8166852
2,place_of_worship,-116.3877887,33.8214071
3,library,-116.4622355,33.7789093
4,place_of_worship,-116.4643145,33.7772967
5,fire_station,-116.3964663,33.816892
6,fuel,-116.4009551,33.8166393
7,fast_food,-116.5011929,33.8836444
8,fire_station,-116.4589822,33.7806762
9,fire_station,-116.4612766,33.8149199
10,fountain,-116.4640758,33.7806103
11,police,-116.464344,33.7813459
12,townhall,-116.4637523,33.7813502
13,cinema,-116.4630458,33.780958
14,place_of_worship,-116.4860324,33.7898795
15,post_box,-116.45688,33.8051815
16,post_box,-116.456897,33.8051816
17,post_box,-116.456889,33.8051815
18,post_box,-116.457032,33.8051816
19,post_box,-116.457054,33.8051816
20,fountain,-116.3442048,33.7842713
21,restaurant,-116.3437918,33.7845081
22,drinking_water,-116.4419418,33.8281832
23,bench,-116.4509422,33.8316796
24,bench,-116.4509428,33.8317033
25,atm,-116.49241,33.8169425
26,atm,-116.492347,33.8169656
27,atm,-116.492347,33.8169767
28,fountain,-116.4875503,33.8175383
29,bench,-116.48474,33.8159878
30,cafe,-116.481428,33.7882987
31,fuel,-116.5012784,33.88329
32,fuel,-116.388748,33.8086896
33,fuel,-116.458549,33.7998657
34,fast_food,-116.457611,33.8142002
35,restaurant,-116.4565147,33.7789249
36,telephone,-116.4902629,33.8161757
37,restaurant,-116.4579186,33.8456857
38,place_of_worship,-116.4754692,33.8470187
39,fountain,-116.4858427,33.8364198
40,fountain,-116.4795657,33.8374855
41,fountain,-116.4786898,33.8318449
42,fountain,-116.4783392,33.8420497
43,fountain,-116.4897991,33.8428905
44,fountain,-116.4850882,33.8439056
45,fountain,-116.4800505,33.8386861
46,fountain,-116.4421995,33.8133524
47,fountain,-116.4507318,33.811724
48,fountain,-116.4502935,33.8116083
49,fountain,-116.4514331,33.8086261
50,restaurant,-116.457681,33.812914
51,restaurant,-116.4590489,33.7885581
52,restaurant,-116.4591547,33.7885341
53,restaurant,-116.4691761,33.7798775
54,theatre,-116.466205,33.7817802
55,parking_entrance,-116.465531,33.7812475
56,parking_entrance,-116.4651679,33.7825455
57,events_venue,-116.3471506,33.8204357
58,ice_cream,-116.4678089,33.8163174
59,events_venue,-116.4597483,33.7790282
60,weighbridge,-116.4042405,33.8183156
61,fuel,-116.4030513,33.8180441
62,fuel,-116.403577,33.8181956
