,amenity,longitude,latitude
0,waste_disposal,-80.7777809,35.1385988
1,school,-80.9153503,35.2615297
2,place_of_worship,-80.8578492,35.2523639
3,place_of_worship,-80.9031277,35.25403
4,school,-80.8415651,35.2352101
5,school,-80.8570158,35.2495862
6,place_of_worship,-80.8053484,35.2659753
7,place_of_worship,-80.7284025,35.2298657
8,place_of_worship,-80.7311804,35.2331991
9,place_of_worship,-80.7195138,35.3084752
10,school,-80.8711833,35.1848655
11,place_of_worship,-80.8522508,35.2707692
12,place_of_worship,-80.9211837,35.2626407
13,place_of_worship,-80.878128,35.1559773
14,place_of_worship,-80.8892389,35.290696
15,place_of_worship,-80.7636811,35.2784756
16,place_of_worship,-80.9100726,35.2756961
17,school,-80.8334044,35.2281982
18,place_of_worship,-80.8228486,35.2518088
19,place_of_worship,-80.7359026,35.2379211
20,place_of_worship,-80.9192394,35.2809736
21,place_of_worship,-80.822293,35.2545865
22,school,-80.9027861,35.2040656
23,place_of_worship,-80.7346823,35.2595182
24,place_of_worship,-80.8668466,35.3582571
25,place_of_worship,-80.8442378,35.2593084
26,place_of_worship,-80.9771439,35.117352
27,place_of_worship,-80.9148258,35.1638492
28,place_of_worship,-80.9192391,35.2454189
29,place_of_worship,-80.8617384,35.283752
30,place_of_worship,-80.8561828,35.2820854
31,place_of_worship,-80.7692365,35.2637536
32,school,-80.85,35.25111
33,school,-80.9447955,35.2915286
34,place_of_worship,-80.8064599,35.3076411
35,place_of_worship,-80.8556271,35.2759745
36,place_of_worship,-80.6686796,35.23681
37,place_of_worship,-80.767292,35.2509761
38,place_of_worship,-80.8356266,35.2606974
39,place_of_worship,-80.8806282,35.3479171
40,school,-80.8617381,35.2406975
41,place_of_worship,-80.7475696,35.1751449
42,place_of_worship,-80.8859065,35.1045897
43,place_of_worship,-80.8489611,35.1082012
44,school,-80.8856275,35.2323641
45,place_of_worship,-80.8370157,35.2862523
46,place_of_worship,-80.9555524,35.1835079
47,place_of_worship,-80.9225727,35.2651406
48,place_of_worship,-80.9231654,35.1438629
49,place_of_worship,-80.8632952,35.3198323
50,school,-80.8214597,35.2523643
51,school,-80.8591347,35.2610278
52,school,-80.8589604,35.2356977
53,place_of_worship,-80.9306285,35.2865289
54,place_of_worship,-80.854794,35.2990296
55,school,-80.8645162,35.2156982
56,place_of_worship,-80.8553496,35.2970851
57,place_of_worship,-80.853127,35.2748634
58,school,-80.9506288,35.2743068
