,amenity,longitude,latitude
0,university,-78.507751,38.0394117
1,bar,-78.4770551,38.0315033
2,prison,-78.4782106,38.0326211
3,restaurant,-78.4684073,38.0246294
4,fast_food,-78.501621,38.0522817
5,restaurant,-78.5005385,38.0519127
6,restaurant,-78.5008065,38.0356532
7,restaurant,-78.4702527,38.0229562
8,parking_entrance,-78.4778423,38.0304233
9,cafe,-78.4842718,38.0335212
10,cafe,-78.5157346,38.0257058
11,bar,-78.5154159,38.0257153
12,restaurant,-78.5158277,38.0257074
13,restaurant,-78.4803858,38.0303074
14,fuel,-78.5043626,38.0113633
15,fuel,-78.5025575,38.0117648
16,restaurant,-78.4986142,38.0336476
17,restaurant,-78.4942931,38.0326207
18,restaurant,-78.4990809,38.0338776
19,restaurant,-78.4993025,38.0339888
20,restaurant,-78.4994137,38.0340793
21,pharmacy,-78.5001437,38.0345502
22,restaurant,-78.4997555,38.0342705
23,restaurant,-78.4993601,38.0341717
24,bar,-78.5000801,38.0344899
25,restaurant,-78.4992356,38.0339596
26,restaurant,-78.4899644,38.0315966
27,restaurant,-78.4871006,38.0305628
28,restaurant,-78.490965,38.0318593
29,vending_machine,-78.4859217,38.0349176
30,cafe,-78.4870006,38.0302577
31,restaurant,-78.4850119,38.0324046
32,fast_food,-78.4851639,38.0324399
33,restaurant,-78.503344,38.0129106
34,fast_food,-78.5035284,38.0127521
35,fast_food,-78.504574,38.0473784
36,bank,-78.5042525,38.0478095
37,restaurant,-78.5029169,38.0497327
38,fast_food,-78.4968208,38.0549725
39,bank,-78.4990691,38.0533686
40,fast_food,-78.4981923,38.053353
41,parking_entrance,-78.5080299,38.0417465
42,parking_entrance,-78.4977239,38.0325217
43,restaurant,-78.5160034,38.0268329
44,restaurant,-78.481797,38.0309935
45,theatre,-78.4814272,38.0303642
46,restaurant,-78.4785561,38.02953
47,pharmacy,-78.4793867,38.0299982
48,bicycle_parking,-78.4913485,38.0319112
49,pub,-78.5003613,38.034811
50,atm,-78.5009494,38.0355107
51,restaurant,-78.5007054,38.0352498
52,restaurant,-78.5009338,38.0356609
53,fast_food,-78.4971993,38.0545491
54,car_wash,-78.4965199,38.0553998
55,ice_cream,-78.4800942,38.0304782
56,restaurant,-78.4786998,38.0300274
57,restaurant,-78.4798344,38.0303726
58,restaurant,-78.4795511,38.030287
59,restaurant,-78.4787884,38.0300562
60,clinic,-78.4973291,38.0328565
61,clinic,-78.4974082,38.0326566
62,parking,-78.4984647,38.0339503
63,pharmacy,-78.4910756,38.0596035
64,post_office,-78.503725,38.0509927
65,ice_cream,-78.5011644,38.0514788
66,restaurant,-78.5015064,38.0512022
67,cafe,-78.5018524,38.0514657
68,restaurant,-78.5018277,38.0519582
69,fast_food,-78.5020095,38.0522833
70,restaurant,-78.5020372,38.052162
71,ice_cream,-78.4997841,38.0544085
72,post_office,-78.5003614,38.0549735
73,restaurant,-78.5005931,38.0551736
74,restaurant,-78.4988583,38.0514145
75,parking_entrance,-78.4991617,38.0376871
76,bench,-78.4889441,38.0319685
77,bench,-78.4888233,38.0319442
78,compressed_air,-78.5011739,38.0541002
79,fast_food,-78.5020904,38.0536317
80,vending_machine,-78.5004276,38.0534502
81,restaurant,-78.4979258,38.0537249
82,restaurant,-78.497352,38.0542776
83,fast_food,-78.5004426,38.0349417
84,bank,-78.4627515,38.0367851
85,fast_food,-78.4620557,38.0364908
86,atm,-78.4989008,38.0338662
87,parking_entrance,-78.4987017,38.0337066
88,restaurant,-78.4991466,38.033905
89,atm,-78.5043974,38.0476835
90,parking_entrance,-78.4973418,38.0314924
91,parking_entrance,-78.4967439,38.03152
92,charging_station,-78.4933017,38.0320438
93,charging_station,-78.4693582,38.0231604
94,charging_station,-78.5068909,38.031749
95,charging_station,-78.4888251,38.0620108
96,parking_entrance,-78.5096121,38.0293554
97,parking_entrance,-78.4828357,38.0276436
98,restaurant,-78.4942237,38.0284458
99,ice_cream,-78.4912044,38.0276964
100,place_of_worship,-78.4742305,38.0275209
101,doctors,-78.4783524,38.0276363
102,cafe,-78.4753582,38.0248214
103,cafe,-78.4812291,38.0287971
104,restaurant,-78.4812689,38.0286815
105,fast_food,-78.4729004,38.0155695
106,car_rental,-78.4721965,38.0154438
107,restaurant,-78.4690957,38.0240309
108,restaurant,-78.4703697,38.0232142
109,parking_entrance,-78.4798781,38.0290528
110,restaurant,-78.4867528,38.0663688
111,restaurant,-78.482203,38.03089
112,cafe,-78.4820649,38.0307648
113,restaurant,-78.4820427,38.0308348
114,restaurant,-78.482392,38.0305259
115,cafe,-78.4816809,38.0306233
116,theatre,-78.4811773,38.0299349
117,theatre,-78.480419,38.0296825
118,bank,-78.4801627,38.0302464
119,restaurant,-78.4793156,38.0302549
120,cafe,-78.4790626,38.029903
121,community_centre,-78.4792757,38.0293299
122,restaurant,-78.4781342,38.0296183
123,restaurant,-78.477974,38.0295666
124,bank,-78.4784692,38.0297094
125,restaurant,-78.4791134,38.0301678
126,restaurant,-78.480493,38.0308007
127,bank,-78.4807957,38.0306942
128,restaurant,-78.4803891,38.0307664
129,restaurant,-78.4820607,38.0310719
130,restaurant,-78.4822809,38.0311414
131,restaurant,-78.4828246,38.0313598
132,theatre,-78.481041,38.0319734
133,pub,-78.4832483,38.0318216
134,charging_station,-78.4839946,38.0314983
135,parking_entrance,-78.4843849,38.0321531
136,parking_entrance,-78.4840969,38.0322741
137,restaurant,-78.4895529,38.0314992
138,prep_school,-78.5134524,38.0442843
139,bar,-78.4880469,38.035964
140,restaurant,-78.4846323,38.0381446
141,restaurant,-78.4899188,38.0388504
142,clinic,-78.4780285,38.0406245
143,place_of_worship,-78.4779248,38.0413944
144,doctors,-78.4780119,38.0407065
145,cafe,-78.4907291,38.0392225
146,studio,-78.4787996,38.0409661
147,restaurant,-78.499425,38.03463
148,restaurant,-78.4991691,38.0345431
149,parking_entrance,-78.4983432,38.0335637
150,parking_entrance,-78.4972424,38.0335929
151,parking_entrance,-78.4987699,38.0344926
152,parking_entrance,-78.498855,38.0345229
153,cafe,-78.491323,38.0595065
154,restaurant,-78.4619041,38.0364083
155,fast_food,-78.4881421,38.064868
156,bank,-78.4871019,38.0647891
157,restaurant,-78.4896139,38.0634986
158,cafe,-78.4832501,38.0303744
159,pub,-78.4820248,38.0261159
160,fast_food,-78.5017146,38.0515329
161,fast_food,-78.5028646,38.0497903
162,restaurant,-78.4786073,38.0292135
163,loading_dock,-78.4599976,38.0362643
164,pub,-78.4950696,38.0325265
165,restaurant,-78.4961174,38.0327275
166,charging_station,-78.481413,38.0296865
167,restaurant,-78.4827199,38.0312785
168,post_box,-78.4716392,38.0295006
169,restaurant,-78.4831119,38.0248242
170,bicycle_parking,-78.5093008,38.0289207
171,post_box,-78.5157564,38.0259978
172,bicycle_parking,-78.5093447,38.0288704
173,bbq,-78.5098926,38.0288965
174,waste_basket,-78.5114999,38.0276889
175,waste_basket,-78.500594,38.0365514
176,waste_basket,-78.5005009,38.0365589
177,vending_machine,-78.5155319,38.026179
178,vending_machine,-78.5152459,38.0257783
179,bbq,-78.5190063,38.029586
180,bench,-78.5191974,38.0290803
181,bbq,-78.5193137,38.0297366
182,bicycle_parking,-78.5191651,38.0293838
183,bicycle_repair_station,-78.519128,38.0291186
184,bench,-78.5163226,38.0268369
185,waste_basket,-78.4823168,38.0311017
186,waste_basket,-78.4823466,38.0311069
187,fountain,-78.4819159,38.0309006
188,studio,-78.4830559,38.0321058
189,bench,-78.4917045,38.0315249
190,bicycle_parking,-78.4917917,38.031621
191,bicycle_parking,-78.5163817,38.0262927
192,bench,-78.4801145,38.0295833
193,bench,-78.4799822,38.0295437
194,public_bookcase,-78.476588,38.0242851
195,public_bookcase,-78.4879627,38.0275983
196,public_bookcase,-78.4787012,38.0221722
197,public_bookcase,-78.4781486,38.0240143
198,public_bookcase,-78.4735832,38.0269034
199,public_bookcase,-78.475925,38.0272374
200,public_bookcase,-78.4746555,38.0255062
201,public_bookcase,-78.4776384,38.0241578
202,public_bookcase,-78.4718378,38.0366102
203,public_bookcase,-78.4900194,38.0338852
204,public_bookcase,-78.4806021,38.015745
205,public_bookcase,-78.4824613,38.0253989
206,public_bookcase,-78.468244,38.0459245
207,public_bookcase,-78.4767015,38.0354067
208,public_bookcase,-78.4656492,38.0331314
209,bench,-78.4914123,38.0260637
210,bench,-78.4913647,38.0260097
211,bench,-78.4913158,38.0259632
212,bench,-78.4912663,38.0259148
213,bench,-78.4907729,38.025941
214,bench,-78.490755,38.0259208
215,bench,-78.490876,38.0266401
216,bench,-78.4907535,38.0264031
217,bench,-78.4909405,38.0265797
218,bench,-78.4910065,38.0265152
219,bicycle_parking,-78.4905419,38.0260946
220,theatre,-78.490628,38.0257854
221,parking_entrance,-78.4844609,38.028506
222,studio,-78.4842517,38.0236001
223,parking_space,-78.4837637,38.0237471
224,parking_space,-78.4837,38.0237978
225,parking_space,-78.483195,38.0242029
226,parking_space,-78.4827672,38.0246773
227,parking_space,-78.4827377,38.0247169
228,parking_space,-78.4812087,38.0266987
229,parking_space,-78.48178,38.0268508
230,parking_space,-78.485665,38.0225091
231,parking_space,-78.4752131,38.0185372
232,restaurant,-78.5002465,38.0361836
233,cafe,-78.4790612,38.0306762
234,parking_space,-78.5170676,38.010977
235,parking_space,-78.5170408,38.0110214
236,parking_space,-78.4869984,38.0221722
237,parking_space,-78.4869696,38.0222026
238,parking_space,-78.4869554,38.0222223
239,parking_space,-78.4869285,38.0222524
240,parking_space,-78.5008973,38.0143221
241,parking_space,-78.5031688,38.0127315
242,parking_space,-78.5029792,38.0128209
243,parking_space,-78.5027736,38.0129021
244,parking_space,-78.5027003,38.0129659
245,parking_space,-78.5026235,38.0130275
246,parking_space,-78.502555,38.0130897
247,parking_space,-78.5024768,38.0131529
248,parking_space,-78.5024075,38.0132156
249,parking_space,-78.5023314,38.0132827
250,parking_space,-78.5022581,38.0133481
251,parking_space,-78.5021799,38.0134092
252,parking_space,-78.50211,38.0134773
253,studio,-78.4836887,38.0241213
254,parking_space,-78.4815532,38.0267853
255,parking_space,-78.4820868,38.0288104
256,parking_space,-78.4823025,38.0288559
257,parking_space,-78.4846039,38.029655
258,parking_space,-78.4845644,38.0296443
259,parking_space,-78.484839,38.0297106
260,parking_space,-78.4848633,38.0297184
261,parking_space,-78.484789,38.0296981
262,parking_space,-78.4847192,38.0296789
263,parking_space,-78.4761036,38.0278366
264,parking_space,-78.4760768,38.0278387
265,parking_space,-78.4760338,38.027844
266,parking_space,-78.4749127,38.0276591
267,animal_boarding,-78.5057663,38.0109733
268,bicycle_parking,-78.4835442,38.0239699
269,bicycle_parking,-78.48312,38.0244125
270,bicycle_parking,-78.4827309,38.0247467
271,bicycle_parking,-78.4833244,38.0250137
272,bicycle_parking,-78.4772053,38.0289554
273,letter_box,-78.4749781,38.0557185
274,bicycle_parking,-78.4968914,38.026431
275,bicycle_parking,-78.4960783,38.0301622
276,bicycle_parking,-78.4882533,38.0309537
277,bicycle_parking,-78.4874491,38.0306586
278,bicycle_parking,-78.4869838,38.030618
279,bicycle_parking,-78.4869921,38.0325912
280,bicycle_parking,-78.4840107,38.0348437
281,bicycle_parking,-78.4861864,38.0395021
282,bicycle_parking,-78.4898531,38.0384074
283,bicycle_parking,-78.4914571,38.0399817
284,bicycle_parking,-78.504823,38.0524565
285,bicycle_parking,-78.5024476,38.0542225
286,bicycle_parking,-78.5033263,38.0534388
287,bicycle_parking,-78.5044097,38.0539788
288,bicycle_parking,-78.5081229,38.0542579
289,bicycle_parking,-78.5087862,38.0527015
290,bicycle_parking,-78.5094394,38.0524371
291,bicycle_parking,-78.5097248,38.051442
292,bicycle_parking,-78.5093613,38.0509162
293,bicycle_parking,-78.5020236,38.0496498
294,bicycle_parking,-78.5020125,38.0490585
295,bicycle_parking,-78.5072713,38.0447852
296,bicycle_parking,-78.5078665,38.0415359
297,bicycle_parking,-78.5078839,38.0415766
298,bicycle_parking,-78.507912,38.0416064
299,bicycle_parking,-78.4986363,38.0396999
300,bicycle_parking,-78.5076877,38.0396169
301,bicycle_parking,-78.5077295,38.0390796
302,bicycle_parking,-78.5082869,38.0389793
303,bicycle_parking,-78.5081925,38.0391621
304,parking_space,-78.502606,38.0113445
305,parking_space,-78.502543,38.0113181
306,parking_space,-78.5015334,38.0143081
307,parking_space,-78.501595,38.0143057
308,parking_space,-78.5019909,38.0140842
309,parking_space,-78.5019516,38.0140533
310,parking_space,-78.501444,38.0138645
311,parking_space,-78.5014779,38.0138372
312,library,-78.5091802,38.0531671
313,toilets,-78.451997,38.053165
314,bench,-78.4705794,38.0595306
315,parking_space,-78.4847973,38.0340634
316,parking_space,-78.4849139,38.0341468
317,parking_space,-78.4849475,38.0341563
318,parking_space,-78.4849797,38.0341679
319,parking_space,-78.485044,38.0341331
320,parking_space,-78.4850467,38.0341088
321,parking_space,-78.4850521,38.0340845
322,parking_space,-78.4850601,38.0340634
323,parking_space,-78.4850682,38.0340391
324,parking_space,-78.4850776,38.0340116
325,parking_space,-78.4850869,38.0339937
326,parking_space,-78.485099,38.0339704
327,parking_space,-78.4851044,38.0339356
328,parking_space,-78.4844298,38.033681
329,parking_space,-78.4847651,38.0335521
330,parking_space,-78.4847865,38.0335764
331,parking_space,-78.4848134,38.0336018
332,parking_space,-78.4848375,38.033625
333,parking_space,-78.4848657,38.0336419
334,parking_space,-78.4848871,38.0336651
335,parking_space,-78.4849139,38.0336852
336,parking_space,-78.4849394,38.0337053
337,parking_space,-78.4849622,38.0337349
338,parking_space,-78.484985,38.0337623
339,parking_space,-78.4850105,38.0337803
340,parking_space,-78.485036,38.033793
341,bench,-78.4743424,38.0435009
342,bench,-78.474588,38.043595
343,bench,-78.4743674,38.0478167
344,bench,-78.4743545,38.0478715
345,bench,-78.4742962,38.04792
346,bench,-78.4933557,38.0559411
347,bench,-78.47823,38.0480694
348,bench,-78.4783094,38.0481178
349,bench,-78.4783618,38.0480667
350,bench,-78.4782198,38.0482035
351,bench,-78.4781702,38.0482491
352,bicycle_parking,-78.4776576,38.0487173
353,bicycle_parking,-78.4774862,38.048877
354,bicycle_parking,-78.4781287,38.0492847
355,bbq,-78.4772831,38.0500456
356,bench,-78.4773164,38.0497612
357,bench,-78.4792785,38.0502231
358,bench,-78.4768921,38.0446809
359,bench,-78.4768773,38.0446331
360,bench,-78.4768611,38.04458
361,bench,-78.476884,38.0444716
362,bench,-78.4768975,38.0444323
363,bench,-78.4765164,38.0456082
364,bench,-78.4778604,38.046787
365,bench,-78.4717606,38.0610275
366,bench,-78.4726584,38.0615519
367,bench,-78.4726234,38.061514
368,bench,-78.4794504,38.052681
369,restaurant,-78.4897614,38.0315504
370,bench,-78.4753315,38.0457446
371,bench,-78.4763135,38.0504667
372,bench,-78.477168,38.0505708
373,bench,-78.4774369,38.0487785
374,bench,-78.4773494,38.0487148
375,bench,-78.4772798,38.0486663
376,bench,-78.4772183,38.0486179
377,bench,-78.4771551,38.048572
378,bench,-78.4770952,38.0485273
379,bench,-78.4816405,38.0494995
380,bench,-78.4779489,38.0450536
381,bench,-78.4779023,38.0450192
382,bench,-78.4775619,38.0447069
383,bench,-78.4774706,38.0446994
384,bench,-78.4774392,38.0447219
385,bench,-78.4920724,38.0553544
386,bench,-78.4768072,38.0409244
387,bicycle_parking,-78.4752876,38.0418975
388,bicycle_parking,-78.4742923,38.04301
389,waste_basket,-78.4732237,38.0620546
390,bench,-78.4730606,38.0622865
391,fast_food,-78.5033871,38.012871
392,restaurant,-78.5034638,38.0128031
393,fuel,-78.5203015,38.0256754
394,parking_entrance,-78.4738558,38.0285731
395,letter_box,-78.4703618,38.0611127
396,parking_entrance,-78.4970199,38.0373649
397,bicycle_parking,-78.5021409,38.0117873
398,parking_entrance,-78.4775666,38.0303432
399,restaurant,-78.4992666,38.0343401
400,waste_basket,-78.5044792,38.0488626
401,waste_basket,-78.5045039,38.0487039
402,waste_basket,-78.5044226,38.0487835
403,bench,-78.5044537,38.0487569
404,restaurant,-78.498603,38.0526825
405,waste_basket,-78.4933956,38.0321943
406,waste_basket,-78.5007837,38.0322762
407,bicycle_parking,-78.5008056,38.0322705
408,waste_basket,-78.4936559,38.0322455
409,waste_basket,-78.4927195,38.0320398
410,waste_basket,-78.4930531,38.0321117
411,bicycle_parking,-78.4929333,38.0320865
412,fast_food,-78.4939833,38.0325498
413,bicycle_parking,-78.4938329,38.0322511
414,cafe,-78.4948356,38.0328388
415,atm,-78.4950144,38.0585289
416,restaurant,-78.4946623,38.05962
417,fast_food,-78.4940322,38.0595254
418,ice_cream,-78.4941571,38.0596202
419,cafe,-78.5008908,38.0355158
420,restaurant,-78.5007669,38.0357185
421,restaurant,-78.4995365,38.034437
422,restaurant,-78.4998251,38.0343144
423,bank,-78.5000422,38.0344455
424,police,-78.499945,38.0343905
425,restaurant,-78.5003971,38.0348773
426,restaurant,-78.4950768,38.0328851
427,bicycle_parking,-78.5043074,38.0490249
428,post_office,-78.4897859,38.063131
429,restaurant,-78.4827713,38.0313077
430,bench,-78.4545171,38.0224816
431,restaurant,-78.4972124,38.0333102
432,restaurant,-78.4820899,38.0259621
433,bench,-78.4532813,38.024966
434,restaurant,-78.4852312,38.0651776
435,place_of_worship,-78.4872185,38.0625019
436,studio,-78.487698,38.0645507
437,restaurant,-78.4886856,38.0643064
438,restaurant,-78.4890366,38.0630997
439,bench,-78.480787,38.0653426
440,restaurant,-78.4515978,38.0497518
441,arts_centre,-78.4697238,38.0240408
442,arts_centre,-78.4697465,38.0240087
443,kindergarten,-78.4992022,38.0397967
444,restaurant,-78.4824757,38.0303406
445,bench,-78.4932529,38.0639655
446,waste_basket,-78.4932667,38.0639796
447,vending_machine,-78.4918464,38.0316071
448,vending_machine,-78.4917282,38.0314084
449,vending_machine,-78.4917231,38.0313976
450,vending_machine,-78.4917656,38.0314196
451,pub,-78.486494,38.0350278
452,bicycle_parking,-78.5043448,38.0471504
453,vacuum_cleaner,-78.5011168,38.0541101
454,parking_space,-78.4919682,38.0318003
455,parking_space,-78.4919858,38.0317954
456,parking_space,-78.4920043,38.0317839
457,parking_entrance,-78.5035626,38.0300153
458,parking_entrance,-78.5034489,38.0303902
459,pharmacy,-78.4983326,38.0321583
460,cafe,-78.4870891,38.0304257
461,toilets,-78.4718782,38.0503862
462,fast_food,-78.4803728,38.0305594
463,fountain,-78.4805787,38.0306892
464,bar,-78.4913909,38.03796
465,pub,-78.4826956,38.0293337
466,restaurant,-78.4830285,38.0247243
467,social_facility,-78.4833728,38.024305
468,place_of_worship,-78.4838446,38.0239289
469,social_facility,-78.4938305,38.0289093
470,waste_basket,-78.4895854,38.0313332
471,waste_basket,-78.4879421,38.0309171
472,waste_basket,-78.4849542,38.0304725
473,waste_basket,-78.4842017,38.0309505
474,restaurant,-78.4930931,38.0323338
475,cafe,-78.4949017,38.0328447
476,restaurant,-78.5001991,38.0346483
477,fast_food,-78.5006401,38.0351934
478,waste_basket,-78.4872117,38.0308809
479,restaurant,-78.4998774,38.0516978
480,cafe,-78.4876834,38.0375776
481,restaurant,-78.4994969,38.0345072
482,cafe,-78.4988401,38.034036
483,ice_cream,-78.4989384,38.0342296
484,restaurant,-78.4990962,38.0342841
485,restaurant,-78.5004059,38.0366565
486,restaurant,-78.500588,38.0363711
487,dentist,-78.4976847,38.0539651
488,restaurant,-78.5162849,38.0256289
489,restaurant,-78.5056186,38.0509976
490,charging_station,-78.4820828,38.0353563
491,restaurant,-78.4773806,38.0268862
492,restaurant,-78.4817152,38.0318407
493,restaurant,-78.4879857,38.0357234
494,ice_cream,-78.4912693,38.0381051
495,restaurant,-78.4915216,38.0381201
496,restaurant,-78.49098,38.0379485
497,restaurant,-78.4910128,38.03803
498,restaurant,-78.4910299,38.0378747
499,restaurant,-78.4910956,38.0379207
500,restaurant,-78.4915301,38.0380194
501,restaurant,-78.4913901,38.0381095
502,restaurant,-78.5160309,38.0256675
503,restaurant,-78.4819668,38.0313762
504,restaurant,-78.4642081,38.0319015
505,cafe,-78.471377,38.0313408
506,restaurant,-78.4668732,38.0317606
507,restaurant,-78.4774294,38.0281312
508,restaurant,-78.4676215,38.0266478
509,bench,-78.4777798,38.0406304
510,waste_basket,-78.483169,38.0380623
511,waste_basket,-78.4826478,38.0379699
512,bicycle_parking,-78.4904803,38.0399135
513,restaurant,-78.4743251,38.024251
514,restaurant,-78.4757833,38.0246466
515,restaurant,-78.4755481,38.0244737
516,restaurant,-78.475459,38.0244301
517,restaurant,-78.462997,38.0324584
518,bar,-78.4785798,38.0300028
519,restaurant,-78.4801543,38.0305021
520,bar,-78.4810013,38.0304927
521,restaurant,-78.4810306,38.0304395
522,restaurant,-78.4815202,38.0300556
523,restaurant,-78.482325,38.0306821
524,cafe,-78.4825314,38.0312359
525,restaurant,-78.4779317,38.0297972
526,restaurant,-78.4954622,38.0290735
527,restaurant,-78.4813083,38.0285801
528,restaurant,-78.4941948,38.0332492
529,cafe,-78.4939497,38.0332533
530,restaurant,-78.4671132,38.025781
531,restaurant,-78.481532,38.0309224
532,restaurant,-78.4880707,38.0312807
533,restaurant,-78.4882129,38.0311776
534,fast_food,-78.5135517,38.044283
535,atm,-78.5119579,38.0425373
536,restaurant,-78.5129966,38.0440646
537,cafe,-78.5050707,38.0317551
538,restaurant,-78.4607061,38.0342238
