,amenity,longitude,latitude
0,place_of_worship,-76.2616047,36.5798736
1,place_of_worship,-76.1446564,36.654873
2,school,-76.2854946,36.5879291
3,place_of_worship,-76.2746611,36.6304282
4,place_of_worship,-76.1676347,36.6910239
5,grave_yard,-76.2735506,36.7570928
6,place_of_worship,-76.2124364,36.6112622
7,place_of_worship,-76.1404901,36.7140387
8,school,-76.2282715,36.8173702
9,school,-76.2632331,36.8162761
10,post_office,-76.3435532,36.7701486
11,place_of_worship,-76.3057734,36.6268173
12,post_office,-76.2816066,36.7876482
13,place_of_worship,-76.3054956,36.6268174
14,place_of_worship,-76.272081,36.7112967
15,place_of_worship,-76.270969,36.6924713
16,school,-76.1861111,36.7580556
17,place_of_worship,-76.4088888,36.8102778
18,grave_yard,-76.2758333,36.6302778
19,place_of_worship,-76.2294445,36.8180556
20,school,-76.2283093,36.8175211
21,school,-76.2326977,36.8169051
22,school,-76.2719577,36.7114601
23,school,-76.2151035,36.6524388
24,school,-76.2428373,36.8006834
25,school,-76.2694213,36.7851248
26,school,-76.2045992,36.7578613
27,school,-76.186495,36.7581534
28,school,-76.4382598,36.8026152
29,fire_station,-76.2450362,36.694027
30,fire_station,-76.2267969,36.8048311
31,fire_station,-76.2488709,36.7181983
32,police,-76.2588889,36.7722222
33,police,-76.4277117,36.8477101
34,police,-76.2597663,36.7709245
35,police,-76.249515,36.7182533
36,fountain,-76.2117741,36.7684273
37,restaurant,-76.2383845,36.7169842
38,fast_food,-76.2377146,36.7155013
39,fast_food,-76.2388766,36.7122197
40,restaurant,-76.2385265,36.7116119
41,restaurant,-76.2390569,36.7121814
42,fast_food,-76.1881771,36.7157891
43,toilets,-76.3458852,36.7224672
44,fountain,-76.2218851,36.7342573
45,fountain,-76.2198417,36.7336497
46,fuel,-76.409001,36.865333
47,restaurant,-76.2239176,36.6864167
48,restaurant,-76.2241202,36.6861828
49,restaurant,-76.2242731,36.6861388
50,cafe,-76.2243618,36.6861032
51,dentist,-76.22644,36.6859514
52,restaurant,-76.2265338,36.6859841
53,fountain,-76.2240395,36.6850876
54,restaurant,-76.2334512,36.7009092
55,restaurant,-76.2334194,36.7007773
56,restaurant,-76.2443315,36.7494539
57,restaurant,-76.2443163,36.7494026
58,doctors,-76.2442523,36.7493334
59,restaurant,-76.2442665,36.7492422
60,restaurant,-76.2439457,36.7486493
61,clinic,-76.2439595,36.7486004
62,prep_school,-76.2437237,36.7477575
63,dentist,-76.2437217,36.7476492
64,fuel,-76.2483315,36.7547701
65,fast_food,-76.2504542,36.7627044
66,atm,-76.2511474,36.7692082
67,restaurant,-76.248508,36.7687092
68,fuel,-76.232919,36.7747075
69,fast_food,-76.231132,36.776395
70,pub,-76.2329236,36.7754955
71,restaurant,-76.2324411,36.7756747
72,restaurant,-76.2320468,36.7757528
73,restaurant,-76.2309091,36.7757113
74,restaurant,-76.2308786,36.7756348
75,cafe,-76.230838,36.7755289
76,restaurant,-76.2308095,36.7753824
77,fast_food,-76.230966,36.7751479
78,restaurant,-76.2313096,36.7750519
79,ice_cream,-76.2313748,36.7749807
80,fast_food,-76.2318228,36.7748753
81,fast_food,-76.2320186,36.7748431
82,clinic,-76.2326541,36.778165
83,restaurant,-76.2323568,36.777669
84,fountain,-76.2358437,36.7809685
85,fuel,-76.2374837,36.7707933
86,loading_dock,-76.2357532,36.7723952
87,fountain,-76.352171,36.7299969
88,fountain,-76.3517685,36.7298894
89,fountain,-76.3534557,36.7304955
90,fountain,-76.2378261,36.6545924
91,fountain,-76.236363,36.6548061
92,fountain,-76.2369417,36.6534382
93,ice_cream,-76.2342957,36.6594722
94,restaurant,-76.2337452,36.6603205
95,fast_food,-76.2342006,36.6604236
96,restaurant,-76.2342986,36.6604498
97,restaurant,-76.2336215,36.6606708
98,restaurant,-76.2315909,36.6600001
99,dentist,-76.2315062,36.6599853
100,restaurant,-76.2251679,36.6568357
101,doctors,-76.4008474,36.8642287
102,restaurant,-76.4144487,36.8659147
103,restaurant,-76.4010151,36.8633076
104,dentist,-76.3420404,36.7395658
105,restaurant,-76.3422344,36.7392523
106,restaurant,-76.3423302,36.7392158
107,restaurant,-76.3425053,36.7391429
108,fountain,-76.3255228,36.7405051
109,restaurant,-76.2378273,36.7109616
110,fuel,-76.2389743,36.7170182
111,fuel,-76.2417008,36.7279267
112,fast_food,-76.2305606,36.769435
113,dentist,-76.2306249,36.769421
114,veterinary,-76.2401782,36.7922374
115,restaurant,-76.2447086,36.7402552
116,dentist,-76.2446565,36.740085
117,fast_food,-76.2432133,36.740307
118,post_office,-76.2431784,36.7401952
119,restaurant,-76.2431382,36.7400963
120,restaurant,-76.2431221,36.7400372
121,fountain,-76.2479246,36.7660015
122,restaurant,-76.2471672,36.768835
123,restaurant,-76.2493458,36.7674103
124,restaurant,-76.2484053,36.7673361
125,restaurant,-76.2480729,36.7677736
126,restaurant,-76.2476381,36.7682778
127,cafe,-76.2496581,36.7676546
128,fuel,-76.218881,36.8089776
129,fuel,-76.2599799,36.7913007
130,fountain,-76.2769846,36.8099662
131,fast_food,-76.2838552,36.7160585
132,fuel,-76.2312194,36.6889139
133,car_wash,-76.2311301,36.6885754
134,restaurant,-76.2542731,36.7976488
135,car_rental,-76.2381001,36.7932366
136,restaurant,-76.23823,36.7931477
137,fast_food,-76.2383867,36.7930387
138,restaurant,-76.2383432,36.7929912
139,restaurant,-76.2379946,36.792522
140,bar,-76.2377929,36.7914889
141,dentist,-76.2378061,36.7913005
142,cafe,-76.2259692,36.819783
143,restaurant,-76.2241545,36.8192354
144,bar,-76.2234859,36.8186903
145,fuel,-76.2553936,36.8067251
146,fast_food,-76.262034,36.7920134
147,restaurant,-76.2620331,36.792136
148,restaurant,-76.262054,36.7924305
149,social_facility,-76.2771942,36.8213948
150,marketplace,-76.2419164,36.7206122
151,post_office,-76.2255906,36.6857517
152,ice_cream,-76.2299448,36.6885098
153,bank,-76.2315442,36.6897233
154,fast_food,-76.2374179,36.7156034
155,restaurant,-76.2837971,36.7151228
156,clinic,-76.2836972,36.7150315
157,dentist,-76.2841622,36.7153818
158,car_rental,-76.2842034,36.7154169
159,restaurant,-76.2840204,36.7152716
160,restaurant,-76.2845512,36.7156292
161,restaurant,-76.2849682,36.7159595
162,restaurant,-76.242155,36.7442723
163,pharmacy,-76.2421897,36.7443624
164,fountain,-76.249188,36.7419263
165,fountain,-76.2498653,36.7433876
166,restaurant,-76.2460749,36.7528577
167,clinic,-76.2459518,36.7532142
168,restaurant,-76.2260825,36.7435128
169,restaurant,-76.2262483,36.7434234
170,restaurant,-76.2264465,36.7433189
171,fountain,-76.2281596,36.7457006
172,fountain,-76.2304967,36.7481352
173,fountain,-76.2316713,36.7487605
174,fountain,-76.2321856,36.7487605
175,fountain,-76.2323902,36.7497398
176,restaurant,-76.2228576,36.744334
177,restaurant,-76.2233536,36.7439515
178,restaurant,-76.2234342,36.744088
179,restaurant,-76.2227847,36.7442212
180,ice_cream,-76.2236055,36.7438156
181,restaurant,-76.2233579,36.7444733
182,parking,-76.1573403,36.585773
183,shelter,-76.1577917,36.5862307
184,toilets,-76.1577232,36.5854613
185,toilets,-76.1576538,36.5844098
186,shelter,-76.157275,36.5838268
187,toilets,-76.162843,36.5860682
188,shelter,-76.1579198,36.5735957
189,shelter,-76.1577489,36.573716
190,fountain,-76.2482904,36.6966059
191,fountain,-76.2496422,36.6973199
192,fountain,-76.2562203,36.7073589
193,fountain,-76.2552279,36.7070449
194,fountain,-76.2561452,36.7083351
195,fountain,-76.2569552,36.7067828
196,fountain,-76.218584,36.7901245
197,fountain,-76.2180691,36.790174
198,fountain,-76.2405949,36.6680315
199,fountain,-76.2357993,36.6655639
200,fountain,-76.2390182,36.6659471
201,fountain,-76.2331492,36.6649703
202,fountain,-76.2319905,36.6651336
203,fountain,-76.2435669,36.6655854
204,fountain,-76.2367917,36.6661706
205,fountain,-76.2310893,36.665736
206,fountain,-76.2421025,36.6659555
207,restaurant,-76.2726626,36.7528557
208,bureau_de_change,-76.2720699,36.7520692
209,dentist,-76.2719277,36.7520702
210,parking,-76.2671328,36.8118445
211,restaurant,-76.2374749,36.7063519
212,restaurant,-76.2369134,36.7065104
213,bicycle_repair_station,-76.358924,36.6891085
214,fountain,-76.2967914,36.7250212
215,fountain,-76.2804384,36.7488545
216,fountain,-76.2829595,36.7477386
217,fountain,-76.2964536,36.7283899
218,dojo,-76.2563606,36.7113259
219,pharmacy,-76.2543533,36.7782782
220,cafe,-76.2531063,36.7784748
221,doctors,-76.2199386,36.7356509
222,fountain,-76.2325918,36.6805126
223,fountain,-76.2357783,36.6797856
224,fountain,-76.2385195,36.6788219
225,fountain,-76.2401342,36.6783056
226,post_box,-76.2517496,36.767498
227,atm,-76.2512101,36.7653321
228,restaurant,-76.2492262,36.764055
229,ice_cream,-76.2486879,36.7643149
230,fast_food,-76.2483177,36.7644792
231,bank,-76.2481027,36.7645803
232,restaurant,-76.2505651,36.7628674
233,restaurant,-76.2301397,36.7705372
234,restaurant,-76.2482156,36.7645287
235,restaurant,-76.2487998,36.7642602
236,fast_food,-76.2485974,36.764357
237,toilets,-76.2394018,36.7434475
238,veterinary,-76.2236683,36.7425644
239,post_office,-76.2238717,36.7424678
240,pharmacy,-76.223735,36.7425331
241,restaurant,-76.2241964,36.7422636
242,clinic,-76.2390172,36.7343681
243,dentist,-76.2390239,36.7341821
244,restaurant,-76.234698,36.7728546
245,restaurant,-76.2345129,36.7728868
246,cafe,-76.2341136,36.7729379
247,loading_dock,-76.23601,36.7710489
248,bench,-76.2363969,36.7363763
249,waste_basket,-76.2363964,36.7363877
250,bench,-76.2373599,36.7433776
251,bench,-76.2358584,36.7435766
252,bench,-76.2358684,36.7435606
253,bench,-76.2368665,36.7437367
254,bench,-76.236675,36.7440111
255,waste_basket,-76.2373163,36.7442969
256,bench,-76.2369739,36.741651
257,cinema,-76.2270682,36.7798225
258,toilets,-76.2558675,36.7185683
259,waste_basket,-76.253122,36.7198912
260,fountain,-76.2454119,36.6525326
261,shelter,-76.3447747,36.7223135
262,atm,-76.2545986,36.7136121
263,shelter,-76.3446566,36.722588
264,toilets,-76.346522,36.7207619
265,parking,-76.2778573,36.5988225
266,fountain,-76.2602249,36.7448593
267,fountain,-76.2440013,36.6958883
268,bench,-76.2371917,36.743468
269,bench,-76.2365033,36.7438231
270,bench,-76.2355506,36.7453725
271,bench,-76.2349465,36.7464352
272,bench,-76.2364714,36.743732
273,bench,-76.2372655,36.7443137
274,bench,-76.2340611,36.7482254
275,bench,-76.2340515,36.746596
276,bench,-76.2340311,36.7465853
277,bench,-76.2340492,36.7465605
278,bench,-76.2338168,36.7473539
279,bench,-76.2357488,36.745375
280,bench,-76.2367168,36.7399339
281,bench,-76.2369028,36.7395786
282,bench,-76.2370126,36.7391959
283,bench,-76.2365242,36.7374616
284,bench,-76.2360605,36.7366674
285,bench,-76.2369081,36.7400356
286,bench,-76.2370498,36.741612
287,bench,-76.2370344,36.7415846
288,bench,-76.2375955,36.7433392
289,waste_basket,-76.2374037,36.7433945
290,waste_basket,-76.2367548,36.7399558
291,restaurant,-76.1889737,36.7153267
292,bar,-76.1883338,36.7155641
293,doctors,-76.188296,36.715621
294,restaurant,-76.1882437,36.7156901
295,post_office,-76.1882063,36.7157425
296,restaurant,-76.1881338,36.7158499
297,restaurant,-76.1881056,36.7158979
298,dentist,-76.1874311,36.7168337
299,restaurant,-76.1873494,36.7169404
300,fast_food,-76.1872653,36.7170696
301,bar,-76.1871229,36.717268
302,pharmacy,-76.1861565,36.7151903
303,fountain,-76.4227149,36.8006664
304,fountain,-76.4230691,36.7998791
305,fountain,-76.428106,36.8224963
306,post_box,-76.4082522,36.8133502
307,restaurant,-76.2544191,36.7863098
308,community_centre,-76.2538773,36.7864301
309,restaurant,-76.2525979,36.7875084
310,restaurant,-76.253656,36.7884869
311,restaurant,-76.2538746,36.7883591
312,clinic,-76.2557025,36.7873527
313,fast_food,-76.2498222,36.7684406
314,fast_food,-76.2496774,36.7684556
315,grave_yard,-76.4212377,36.8142881
316,bench,-76.4204562,36.8110376
317,loading_dock,-76.2634807,36.7096476
318,bbq,-76.3629095,36.7425063
319,bbq,-76.36296,36.7425826
320,bench,-76.3629104,36.7427906
321,bench,-76.3630177,36.7426971
322,bench,-76.3631384,36.7426826
323,bench,-76.3632081,36.7427181
324,cafe,-76.2764006,36.7121841
325,parking_entrance,-76.2904905,36.7239777
326,parking_entrance,-76.2907954,36.7254378
327,restaurant,-76.2756097,36.7120737
328,dojo,-76.4135584,36.8659057
329,fuel,-76.3991925,36.8657125
330,restaurant,-76.4015595,36.8634461
331,restaurant,-76.4218878,36.8233617
332,restaurant,-76.4216946,36.8233359
333,restaurant,-76.4213513,36.82325
334,post_office,-76.4209758,36.8231856
335,pub,-76.420139,36.8230826
336,fast_food,-76.4198385,36.8238469
