,amenity,longitude,latitude
0,place_of_worship,-104.7735531,41.1354103
1,place_of_worship,-104.8135738,41.1733082
2,place_of_worship,-104.8029409,41.1238764
3,school,-104.805529,41.1425939
4,fast_food,-104.7775705,41.1605311
5,fuel,-104.7063786,41.1365662
6,fuel,-104.782838,41.1604148
7,fire_station,-104.7577159,41.1420375
8,boat_rental,-104.827815,41.1551787
9,post_box,-104.786498,41.1624572
10,doctors,-104.7844743,41.142554
11,hospital,-104.815424,41.1405788
12,doctors,-104.76075,41.1524766
13,doctors,-104.760171,41.1523427
14,clinic,-104.798703,41.158402
15,fast_food,-104.7927,41.161421
16,restaurant,-104.792721,41.1611415
17,fast_food,-104.792713,41.1609784
18,toilets,-104.7727599,41.1583342
19,fuel,-104.707299,41.1361136
20,doctors,-104.759011,41.1514546
21,social_facility,-104.761755,41.1608137
22,car_rental,-104.819676,41.1536601
23,fast_food,-104.7687239,41.1604001
24,post_box,-104.7955556,41.1186556
25,charging_station,-104.8049814,41.1611133
26,fast_food,-104.7892447,41.1382071
27,fast_food,-104.7879707,41.1388211
28,fuel,-104.8079781,41.1357552
29,fast_food,-104.7860905,41.1381444
30,fuel,-104.7617931,41.1367653
31,fuel,-104.769115,41.1391125
32,bank,-104.7781144,41.1388802
33,fuel,-104.7792302,41.1388257
34,fuel,-104.8309298,41.1438966
35,fuel,-104.7562356,41.1443684
36,fuel,-104.791377,41.1612522
37,car_wash,-104.76793,41.1595074
38,restaurant,-104.8424036,41.1233212
39,fuel,-104.8400379,41.1838718
40,doctors,-104.802391,41.1422308
41,cafe,-104.769084,41.1443336
42,bench,-104.824394,41.1686291
43,waste_basket,-104.8243718,41.1686131
44,bench,-104.7961461,41.1567457
45,waste_basket,-104.7926382,41.1561845
46,bench,-104.7926633,41.15619
47,bench,-104.7925839,41.1561832
48,cafe,-104.8185181,41.1306278
49,restaurant,-104.8139937,41.1320132
50,cafe,-104.815316,41.1330834
51,cafe,-104.8164983,41.1327338
52,restaurant,-104.8140016,41.1344797
53,restaurant,-104.8152913,41.1340038
54,restaurant,-104.814812,41.1349473
55,bar,-104.8137184,41.1353838
56,childcare,-104.7896609,41.1609339
57,restaurant,-104.7896732,41.1611789
58,fast_food,-104.799924,41.1598558
59,restaurant,-104.8051048,41.1587246
60,restaurant,-104.8052676,41.1588445
61,veterinary,-104.7849578,41.1605382
62,ice_cream,-104.7843849,41.1605144
63,restaurant,-104.765701,41.1372803
64,ice_cream,-104.8063523,41.1357743
65,fast_food,-104.80457,41.1365061
66,bench,-104.836599,41.1453328
67,bench,-104.8366513,41.1453514
68,parking_entrance,-104.817005,41.1414433
69,bench,-104.7581535,41.1413576
70,bench,-104.7561228,41.141969
71,drinking_water,-104.756558,41.155911
72,bench,-104.7569956,41.1563506
73,bench,-104.7569687,41.1563439
74,bench,-104.7868076,41.1566903
75,waste_basket,-104.7869164,41.1566876
76,drinking_water,-104.7724774,41.1585589
77,bench,-104.8291812,41.1706082
78,bench,-104.8304163,41.1610407
79,drinking_water,-104.8313635,41.1598895
80,bicycle_repair_station,-104.7733125,41.1790669
81,bicycle_repair_station,-104.8292165,41.1546169
82,waste_basket,-104.7830661,41.1595672
83,waste_basket,-104.8243629,41.1686057
84,waste_basket,-104.8173454,41.1666451
85,waste_basket,-104.8173594,41.1666519
86,bench,-104.8172941,41.16662
87,waste_basket,-104.8029508,41.1583489
88,waste_basket,-104.8029364,41.1583501
89,waste_basket,-104.8290316,41.1592432
90,waste_basket,-104.8247097,41.1563817
91,waste_basket,-104.7868087,41.1567124
92,waste_basket,-104.7616584,41.1385324
93,waste_basket,-104.7616637,41.1385438
94,bench,-104.7616675,41.1385607
95,waste_basket,-104.756867,41.1563003
96,waste_basket,-104.7566319,41.1560312
97,waste_basket,-104.7485664,41.1509533
98,waste_basket,-104.7280601,41.1500166
99,waste_basket,-104.728023,41.1504811
100,waste_basket,-104.8021883,41.1211036
101,waste_basket,-104.8022031,41.121127
102,bench,-104.8021697,41.1210615
103,waste_basket,-104.8137704,41.126141
104,waste_basket,-104.8100066,41.1814464
105,waste_basket,-104.8152382,41.1819674
106,drinking_water,-104.8152124,41.1818957
107,waste_basket,-104.8271475,41.1301927
108,waste_basket,-104.8272077,41.1302324
109,waste_basket,-104.8215882,41.1129915
110,waste_basket,-104.8215699,41.1130049
111,bench,-104.8216186,41.1129898
112,cafe,-104.8291206,41.1739173
113,vending_machine,-104.7910967,41.1635274
114,pharmacy,-104.7915023,41.163942
115,bench,-104.7586351,41.1573109
116,bicycle_repair_station,-104.7617139,41.1386761
117,fast_food,-104.7811458,41.1605306
118,restaurant,-104.82282,41.1643524
119,restaurant,-104.765783,41.1372803
120,bench,-104.8256781,41.1242357
121,bench,-104.825707,41.1242127
122,restaurant,-104.7638684,41.1611069
123,vending_machine,-104.8296078,41.1726648
124,cafe,-104.8297653,41.17273
125,money_transfer,-104.8296078,41.1726012
126,vacuum_cleaner,-104.8307305,41.1716107
127,vacuum_cleaner,-104.8307732,41.1715848
128,vacuum_cleaner,-104.8306768,41.171553
129,vacuum_cleaner,-104.830633,41.1715809
130,flight_school,-104.8183891,41.1507504
131,payment_terminal,-104.7642543,41.126125
132,vending_machine,-104.7642763,41.1260614
133,pharmacy,-104.7645441,41.1257104
134,parking_entrance,-104.8170464,41.1328218
135,parking_entrance,-104.8178001,41.1325153
136,parking_entrance,-104.8208209,41.1352799
137,parking_entrance,-104.8208039,41.1360389
138,post_box,-104.8181146,41.1487732
139,post_office,-104.8187537,41.1374194
140,childcare,-104.808354,41.1791468
141,payment_terminal,-104.7912187,41.1635365
142,car_rental,-104.8114638,41.1531155
143,bench,-104.8251945,41.1558793
144,bench,-104.8284645,41.1589966
145,bench,-104.8267841,41.1582171
146,bench,-104.8239845,41.1562572
147,bench,-104.8255301,41.1555607
148,bench,-104.823262,41.1534935
149,waste_basket,-104.823099,41.1534397
150,parking_entrance,-104.8155856,41.1398967
151,parking_entrance,-104.8150349,41.1396045
152,parking_entrance,-104.8148414,41.1396765
153,parking_entrance,-104.8147239,41.140026
154,post_box,-104.8158039,41.1401422
155,cafe,-104.8011627,41.1468542
156,waste_disposal,-104.7807093,41.1606552
157,waste_disposal,-104.7896286,41.1604026
158,waste_disposal,-104.7859555,41.1609441
159,waste_disposal,-104.7789006,41.1606639
160,waste_disposal,-104.7780664,41.1606528
161,waste_disposal,-104.7785935,41.1606588
162,waste_disposal,-104.7826785,41.160569
163,waste_disposal,-104.7840075,41.1607265
164,waste_disposal,-104.787265,41.1609739
165,waste_disposal,-104.7878216,41.1609476
166,waste_disposal,-104.7910403,41.1594028
167,waste_disposal,-104.7899432,41.15974
168,bench,-104.7584948,41.1343054
169,doctors,-104.8101024,41.1651907
170,social_facility,-104.8084255,41.165077
171,social_facility,-104.8070686,41.1650699
172,parking,-104.823761,41.1629694
173,parking,-104.8237101,41.1630004
174,parking,-104.8236396,41.1630518
175,parking,-104.8235897,41.1630878
176,bench,-104.7809092,41.1426424
177,bench,-104.7808153,41.1425566
178,bench,-104.7810527,41.1427384
179,toilets,-104.8307056,41.158456
180,restaurant,-104.7857282,41.1381021
181,restaurant,-104.7856262,41.1381011
182,dentist,-104.8209032,41.1465954
183,public_bookcase,-104.827386,41.150592
184,weighbridge,-104.7076082,41.1358204
185,courthouse,-104.8174552,41.1332964
186,fast_food,-104.8163268,41.1457626
187,fast_food,-104.7899419,41.1381401
188,fast_food,-104.7653215,41.1611306
