,amenity,longitude,latitude
0,ferry_terminal,-87.6225172,41.8891445
1,ferry_terminal,-87.6377402,41.8790618
2,parking_entrance,-87.6150579,41.8586894
3,parking_entrance,-87.5841968,41.7917424
4,parking_entrance,-87.6119452,41.8496767
5,post_box,-87.7721983,42.0040731
6,parking_entrance,-87.6156382,41.8642079
7,parking_entrance,-87.6176424,41.864604
8,loading_dock,-87.6155483,41.8632946
9,theatre,-87.6255101,41.8848116
10,bicycle_parking,-87.6515509,41.9241721
11,fast_food,-87.6492116,41.9255742
12,post_office,-87.6534292,41.9256657
13,drinking_water,-87.6540554,41.9866139
14,fast_food,-87.6279448,41.8801353
15,fast_food,-87.6246715,41.8802396
16,fast_food,-87.6200636,41.892821
17,restaurant,-87.6096584,41.8914114
18,pharmacy,-87.6275016,41.8817505
19,fast_food,-87.6259628,41.8839093
20,fuel,-87.6563792,41.9254868
21,parking_entrance,-87.9026716,41.9788185
22,theatre,-87.6693323,41.9757947
23,cinema,-87.6092419,41.8918968
24,fast_food,-87.669906,41.8713984
25,restaurant,-87.6256688,41.8819751
26,fast_food,-87.6272156,41.8822267
27,cafe,-87.6332051,41.9208448
28,clock,-87.6391428,41.9035461
29,fast_food,-87.648996,41.9374643
30,restaurant,-87.6535647,41.9291497
31,cafe,-87.6761596,41.9616382
32,restaurant,-87.6766491,41.9616342
33,post_box,-87.6761732,41.9615509
34,pub,-87.6317078,41.8858768
35,cafe,-87.6348879,41.9113009
36,restaurant,-87.638378,41.9127223
37,cafe,-87.653374,41.9285344
38,cafe,-87.6789343,41.9547023
39,cafe,-87.6584501,41.9288055
40,pub,-87.6612825,41.9305296
41,cafe,-87.6776669,41.9103567
42,post_box,-87.6383834,41.9128963
43,pub,-87.6587512,41.9261371
44,school,-87.6219919,41.6978121
45,school,-87.6711658,41.9116991
46,school,-87.6653289,41.7850334
47,school,-87.7843416,41.9111512
48,school,-87.7144476,41.8430881
49,school,-87.75978,41.907254
50,school,-87.7539462,41.8964208
51,school,-87.6947785,41.9386431
52,school,-87.6033815,41.7572565
53,university,-87.7305723,41.9388309
54,school,-87.7243804,41.8645053
55,school,-87.7644284,41.7968326
56,school,-87.6708843,41.7725335
57,school,-87.7271494,41.8407688
58,school,-87.613601,41.6883807
59,school,-87.6642304,41.903121
60,school,-87.6226674,41.8198516
61,school,-87.7788976,41.7895478
62,school,-87.6728304,41.8297552
63,school,-87.7054796,41.7846309
64,school,-87.7466852,41.9442419
65,school,-87.7817264,41.9469757
66,school,-87.6196781,41.89624
67,school,-87.7520928,41.8050517
68,school,-87.5669904,41.7155905
69,school,-87.6311792,41.6982183
70,school,-87.8017284,41.9916976
71,school,-87.6703331,41.9319766
72,school,-87.5864692,41.7301107
73,school,-87.6909471,41.7647658
74,school,-87.6719026,41.947157
75,school,-87.7700581,41.9044761
76,school,-87.7636681,41.8725319
77,school,-87.6947946,41.8153439
78,school,-87.80145,41.9708643
79,school,-87.6780251,41.9598132
80,school,-87.7515541,41.8772929
81,school,-87.6856727,41.8991339
82,school,-87.6719092,41.9832481
83,school,-87.6169915,41.6844788
84,school,-87.6066475,41.7300239
85,school,-87.6128262,41.7536454
86,school,-87.7041328,41.7928096
87,school,-87.5873661,41.7428905
88,school,-87.6701299,41.794137
89,school,-87.684223,41.9530876
