,amenity,longitude,latitude
0,parking,-121.7904325,39.7672449
1,parking,-121.8543495,39.7993507
2,drinking_water,-121.7793554,39.7721732
3,drinking_water,-121.7784808,39.7729018
4,toilets,-121.7786333,39.7728945
5,bench,-121.7775388,39.7739541
6,parking,-121.7458326,39.7833636
7,bicycle_parking,-121.745975,39.783145
8,toilets,-121.7458251,39.7830685
9,parking,-121.7390822,39.7876059
10,parking,-121.7392107,39.7921908
11,bench,-121.7385442,39.789798
12,parking,-121.7386859,39.7898505
13,toilets,-121.7587448,39.773005
14,toilets,-121.7511106,39.777333
15,school,-121.8333109,39.7234946
16,place_of_worship,-121.8254619,39.7299805
17,place_of_worship,-121.8310886,39.7215503
18,clinic,-121.8479359,39.7525443
19,place_of_worship,-121.8552559,39.7473831
20,place_of_worship,-121.8449779,39.7457165
21,place_of_worship,-121.8372,39.7426611
22,place_of_worship,-121.8497002,39.7443276
23,place_of_worship,-121.8472001,39.7379389
24,place_of_worship,-121.8397001,39.7462722
25,place_of_worship,-121.8260887,39.7265502
26,place_of_worship,-121.8283108,39.7237725
27,place_of_worship,-121.8185885,39.7284947
28,place_of_worship,-121.8285886,39.7248835
29,place_of_worship,-121.8294219,39.7196058
30,place_of_worship,-121.846089,39.7379389
31,place_of_worship,-121.8363666,39.7290501
32,community_centre,-121.8207522,39.7252859
33,fire_station,-121.8477692,39.7425785
34,townhall,-121.8380227,39.7286094
35,parking,-121.7836829,39.7654474
36,bicycle_parking,-121.7508158,39.7773229
37,toilets,-121.7914738,39.7622701
38,drinking_water,-121.7915814,39.762315
39,telephone,-121.7915415,39.7622063
40,parking,-121.7909556,39.7622731
41,parking,-121.8050431,39.7628262
42,toilets,-121.8288943,39.7360958
43,bus_station,-121.842621,39.7287143
44,fast_food,-121.8617293,39.7575153
45,fuel,-121.8316199,39.7243165
46,fuel,-121.8223158,39.7347461
47,toilets,-121.8115892,39.7449432
48,fire_station,-121.8055774,39.7618174
49,parking,-121.7921919,39.7633125
50,parking,-121.7827925,39.7713484
51,place_of_worship,-121.8487974,39.7576658
52,toilets,-121.841667,39.730825
53,cafe,-121.859356,39.7305813
54,restaurant,-121.859635,39.7306597
55,restaurant,-121.8594635,39.7305978
56,place_of_worship,-121.8344304,39.7604975
57,fast_food,-121.7990668,39.7275894
58,place_of_worship,-121.8308431,39.759776
59,bar,-121.8394701,39.7307012
60,bar,-121.839603,39.7306086
61,bar,-121.8406586,39.7294521
62,school,-121.8068716,39.7331695
63,post_box,-121.812947,39.736175
64,bar,-121.8397418,39.7306184
65,restaurant,-121.8398189,39.7309122
66,fast_food,-121.8403607,39.7305616
