,amenity,longitude,latitude
0,Retirement Center,-91.382101,44.9441278
1,school,-91.3793233,44.9144054
2,school,-91.3907126,44.9227387
3,school,-91.4104356,44.9327387
4,school,-91.4140468,44.9355165
5,school,-91.3518221,44.9310723
6,school,-91.3876568,44.9363499
7,school,-91.4115467,44.9352387
8,post_office,-91.3934904,44.9377388
9,courthouse,-91.3965461,44.9405166
10,prison,-91.3954349,44.9407943
11,YMCA,-91.3962048,44.9507956
12,cinema,-91.381014,44.9247367
13,place_of_worship,-91.3822516,44.9148131
14,fuel,-91.3866407,44.9406966
15,bar,-91.3871067,44.9293997
16,fast_food,-91.3676424,44.9512537
17,fuel,-91.3741329,44.9485366
18,atm,-91.3878791,44.9121283
19,fuel,-91.3893159,44.9129114
20,place_of_worship,-91.3907006,44.9230407
21,place_of_worship,-91.3868785,44.9357979
22,shelter,-91.3997706,44.9487546
23,place_of_worship,-91.397933,44.9386994
24,restaurant,-91.3957021,44.9369372
25,place_of_worship,-91.3951196,44.9344672
26,bench,-91.389663,44.9331467
27,bench,-91.3901546,44.9341803
28,bench,-91.3904105,44.9343072
29,bench,-91.3909693,44.9343042
30,bench,-91.3911997,44.9341924
31,fountain,-91.3906682,44.9342123
32,pub,-91.4030738,44.9407333
33,car_wash,-91.3950988,44.9390674
34,restaurant,-91.3932208,44.9368784
35,restaurant,-91.3920499,44.9358446
36,cafe,-91.3921879,44.9359667
37,bar,-91.3935585,44.9371375
38,bar,-91.3679216,44.9324483
39,shelter,-91.4006407,44.9450648
40,toilets,-91.4007172,44.9455661
41,shelter,-91.4010935,44.9458453
42,shelter,-91.4008288,44.9465278
43,shelter,-91.3984606,44.9517435
44,toilets,-91.3991181,44.9571209
45,shelter,-91.3987837,44.957682
46,toilets,-91.3985623,44.9574298
47,clinic,-91.3956556,44.9124933
48,fountain,-91.400675,44.9485064
49,restaurant,-91.3819031,44.9260652
50,waste_disposal,-91.3772948,44.9436362
51,waste_disposal,-91.3766716,44.9431477
52,waste_disposal,-91.3761495,44.9441513
53,letter_box,-91.376596,44.9442803
54,letter_box,-91.3759907,44.9436886
55,letter_box,-91.3787699,44.943661
56,letter_box,-91.3772121,44.9429634
57,letter_box,-91.3771742,44.9425104
58,letter_box,-91.3769477,44.9424147
59,letter_box,-91.3766792,44.9419152
60,letter_box,-91.3768715,44.9419331
61,letter_box,-91.3769194,44.9420367
62,waste_disposal,-91.3773946,44.9418432
63,waste_disposal,-91.3777231,44.942381
64,waste_disposal,-91.3784587,44.9427388
65,waste_disposal,-91.3801809,44.9434987
66,waste_disposal,-91.379526,44.9438684
67,waste_disposal,-91.3787703,44.944354
68,waste_disposal,-91.3765518,44.9427032
69,toilets,-91.3711087,44.921097
70,fast_food,-91.371428,44.9211004
