,amenity,longitude,latitude
0,school,-117.0569718,32.6144994
1,school,-117.0578054,32.6317212
2,school,-117.0972517,32.6414429
3,school,-117.0605833,32.6306101
4,school,-117.0483604,32.6203327
5,school,-117.0657783,32.627011
6,school,-117.0550273,32.6164439
7,school,-117.0772508,32.6350543
8,school,-117.0461384,32.6414433
9,place_of_worship,-117.0803063,32.6319988
10,post_office,-117.0850289,32.6394985
11,place_of_worship,-117.0757684,32.631233
12,place_of_worship,-117.0741951,32.637832
13,place_of_worship,-117.0847512,32.642554
14,place_of_worship,-117.0775287,32.6408874
15,place_of_worship,-117.0786003,32.6411918
16,place_of_worship,-117.0780842,32.6406097
17,place_of_worship,-117.0750283,32.6269989
18,place_of_worship,-117.0894736,32.6428318
19,place_of_worship,-117.0761396,32.6350543
20,place_of_worship,-117.0866957,32.6467206
21,school,-116.9908312,32.6455221
22,school,-116.9844697,32.6558878
23,post_office,-117.0697501,32.6100551
24,school,-117.0733614,32.613666
25,college,-117.094916,32.62383
26,place_of_worship,-117.0889973,32.6425635
27,place_of_worship,-117.0743485,32.6382557
28,place_of_worship,-117.0783395,32.6405345
29,place_of_worship,-117.0514362,32.5948854
30,place_of_worship,-117.0571017,32.6127298
31,place_of_worship,-117.048996,32.621582
32,place_of_worship,-117.036358,32.623356
33,place_of_worship,-116.9637833,32.6516199
34,place_of_worship,-117.0047978,32.6197425
35,place_of_worship,-117.0339772,32.6275456
36,place_of_worship,-117.0898672,32.6141389
37,place_of_worship,-117.0821239,32.6007971
38,place_of_worship,-117.0422937,32.6149881
39,place_of_worship,-117.0740772,32.627935
40,place_of_worship,-117.0026085,32.6302969
41,place_of_worship,-117.078711,32.641294
42,place_of_worship,-117.0826865,32.6007971
43,place_of_worship,-117.0455291,32.6165862
44,place_of_worship,-117.0790667,32.6397487
45,place_of_worship,-117.0514362,32.5948854
46,place_of_worship,-116.9601774,32.6501117
47,place_of_worship,-117.0813952,32.6427739
48,place_of_worship,-116.9637833,32.6516199
49,place_of_worship,-117.0176486,32.6377879
50,place_of_worship,-117.0638203,32.5961055
51,place_of_worship,-117.0344768,32.6236323
52,school,-117.0889973,32.6425635
53,place_of_worship,-117.0594146,32.6232957
54,place_of_worship,-117.0659576,32.6276994
55,place_of_worship,-117.0643755,32.6348229
