,amenity,longitude,latitude
0,parking,-87.269186,36.5824648
1,place_of_worship,-87.4600106,36.62727
2,place_of_worship,-87.4007304,36.6304084
3,school,-87.312674,36.5974066
4,grave_yard,-87.3422304,36.5031044
5,place_of_worship,-87.3305633,36.5489368
6,place_of_worship,-87.370842,36.5414372
7,school,-87.3316742,36.5828252
8,place_of_worship,-87.225561,36.5239365
9,place_of_worship,-87.2525058,36.5544917
10,school,-87.2486171,36.5192147
11,school,-87.2575063,36.504215
12,place_of_worship,-87.3016736,36.5658808
13,place_of_worship,-87.3144515,36.5903249
14,school,-87.3538972,36.5333816
15,place_of_worship,-87.4355655,36.6339364
16,school,-87.3800089,36.5511593
17,school,-87.2194708,36.5209519
18,school,-87.2769511,36.5161593
19,place_of_worship,-87.3527862,36.5200485
20,place_of_worship,-87.3283412,36.5097708
21,place_of_worship,-87.3464865,36.5299053
22,place_of_worship,-87.3533417,36.5258818
23,place_of_worship,-87.347786,36.5264373
24,place_of_worship,-87.3550085,36.5178264
25,place_of_worship,-87.3455639,36.5142153
26,school,-87.3005628,36.5128262
27,place_of_worship,-87.3527862,36.5264373
28,place_of_worship,-87.3561195,36.5258818
29,school,-87.4343127,36.5723618
30,place_of_worship,-87.3308408,36.5825474
31,school,-87.2752844,36.5197703
32,dentist,-87.4580661,36.6297699
33,place_of_worship,-87.3486194,36.5219929
34,school,-87.4447324,36.6281032
35,post_office,-87.3566018,36.5252895
36,post_office,-87.3108405,36.5633809
37,ice_cream,-87.3002556,36.5775719
38,fast_food,-87.36589,36.5096421
39,cafe,-87.3630032,36.5211913
40,restaurant,-87.3650028,36.509906
41,restaurant,-87.2868509,36.5966192
42,school,-87.3100746,36.6158765
43,parking_entrance,-87.3560779,36.5315448
44,cafe,-87.3527234,36.5325727
45,fast_food,-87.3540297,36.5340051
46,bench,-87.3531083,36.5331287
47,bench,-87.3531411,36.5331298
48,parking_entrance,-87.3591947,36.5315531
49,parking_entrance,-87.3583965,36.5317547
50,bench,-87.3547932,36.5327915
51,parking_entrance,-87.3562989,36.5321308
52,fast_food,-87.4132617,36.5797436
53,bank,-87.4122903,36.5802652
54,pharmacy,-87.4126208,36.5806609
55,fast_food,-87.2917334,36.5943829
56,bank,-87.2907123,36.5944762
57,pharmacy,-87.2907245,36.5951168
58,loading_dock,-87.2868491,36.5901562
59,bench,-87.3615698,36.5279521
60,bench,-87.3613576,36.5273363
61,bench,-87.3615392,36.5278839
62,parking_entrance,-87.3607954,36.5267646
63,grave_yard,-87.3712099,36.5453029
64,atm,-87.396041,36.5524055
65,atm,-87.3960637,36.5524702
66,toilets,-87.4057944,36.5696739
67,atm,-87.3575842,36.5290117
68,parking_entrance,-87.3585598,36.5277226
69,parking_entrance,-87.3582392,36.5277928
70,arts_centre,-87.3598411,36.5278368
71,vending_machine,-87.4051066,36.5685001
72,atm,-87.405236,36.5685256
73,charging_station,-87.2698877,36.5125133
74,atm,-87.3972534,36.5564479
75,courthouse,-87.361721,36.5274304
76,townhall,-87.3617424,36.5273653
77,police,-87.3616371,36.5273582
78,police,-87.3616109,36.5274347
79,bicycle_parking,-87.3580547,36.5298737
80,waste_basket,-87.3590175,36.5282002
81,parking_entrance,-87.3588585,36.5289615
82,bank,-87.3608492,36.5275854
