,amenity,longitude,latitude
0,grave_yard,-104.8602537,38.8652696
1,hospital,-104.81664,38.8019373
2,place_of_worship,-104.8752565,38.9486033
3,college,-104.8112865,38.9347376
4,school,-104.7996978,38.8924932
5,school,-104.7819183,38.8252717
6,fast_food,-104.7160221,38.8716787
7,restaurant,-104.7379315,38.8961574
8,fast_food,-104.7483023,38.8958273
9,fast_food,-104.7520678,38.8927371
10,restaurant,-104.7545765,38.891906
11,fast_food,-104.7574473,38.8904254
12,fast_food,-104.7658056,38.8911105
13,fast_food,-104.763567,38.8911047
14,fast_food,-104.7607226,38.8926491
15,fast_food,-104.7606165,38.8904523
16,bench,-104.8138674,38.7587226
17,fountain,-104.8230484,38.8369419
18,fast_food,-104.7487204,38.8968455
19,restaurant,-104.755757,38.8802027
20,cafe,-104.8161147,38.7667199
21,cafe,-104.814741,38.7672954
22,fast_food,-104.8142666,38.7668211
23,restaurant,-104.8161206,38.7668211
24,fast_food,-104.816112,38.7669483
25,restaurant,-104.8142752,38.7669751
26,bicycle_parking,-104.8148245,38.7671089
27,post_office,-104.814395,38.7672093
28,veterinary,-104.8142581,38.7674636
29,dentist,-104.8142666,38.767584
30,restaurant,-104.8159146,38.7676777
31,bench,-104.8122045,38.8421577
32,bench,-104.8122646,38.8439426
33,fuel,-104.758006,38.8947222
34,drinking_water,-104.8609985,38.8196827
35,bench,-104.860885,38.8198032
36,drinking_water,-104.8800169,38.8806992
37,waste_basket,-104.8799568,38.8794078
38,bench,-104.8805194,38.8784163
39,bench,-104.8552012,38.7716467
40,bench,-104.8197281,38.7350425
41,bench,-104.7238476,38.8672832
42,bench,-104.7282699,38.8643325
43,bench,-104.7346475,38.8584006
44,bench,-104.7281723,38.8771799
45,bench,-104.8277233,38.862654
46,waste_basket,-104.879628,38.8291779
47,waste_basket,-104.8793877,38.8291445
48,bench,-104.8788212,38.8293117
49,bench,-104.8783749,38.8290509
50,place_of_worship,-104.7556007,38.8941272
51,bench,-104.7402226,38.8726884
52,fast_food,-104.7221159,38.8734147
53,bench,-104.7465734,38.858725
54,bench,-104.7382239,38.8566827
55,bench,-104.7351082,38.8583937
56,place_of_worship,-104.7386606,38.8807997
57,drinking_water,-104.8847893,38.872292
58,fuel,-104.7526584,38.8923225
59,veterinary,-104.7553449,38.8902248
60,parking,-104.7761524,38.9509799
61,bench,-104.7525442,38.8767038
62,bench,-104.7525446,38.8776308
63,bench,-104.751907,38.8776626
64,bench,-104.750045,38.8777561
65,bench,-104.749411,38.877769
66,bench,-104.7486978,38.8778363
67,bench,-104.8374698,38.8569993
68,bench,-104.837282,38.8574964
69,fast_food,-104.7657609,38.9012577
70,ice_cream,-104.769158,38.9023029
71,restaurant,-104.8631632,38.8477258
72,fast_food,-104.761173,38.8901931
73,ice_cream,-104.817955,38.8658388
74,place_of_worship,-104.720869,38.9219101
75,place_of_worship,-104.7395694,38.9053601
76,place_of_worship,-104.7353637,38.9068797
77,fuel,-104.7048432,38.8303242
78,fuel,-104.6997631,38.8324011
79,atm,-104.6998221,38.8322423
80,post_box,-104.70592,38.8305528
81,bar,-104.7558878,38.881856
82,post_box,-104.756612,38.8951245
83,pharmacy,-104.8500035,38.8938453
84,fast_food,-104.849681,38.8956865
85,fast_food,-104.851644,38.8982295
86,pub,-104.8543772,38.8973895
87,fast_food,-104.851552,38.8975873
88,fast_food,-104.804264,38.8741594
89,restaurant,-104.8082535,38.8745681
90,cafe,-104.818069,38.8898095
91,post_box,-104.811331,38.8730735
92,fast_food,-104.8216715,38.8748578
93,fast_food,-104.816511,38.8738639
94,fast_food,-104.8171628,38.8739167
95,fast_food,-104.833696,38.8971447
96,pharmacy,-104.8189073,38.8738524
97,restaurant,-104.8317539,38.8956152
98,fast_food,-104.8278406,38.8964648
