,amenity,longitude,latitude
0,grave_yard,-84.0104679,33.6714992
1,place_of_worship,-83.9315751,33.6765006
2,place_of_worship,-84.0179682,33.663166
3,school,-84.0249128,33.6648325
4,place_of_worship,-84.0282463,33.6759433
5,place_of_worship,-84.0229683,33.6639992
6,post_office,-84.0146346,33.6628883
7,post_office,-84.0159781,33.6455643
8,school,-84.0289,33.6667
9,courthouse,-84.0168005,33.6680344
10,fire_station,-84.0169,33.6597
11,library,-84.0181675,33.6648785
12,police,-84.017,33.6579
13,public_building,-84.0204,33.6715
14,animal_shelter,-83.9997,33.6835
15,fast_food,-84.0242638,33.6683463
16,fast_food,-84.0282093,33.6659332
17,fuel,-84.0231614,33.6691656
18,restaurant,-84.0263908,33.6660939
19,fuel,-84.0320824,33.6649264
20,fast_food,-84.0313824,33.6641495
21,fuel,-84.0322192,33.6641316
22,fast_food,-84.0150563,33.6431341
23,fuel,-84.0155492,33.6435038
24,car_rental,-84.0148616,33.6455351
25,restaurant,-84.0121848,33.648487
26,restaurant,-84.0091887,33.6496681
27,restaurant,-84.0101409,33.6515213
28,restaurant,-84.0033147,33.6543814
29,restaurant,-84.0018046,33.6544528
30,bank,-84.0024537,33.6550289
31,fast_food,-83.9994367,33.6840715
32,school,-84.0220964,33.6482803
33,toilets,-83.9427285,33.672751
34,parking,-83.9430348,33.6729323
35,school,-84.0154574,33.6683831
36,restaurant,-84.0227702,33.643353
37,bank,-84.0227868,33.6687128
38,veterinary,-84.0345761,33.6649011
39,dentist,-84.0101521,33.6420798
40,charging_station,-84.0149584,33.6335176
41,charging_station,-84.0149584,33.6335422
42,charging_station,-84.0148953,33.6335198
43,charging_station,-84.0148953,33.6335422
44,fuel,-84.0273609,33.6653742
45,restaurant,-83.9996719,33.6849404
46,fuel,-83.9885724,33.6739869
47,fuel,-84.0138388,33.6384513
48,fast_food,-84.0151081,33.6312011
49,payment_terminal,-83.9972223,33.6527674
50,vending_machine,-83.9971522,33.6526871
51,vending_machine,-83.9971148,33.6525909
52,pharmacy,-83.9971073,33.6533075
53,parking_entrance,-83.9997992,33.6817665
54,parking_entrance,-84.0007994,33.6825875
55,parking_space,-83.9896153,33.6412048
56,parking_space,-83.9896426,33.6411942
57,parking_space,-83.9895735,33.6412183
58,parking_space,-83.9895325,33.6412283
59,parking_space,-83.9894507,33.6406919
60,parking_space,-83.9894682,33.6406759
61,parking_space,-83.9894921,33.640656
62,parking_space,-83.9895113,33.6406367
63,parking_space,-83.9895304,33.6406208
64,parking_space,-83.9895528,33.6406062
65,parking_space,-83.9895751,33.6405869
66,parking_space,-83.9895966,33.640569
67,parking_space,-83.9896158,33.6405531
68,parking_space,-83.9896381,33.6405358
69,parking_space,-83.9896581,33.6405179
70,parking_space,-83.9896756,33.6405039
71,parking_space,-83.9897235,33.6404667
72,parking_space,-83.9897458,33.6404488
73,parking_space,-83.9897633,33.6404342
74,parking_space,-83.9897857,33.6404156
75,parking_space,-83.9898056,33.6403997
76,parking_space,-83.989824,33.6403817
77,parking_space,-83.9898439,33.6403658
78,parking_space,-83.9894251,33.6405869
79,parking_space,-83.9894028,33.6406042
80,parking_space,-83.9893821,33.6406201
81,parking_space,-83.9893534,33.6406387
82,parking_space,-83.9893334,33.6406553
83,parking_space,-83.9893143,33.6406713
84,parking_space,-83.9892903,33.6406905
85,parking_space,-83.9892672,33.6407098
86,parking_space,-83.9892489,33.6407277
87,parking_space,-83.9892321,33.640743
88,parking_space,-83.9892122,33.6407573
89,parking_space,-83.9898787,33.6401699
90,parking_space,-83.9898973,33.6401398
91,parking_space,-83.9893431,33.640401
92,parking_space,-83.9892998,33.6404026
93,loading_dock,-84.0004629,33.6551743
94,loading_dock,-84.0004531,33.6552026
95,loading_dock,-84.0004423,33.655234
96,loading_dock,-84.0004314,33.6552656
