,amenity,longitude,latitude
0,school,-97.4347146,27.7769724
1,school,-97.3966588,27.7950274
2,school,-97.416377,27.7603975
3,school,-97.4697152,27.8080816
4,school,-97.4047144,27.7928052
5,school,-97.361658,27.708365
6,school,-97.4030477,27.7808614
7,school,-97.34888,27.7022542
8,school,-97.4030478,27.8008605
9,school,-97.4527704,27.7569732
10,school,-97.4269368,27.7750281
11,school,-97.4399924,27.7564177
12,school,-97.4037503,27.7937625
13,school,-97.4249924,27.7980826
14,school,-97.41277,27.7847499
15,school,-97.4549926,27.7566953
16,school,-97.4711041,27.8108593
17,school,-97.4115656,27.729875
18,school,-97.4472149,27.805582
19,school,-97.4438814,27.7566955
20,school,-97.5755119,27.8291382
21,school,-97.5241604,27.8197472
22,school,-97.4047144,27.8008605
23,school,-97.4580688,27.7658121
24,school,-97.3824917,27.7380858
25,school,-97.3497133,27.7050319
26,school,-97.430078,27.7686927
27,school,-97.4435401,27.7565593
28,school,-97.4160354,27.7612042
29,school,-97.5502592,27.8185392
30,school,-97.5252961,27.8184497
31,school,-97.4404765,27.756614
32,school,-97.2951683,27.6493383
33,school,-97.4254312,27.7127995
34,school,-97.3490952,27.702399
35,school,-97.3834132,27.736178
36,school,-97.39855,27.79623
37,school,-97.4137699,27.7846376
38,school,-97.4270644,27.7755272
39,school,-97.4297298,27.7525934
40,school,-97.4049503,27.792726
41,school,-97.4171466,27.7717858
42,school,-97.4408035,27.7537969
43,school,-97.5970312,27.8414788
44,school,-97.6619984,27.8619566
45,school,-97.4298773,27.7535398
46,school,-97.4033992,27.7709696
47,school,-97.3874905,27.7105351
48,school,-97.4275797,27.7519108
49,school,-97.349845,27.7053775
50,school,-97.4259271,27.7814243
51,place_of_worship,-97.4036031,27.7700285
52,place_of_worship,-97.40777,27.7933608
53,place_of_worship,-97.4349926,27.8003046
54,place_of_worship,-97.2872323,27.6589945
55,place_of_worship,-97.4083904,27.7433762
56,place_of_worship,-97.411381,27.7605845
57,place_of_worship,-97.4366592,27.7880829
58,place_of_worship,-97.4336035,27.7803055
59,place_of_worship,-97.4179768,27.7772262
60,place_of_worship,-97.4222144,27.7619732
61,place_of_worship,-97.57305,27.8419681
62,place_of_worship,-97.3786622,27.7478125
63,place_of_worship,-97.4627705,27.7641949
64,place_of_worship,-97.5511052,27.8275245
65,place_of_worship,-97.3980476,27.7803059
66,place_of_worship,-97.407492,27.7372522
67,place_of_worship,-97.4541593,27.7530844
68,place_of_worship,-97.4099923,27.804749
69,place_of_worship,-97.4111033,27.7858611
70,place_of_worship,-97.4105287,27.7033163
71,place_of_worship,-97.3994364,27.7566959
72,place_of_worship,-97.3614794,27.7214117
73,place_of_worship,-97.4380482,27.7994713
74,place_of_worship,-97.3963809,27.7880834
