,amenity,longitude,latitude
0,place_of_worship,-111.8346808,40.6262127
1,school,-111.7977018,40.6207064
2,school,-111.8335242,40.6292276
3,toilets,-111.8049978,40.6177302
4,fast_food,-111.8221116,40.6236228
5,restaurant,-111.8538243,40.6242853
6,fast_food,-111.8505177,40.6252529
7,fast_food,-111.8515211,40.6256392
8,restaurant,-111.8551455,40.6236419
9,bank,-111.8580081,40.6252983
10,restaurant,-111.8371947,40.625052
11,fast_food,-111.8381174,40.6240728
12,bicycle_repair_station,-111.7884722,40.6197479
13,restaurant,-111.8321606,40.6089243
14,fast_food,-111.8360202,40.6247183
15,toilets,-111.8456722,40.6266451
16,restaurant,-111.7980951,40.6086647
17,restaurant,-111.8527982,40.6254677
18,fast_food,-111.8363375,40.6248607
19,ice_cream,-111.854105,40.6253106
20,parking_entrance,-111.8095692,40.6323814
21,restaurant,-111.838201,40.6241007
22,post_office,-111.853995,40.625667
23,bank,-111.8572867,40.6181811
24,bank,-111.834927,40.6200896
25,fast_food,-111.8507606,40.6241866
26,bank,-111.8338772,40.6225922
27,fast_food,-111.8507633,40.6242932
28,fuel,-111.7964403,40.6090991
29,restaurant,-111.8537672,40.6246465
30,restaurant,-111.836422,40.6241952
31,shelter,-111.842302,40.629286
32,police,-111.8259241,40.6135182
33,restaurant,-111.8234989,40.6223847
34,restaurant,-111.8222672,40.6234622
35,restaurant,-111.8218144,40.6236678
36,fast_food,-111.7982912,40.6088376
37,fast_food,-111.797862,40.6084691
38,veterinary,-111.8543727,40.6285011
39,post_box,-111.8555843,40.6279588
40,dentist,-111.8531957,40.6262866
41,post_box,-111.8469269,40.6253076
42,fast_food,-111.8358191,40.6247262
43,restaurant,-111.8523495,40.6254787
44,bank,-111.8552781,40.6230693
45,school,-111.8080008,40.6056854
46,place_of_worship,-111.8070607,40.6051468
47,place_of_worship,-111.8076307,40.6051742
48,restaurant,-111.8184089,40.6102234
49,bench,-111.8156518,40.6166321
50,bench,-111.8163773,40.6166369
51,bench,-111.8335575,40.6152813
52,waste_disposal,-111.8258603,40.6140046
53,charging_station,-111.856013,40.6254457
54,charging_station,-111.856674,40.6254726
55,bench,-111.8276937,40.6244174
56,bench,-111.8277048,40.6243804
57,bench,-111.8276931,40.6243411
58,restaurant,-111.838312,40.6240847
59,post_box,-111.8246761,40.6268514
60,restaurant,-111.789784,40.6184313
61,restaurant,-111.7911251,40.6184805
62,recycling,-111.7922579,40.6191859
63,waste_disposal,-111.7922603,40.6191711
64,bicycle_parking,-111.7920194,40.618991
65,bench,-111.7880354,40.6107267
66,bench,-111.7880781,40.6110193
67,bench,-111.7880793,40.6110009
68,waste_basket,-111.7880798,40.610986
69,drinking_water,-111.7881427,40.610847
70,waste_basket,-111.7877484,40.6108862
71,waste_basket,-111.7881621,40.6103276
72,bench,-111.8178986,40.6153557
73,bench,-111.8179021,40.6153002
74,bench,-111.8179027,40.6152464
75,bench,-111.8177001,40.6153482
76,bench,-111.8177018,40.6152834
77,bench,-111.8177053,40.6152209
78,bicycle_parking,-111.8276923,40.6245813
79,cafe,-111.832294,40.6242083
80,bench,-111.7956547,40.6006963
81,bench,-111.7955998,40.600684
82,bench,-111.7956012,40.6009153
83,bench,-111.7955556,40.6009129
84,bench,-111.8259384,40.6136306
85,bench,-111.8259001,40.6136306
86,bench,-111.825939,40.6135892
87,bench,-111.8258978,40.6135883
88,bench,-111.8252968,40.613366
89,bench,-111.8252518,40.6133644
90,restaurant,-111.8181585,40.6109317
91,bench,-111.8009443,40.6277665
92,bench,-111.802043,40.6287769
93,studio,-111.8192029,40.6106572
94,cafe,-111.8500277,40.6229874
95,fast_food,-111.8500304,40.6232195
96,restaurant,-111.8539108,40.6251587
97,fast_food,-111.8538196,40.6250365
98,parking_entrance,-111.8569546,40.6288331
99,parking_entrance,-111.8575305,40.628326
100,parking_entrance,-111.8565275,40.6288248
101,parking_entrance,-111.8564537,40.6284647
102,parking,-111.7888941,40.5771201
103,parking_entrance,-111.7898475,40.6185502
104,parking_entrance,-111.8567658,40.6233272
105,restaurant,-111.8322592,40.6087155
106,parking_entrance,-111.8148304,40.6316526
107,parking_entrance,-111.8148273,40.6323091
108,parking_entrance,-111.8148281,40.632146
109,parking_entrance,-111.8148289,40.6319787
110,restaurant,-111.7912393,40.6185166
111,bicycle_parking,-111.8436399,40.6143156
112,bbq,-111.8444822,40.6146658
113,bench,-111.8443293,40.6146078
114,bench,-111.8443507,40.614565
115,drinking_water,-111.8443145,40.6144877
116,bicycle_parking,-111.844104,40.6141568
117,drinking_water,-111.8442021,40.6136529
118,parking_space,-111.844088,40.6133596
119,parking_space,-111.8441324,40.6133635
120,parking_space,-111.8440251,40.6137809
121,parking_space,-111.8440226,40.6137402
122,parking_entrance,-111.8090238,40.6323817
123,bicycle_parking,-111.8356415,40.6247829
124,parking_space,-111.8010315,40.5877655
125,parking_space,-111.8010844,40.5877469
126,parking_space,-111.8011253,40.5877349
127,parking_space,-111.8001593,40.5873431
128,parking_space,-111.793304,40.6198756
129,parking_space,-111.7932385,40.6198459
130,restaurant,-111.7985297,40.6091438
131,fast_food,-111.8234473,40.624265
132,restaurant,-111.8540463,40.6254813
