,amenity,longitude,latitude
0,school,-82.6195237,28.9087103
1,school,-82.5884343,28.8988681
2,place_of_worship,-82.5933333,28.9016667
3,place_of_worship,-82.5891667,28.9036111
4,place_of_worship,-82.5947222,28.9016667
5,place_of_worship,-82.5891667,28.8977778
6,place_of_worship,-82.5886111,28.8980556
7,place_of_worship,-82.5836111,28.8961111
8,place_of_worship,-82.5825,28.8838889
9,library,-82.5771459,28.9026087
10,townhall,-82.5949689,28.8999665
11,bench,-82.6095014,28.9111576
12,bench,-82.6084847,28.9113794
13,toilets,-82.6076149,28.9114043
14,fountain,-82.5954517,28.9004177
15,shelter,-82.5955742,28.9005686
16,police,-82.5950727,28.9003056
17,restaurant,-82.6105801,28.9186636
18,drinking_water,-82.5866597,28.8918338
19,fast_food,-82.5842375,28.8987797
20,vending_machine,-82.5949851,28.8969594
21,cafe,-82.5856044,28.8967806
22,reception_desk,-82.5901294,28.8798821
23,fountain,-82.5899188,28.8797929
24,ice_cream,-82.5965629,28.8994583
25,cafe,-82.5868331,28.8968904
26,bar,-82.5841406,28.8928141
27,dentist,-82.584936,28.8879666
28,bar,-82.5932062,28.8993396
29,charging_station,-82.5793653,28.8748873
30,post_office,-82.5795972,28.8764896
31,charging_station,-82.5793707,28.8747905
32,charging_station,-82.5793645,28.8748979
33,restaurant,-82.5794404,28.8757532
34,charging_station,-82.5793712,28.8748289
35,pub,-82.5812876,28.8677526
36,fast_food,-82.5812955,28.867422
37,dentist,-82.5812983,28.867501
38,fuel,-82.586543,28.8989084
39,car_wash,-82.5858885,28.8990317
40,bench,-82.5924733,28.8903961
