,amenity,longitude,latitude
0,school,-93.5782721,41.5969336
1,school,-93.576883,41.5244343
2,school,-93.5507712,41.6133224
3,school,-93.5641049,41.6022114
4,school,-93.6154955,41.5702672
5,place_of_worship,-93.5368819,41.6549888
6,nursing_home,-93.6072359,41.6167271
7,nursing_home,-93.6098753,41.6035173
8,nursing_home,-93.5962075,41.6218238
9,social_facility,-93.5413989,41.61536
10,school,-93.5738275,41.6049892
11,place_of_worship,-93.6016731,41.5581147
12,place_of_worship,-93.6260511,41.5258231
13,place_of_worship,-93.5860429,41.6062815
14,place_of_worship,-93.5871003,41.6041801
15,place_of_worship,-93.5868835,41.6036003
16,place_of_worship,-93.5933703,41.6005544
17,place_of_worship,-93.6021616,41.5555452
18,place_of_worship,-93.5963647,41.5463972
19,place_of_worship,-93.5941274,41.5827044
20,place_of_worship,-93.5724384,41.5472119
21,place_of_worship,-93.5677452,41.5947534
22,place_of_worship,-93.6039207,41.6152899
23,place_of_worship,-93.6042858,41.5997473
24,place_of_worship,-93.6036258,41.5960181
25,place_of_worship,-93.6049395,41.5638784
26,place_of_worship,-93.6058404,41.5254962
27,place_of_worship,-93.60561,41.5127676
28,place_of_worship,-93.5229923,41.5294343
29,place_of_worship,-93.5463266,41.6255446
30,place_of_worship,-93.5519487,41.6058715
31,place_of_worship,-93.5616049,41.6366556
32,place_of_worship,-93.5641049,41.5827672
33,place_of_worship,-93.5616049,41.629989
34,place_of_worship,-93.5952363,41.5821506
35,place_of_worship,-93.595217,41.5822116
36,place_of_worship,-93.6007729,41.6119335
37,place_of_worship,-93.531027,41.6338065
38,place_of_worship,-93.5312534,41.6311266
39,place_of_worship,-93.5421597,41.6230447
40,place_of_worship,-93.5314036,41.6350459
41,doctors,-93.5512063,41.6073419
42,place_of_worship,-93.5516045,41.5888782
43,place_of_worship,-93.6572185,41.5559629
44,place_of_worship,-93.565931,41.5952859
45,place_of_worship,-93.5627159,41.5833227
46,place_of_worship,-93.5677851,41.5980792
47,place_of_worship,-93.6572024,41.5562198
48,place_of_worship,-93.6404962,41.5374897
49,place_of_worship,-93.5604998,41.5912205
50,place_of_worship,-93.5860501,41.605267
51,place_of_worship,-93.5971613,41.5294342
52,place_of_worship,-93.5538818,41.6293814
53,place_of_worship,-93.5771608,41.5966559
54,place_of_worship,-93.5940898,41.5979093
55,place_of_worship,-93.5941871,41.6027372
56,place_of_worship,-93.6061513,41.6021258
57,place_of_worship,-93.5716052,41.6072114
58,place_of_worship,-93.5782721,41.6049892
59,place_of_worship,-93.5805425,41.5501606
60,place_of_worship,-93.5829943,41.5516563
61,place_of_worship,-93.6457742,41.5491563
62,place_of_worship,-93.5564192,41.6120375
63,place_of_worship,-93.5682718,41.6074892
64,place_of_worship,-93.531611,41.6292856
65,place_of_worship,-93.6006647,41.5577364
66,place_of_worship,-93.5648765,41.6181132
67,place_of_worship,-93.564105,41.618878
68,place_of_worship,-93.6057105,41.6146428
69,place_of_worship,-93.6085509,41.6205446
70,place_of_worship,-93.5993838,41.5694339
71,place_of_worship,-93.6051059,41.6224536
72,place_of_worship,-93.5717266,41.6156258
73,place_of_worship,-93.5642075,41.6025226
74,place_of_worship,-93.5620423,41.6068632
75,place_of_worship,-93.5645099,41.5783844
76,place_of_worship,-93.5941059,41.6011003
77,place_of_worship,-93.5683259,41.5815857
78,place_of_worship,-93.5688903,41.5816034
79,place_of_worship,-93.5930187,41.6026549
80,place_of_worship,-93.6029141,41.6130093
81,place_of_worship,-93.5866645,41.5562945
82,place_of_worship,-93.5974381,41.5606094
83,place_of_worship,-93.5596603,41.6261001
84,place_of_worship,-93.6165781,41.5116444
85,place_of_worship,-93.6093145,41.5975795
86,place_of_worship,-93.6088844,41.6087779
87,place_of_worship,-93.6055902,41.5501241
88,place_of_worship,-93.5353815,41.6191571
89,place_of_worship,-93.5437771,41.6189309
90,place_of_worship,-93.5437907,41.6189676
91,place_of_worship,-93.592069,41.600607
92,place_of_worship,-93.5958773,41.6010582
93,place_of_worship,-93.5919672,41.6020886
94,place_of_worship,-93.5896613,41.5997114
95,place_of_worship,-93.6032759,41.5970981
96,place_of_worship,-93.5946876,41.5883051
97,place_of_worship,-93.5672414,41.5486445
98,place_of_worship,-93.6210511,41.5480452
99,place_of_worship,-93.6314472,41.5485893
100,place_of_worship,-93.6242508,41.6069924
101,place_of_worship,-93.611051,41.6305445
102,place_of_worship,-93.5674384,41.6280446
103,place_of_worship,-93.6024345,41.5983996
104,place_of_worship,-93.5706831,41.5947359
105,place_of_worship,-93.6325235,41.6142408
106,place_of_worship,-93.6135511,41.6252668
107,place_of_worship,-93.6279957,41.5124899
108,place_of_worship,-93.6449753,41.6120131
109,place_of_worship,-93.6070946,41.617489
110,place_of_worship,-93.6301499,41.5257706
111,place_of_worship,-93.6010506,41.6180446
112,fire_station,-93.6051103,41.6270284
113,fire_station,-93.5716496,41.6072573
114,fire_station,-93.6241007,41.5272321
115,theatre,-93.6521702,41.6014911
116,toilets,-93.6238371,41.519149
117,toilets,-93.6225906,41.5185461
118,bench,-93.6230297,41.6057553
119,bench,-93.6229712,41.6057551
120,bench,-93.6379461,41.6035804
121,bench,-93.6379461,41.6035573
122,bench,-93.6379282,41.6037399
123,bench,-93.6379277,41.603785
124,bench,-93.6378185,41.6037294
125,bench,-93.6378149,41.603784
126,bench,-93.6393538,41.5986343
127,bench,-93.6392812,41.5987855
128,bench,-93.6392797,41.59876
129,fuel,-93.5781163,41.5557186
130,restaurant,-93.6998487,41.6347397
131,restaurant,-93.6997831,41.6306427
132,bar,-93.6971128,41.6304095
133,fast_food,-93.6972589,41.6307848
134,bank,-93.6972159,41.6311517
135,restaurant,-93.6822042,41.6002109
136,restaurant,-93.6210127,41.5838416
137,bar,-93.619523,41.5850593
138,restaurant,-93.6217623,41.5858668
139,bar,-93.6199353,41.5850728
140,bar,-93.6201615,41.5850231
141,bar,-93.6201037,41.5848891
142,bar,-93.6198817,41.5849404
143,pub,-93.6205845,41.5850548
144,restaurant,-93.6200983,41.5852001
145,restaurant,-93.6213489,41.5848876
146,pub,-93.6220098,41.5854542
147,pub,-93.6209699,41.585362
148,bench,-93.6025486,41.5898344
149,bench,-93.6028139,41.5896996
150,clock,-93.6048192,41.5910015
151,bench,-93.602427,41.5898164
152,bench,-93.6028243,41.5897297
153,restaurant,-93.6301324,41.5858922
154,parking_entrance,-93.6292595,41.5870624
155,parking_entrance,-93.6297212,41.5869645
156,bar,-93.6962402,41.6486163
157,bar,-93.6399055,41.5879274
158,restaurant,-93.6303414,41.5858497
159,restaurant,-93.6282359,41.5875411
160,fast_food,-93.6332894,41.5848791
161,drinking_water,-93.6785589,41.5592625
162,fast_food,-93.6588925,41.6023527
163,food_court,-93.6022633,41.5227048
164,bank,-93.6060265,41.5259961
165,restaurant,-93.5951582,41.5291205
166,fountain,-93.6234871,41.5693001
167,fuel,-93.5999634,41.6264322
168,fast_food,-93.5984979,41.6272706
169,restaurant,-93.6727086,41.6115429
170,restaurant,-93.6211616,41.5902469
171,bar,-93.6196947,41.5852791
172,restaurant,-93.6216686,41.5855129
173,bank,-93.6260516,41.5868037
174,fast_food,-93.6291817,41.5847725
175,bank,-93.629533,41.5870537
176,bank,-93.6255682,41.5854648
177,parking,-93.6289327,41.5842849
178,pub,-93.6221574,41.5854219
179,pub,-93.6732586,41.6208077
180,cafe,-93.6721427,41.6193563
181,restaurant,-93.6721481,41.6194788
182,restaurant,-93.6724405,41.6188252
183,restaurant,-93.6763805,41.6291529
184,fast_food,-93.6229478,41.5884579
185,restaurant,-93.6215833,41.5877131
186,bar,-93.6222263,41.5859857
187,restaurant,-93.6223127,41.5861913
188,bar,-93.6780127,41.6285504
189,fast_food,-93.6968783,41.6151979
190,restaurant,-93.6979154,41.6110822
191,pharmacy,-93.6979974,41.6110812
192,restaurant,-93.5949044,41.552846
193,fast_food,-93.5975383,41.5546886
194,fast_food,-93.5973399,41.5379989
195,dentist,-93.5973361,41.5292266
196,bank,-93.5973522,41.5295438
197,fast_food,-93.5979365,41.5305074
198,restaurant,-93.6955655,41.6391935
199,cafe,-93.6998341,41.6302899
200,pharmacy,-93.6998849,41.6298888
201,fast_food,-93.6998337,41.6301914
202,pharmacy,-93.6954669,41.6379457
203,pharmacy,-93.6413761,41.6168478
204,fast_food,-93.6998144,41.6313139
205,cafe,-93.6592224,41.6023487
206,restaurant,-93.6587342,41.6023527
207,restaurant,-93.6722462,41.6200454
208,school,-93.6239085,41.5324724
209,fountain,-93.6457508,41.5324862
210,fast_food,-93.6971915,41.6301813
211,pharmacy,-93.6528096,41.6253459
212,place_of_worship,-93.6480733,41.6183444
213,restaurant,-93.6475101,41.6168885
214,grave_yard,-93.6931422,41.5776994
215,cafe,-93.6741788,41.5996812
216,veterinary,-93.6734899,41.6006151
217,restaurant,-93.6738918,41.5997012
218,restaurant,-93.6737229,41.6005075
219,bar,-93.6821044,41.6002108
220,restaurant,-93.6819657,41.5998623
