,amenity,longitude,latitude
0,parking,-88.9548206,40.1500015
1,grave_yard,-88.7286819,40.1900353
2,grave_yard,-89.1059183,40.2761494
3,grave_yard,-88.6786796,40.2300347
4,grave_yard,-88.9895254,40.243648
5,school,-88.9500803,40.1528145
6,place_of_worship,-88.7450715,40.2028132
7,grave_yard,-88.6656235,40.2214235
8,grave_yard,-89.0414716,40.2647597
9,grave_yard,-88.8536871,40.1958694
10,grave_yard,-88.7925733,40.2342023
11,grave_yard,-88.8786887,40.1203142
12,place_of_worship,-89.0023053,40.0917037
13,grave_yard,-88.9684863,40.162421
14,grave_yard,-88.8197971,40.1403138
15,grave_yard,-88.7439604,40.1967021
16,grave_yard,-89.0659173,40.2419823
17,place_of_worship,-88.7453488,40.2680907
18,place_of_worship,-88.9161897,40.1919809
19,grave_yard,-88.645067,40.2286455
20,place_of_worship,-88.8131294,40.2611467
21,place_of_worship,-88.8036858,40.070314
22,grave_yard,-89.1292532,40.2378167
23,grave_yard,-88.9756359,40.2580924
24,grave_yard,-88.9389675,40.2680921
25,grave_yard,-89.05064,40.1097601
26,grave_yard,-88.8209077,40.2317025
27,place_of_worship,-88.9895269,40.0939258
28,grave_yard,-88.8742437,40.1658696
29,grave_yard,-88.9667231,40.1615178
30,school,-88.9584139,40.1564256
31,place_of_worship,-88.8656322,40.1780918
32,school,-88.9581356,40.2255923
33,grave_yard,-88.7906291,40.1755914
34,school,-88.6470114,40.2478122
35,grave_yard,-89.1414761,40.1178174
36,school,-88.6470114,40.2467011
37,grave_yard,-89.1209194,40.2425387
38,grave_yard,-89.0703626,40.1408715
39,grave_yard,-88.8231299,40.2525357
40,grave_yard,-89.0770283,40.2739268
41,grave_yard,-88.9598017,40.2664255
42,grave_yard,-89.1286979,40.113095
43,place_of_worship,-88.9536915,40.1572589
44,place_of_worship,-88.9589696,40.1494811
45,place_of_worship,-88.97246,40.1509952
46,place_of_worship,-88.9526332,40.1599186
47,place_of_worship,-88.9520248,40.1519811
48,place_of_worship,-88.9601022,40.155532
49,place_of_worship,-88.9589695,40.1564256
50,post_office,-88.6415887,40.2431923
51,place_of_worship,-88.6445113,40.2489232
52,place_of_worship,-88.6406223,40.2439232
53,place_of_worship,-88.6406223,40.2455899
54,place_of_worship,-88.6445113,40.2505899
55,grave_yard,-88.6447891,40.2397566
56,grave_yard,-88.9694301,40.1619853
57,courthouse,-88.9621235,40.1538488
58,townhall,-88.9650815,40.0880924
59,fast_food,-88.6414679,40.2415624
60,parking,-88.6318458,40.2474864
61,bank,-89.0812198,40.0971077
62,pharmacy,-88.977065,40.1481021
63,fast_food,-88.9768882,40.1483911
64,police,-88.9614626,40.1534909
65,parking,-88.954709,40.1491984
66,waste_basket,-88.954945,40.1493535
67,loading_dock,-88.9756696,40.1490956
68,parking,-88.7516568,40.183433
69,restaurant,-88.9670462,40.1477604
70,fuel,-88.9736192,40.1477322
71,fuel,-88.979103,40.1468952
72,fast_food,-88.9797151,40.1468584
73,fast_food,-88.9644727,40.150154
74,library,-88.9614876,40.1550133
75,social_facility,-88.9732897,40.1450307
76,toilets,-88.8446357,40.1881006
77,parking,-88.8622556,40.1356466
78,bench,-88.8385445,40.1948642
