,amenity,longitude,latitude
0,school,-102.7971242,46.8802869
1,place_of_worship,-102.7974019,46.8802869
2,place_of_worship,-102.786846,46.8832001
3,place_of_worship,-102.7854576,46.8822311
4,place_of_worship,-102.7778039,46.8822985
5,courthouse,-102.7843465,46.8822311
6,fast_food,-102.789244,46.8786338
7,fountain,-102.813814,46.8875196
8,doctors,-102.7851811,46.8883525
9,bench,-102.7868626,46.8884618
10,bank,-102.7894295,46.879346
11,letter_box,-102.826255,46.8759298
12,fast_food,-102.790808,46.901373
13,fast_food,-102.7908116,46.9014735
14,post_box,-102.7903502,46.9012124
15,kindergarten,-102.8119561,46.8797373
16,fast_food,-102.8113354,46.8795782
17,restaurant,-102.81135,46.879906
18,fast_food,-102.8123641,46.8788606
19,bank,-102.7919078,46.9017552
20,fast_food,-102.7919641,46.9015898
21,fast_food,-102.7923316,46.9014278
22,cafe,-102.7908177,46.9015783
23,cinema,-102.7931496,46.9002923
24,charging_station,-102.7909024,46.9012214
25,charging_station,-102.7908578,46.9012197
26,charging_station,-102.7908275,46.9012191
27,charging_station,-102.790793,46.9012174
28,charging_station,-102.7907551,46.9012185
29,charging_station,-102.7907189,46.9012174
30,charging_station,-102.7906844,46.9012156
31,dentist,-102.7980307,46.9000545
32,bar,-102.8121959,46.8866054
33,bench,-102.79436,46.88817
34,bench,-102.7943026,46.8881588
35,bench,-102.7942519,46.8881642
36,bench,-102.7942072,46.8881792
37,bench,-102.794167,46.8882013
38,bench,-102.7941407,46.8882306
39,bench,-102.7941355,46.8882629
40,bench,-102.7941425,46.8883
41,bench,-102.794167,46.8883335
42,bench,-102.7942107,46.8883586
43,bench,-102.7942545,46.8883705
44,bench,-102.7943079,46.8883747
45,bench,-102.7943481,46.8883693
46,bench,-102.7939508,46.88816
47,bench,-102.7939523,46.8881863
48,bench,-102.7939538,46.888212
49,bench,-102.793953,46.8882347
50,bench,-102.7938943,46.8882347
51,bench,-102.7938928,46.8882094
52,bench,-102.7938943,46.8881847
53,bench,-102.7962676,46.8849231
54,bench,-102.7960922,46.8850087
55,bench,-102.7961551,46.8847784
56,bar,-102.8056038,46.8793654
57,fast_food,-102.7917322,46.878855
58,dentist,-102.791407,46.8788573
59,fast_food,-102.7911907,46.8788517
60,letter_box,-102.7596334,46.8827619
61,waste_disposal,-102.7622593,46.8824301
62,waste_disposal,-102.7622593,46.8825291
63,letter_box,-102.7623051,46.8825264
64,waste_disposal,-102.7587861,46.8825528
65,waste_disposal,-102.7587846,46.8824127
66,waste_disposal,-102.7595421,46.8824248
67,waste_disposal,-102.7606591,46.8824158
68,waste_disposal,-102.7606488,46.8825427
69,vending_machine,-102.7683508,46.8779929
70,vending_machine,-102.768339,46.8779767
71,vending_machine,-102.7683208,46.877962
72,vending_machine,-102.7680957,46.8779601
73,vending_machine,-102.7679765,46.8779596
74,vending_machine,-102.7678635,46.8779586
75,vending_machine,-102.7677541,46.8779596
76,fast_food,-102.7677743,46.878195
77,bench,-102.7693366,46.8981508
78,bench,-102.7689493,46.8984564
79,school,-102.7782327,46.8823355
80,fast_food,-102.791645,46.89392
81,restaurant,-102.7912489,46.893177
82,car_wash,-102.7916035,46.8946204
83,car_wash,-102.7398476,46.8860518
84,waste_disposal,-102.7866804,46.8984575
85,post_box,-102.7746554,46.8915416
86,waste_disposal,-102.7880624,46.8933138
87,post_box,-102.7870693,46.8931776
88,compressed_air,-102.7784817,46.8779119
89,car_wash,-102.7783832,46.8778578
90,restaurant,-102.7783549,46.8780384
91,fast_food,-102.7794,46.8780624
92,bench,-102.7816205,46.8742606
93,bench,-102.7814919,46.8742486
94,waste_disposal,-102.7882818,46.8939431
95,waste_disposal,-102.7883127,46.8939229
96,compressed_air,-102.7885001,46.893884
97,cafe,-102.7920946,46.9015959
98,fixme,-102.7920872,46.9012434
99,bench,-102.767995,46.8809988
100,bench,-102.7823087,46.8925187
101,shelter,-102.7819189,46.8923996
102,waste_basket,-102.7819543,46.8924016
103,bench,-102.784364,46.9006186
104,atm,-102.7904802,46.8999204
105,vending_machine,-102.7889558,46.8940246
106,vending_machine,-102.7888892,46.8940223
107,vending_machine,-102.7888104,46.8940254
108,vending_machine,-102.7887317,46.8940234
109,vending_machine,-102.7888241,46.8939497
110,vending_machine,-102.7888934,46.8939507
111,vending_machine,-102.7889602,46.8939624
112,atm,-102.7887359,46.893812
113,vending_machine,-102.7395449,46.8859628
114,vending_machine,-102.7394717,46.8859866
115,vending_machine,-102.7394379,46.8859389
116,vending_machine,-102.739522,46.8859135
117,vending_machine,-102.7396822,46.886317
118,vending_machine,-102.7396231,46.8863331
119,vending_machine,-102.7397009,46.8863503
120,vending_machine,-102.7397818,46.8863801
121,vending_machine,-102.7397349,46.8863973
122,vending_machine,-102.7398126,46.8864299
123,vending_machine,-102.739883,46.8864559
124,vending_machine,-102.7398296,46.8864742
125,restaurant,-102.7410553,46.8856908
126,vending_machine,-102.8104975,46.8795067
127,vending_machine,-102.8104341,46.8794712
128,vending_machine,-102.8106035,46.879442
