,amenity,longitude,latitude
0,school,-98.0822346,30.2156799
1,pharmacy,-98.0849345,30.1922033
2,fast_food,-98.0865594,30.1909786
3,fast_food,-98.1071829,30.1975788
4,fast_food,-98.0820948,30.1897556
5,fast_food,-98.0823252,30.1897384
6,post_office,-98.0853713,30.192444
7,pharmacy,-98.0807237,30.1896404
8,restaurant,-98.0831517,30.1927889
9,fast_food,-98.0821638,30.1921292
10,ice_cream,-98.0820621,30.1921252
11,school,-98.0844842,30.1774276
12,dentist,-98.1004533,30.1953995
13,cafe,-98.0858665,30.191149
14,fast_food,-97.9810476,30.2041075
15,fast_food,-97.9765092,30.2062742
16,restaurant,-98.084755,30.185385
17,veterinary,-98.083403,30.1928065
18,fuel,-98.1113271,30.2011257
19,charging_station,-97.9824272,30.2027549
20,charging_station,-97.9823865,30.2027803
21,fast_food,-98.0888819,30.1919436
22,cafe,-98.0858734,30.1909864
23,restaurant,-97.9824617,30.2032749
24,clinic,-97.9822701,30.2033733
25,clinic,-97.9827122,30.2031559
26,cafe,-97.9826664,30.203179
27,clinic,-97.9768429,30.2047945
28,dentist,-97.9767008,30.2061804
29,dentist,-97.9767905,30.2061278
30,toilets,-98.0843238,30.1868309
31,dressing_room,-98.0843268,30.1868535
32,restaurant,-98.0914055,30.1917419
33,restaurant,-98.0863925,30.1926085
34,cafe,-98.0900088,30.1925111
35,coworking_space,-98.0852787,30.1927402
