,amenity,longitude,latitude
0,school,-96.20833,38.4300135
1,school,-96.1933296,38.3955699
2,school,-96.1780527,38.3934798
3,school,-96.1831685,38.3982934
4,school,-96.173575,38.3992977
5,school,-96.2013638,38.4073665
6,school,-96.1904174,38.4099627
7,school,-96.1745963,38.4091145
8,social_facility,-96.1630356,38.4108947
9,school,-96.1801001,38.4132728
10,school,-96.2074966,38.4239025
11,place_of_worship,-96.1938852,38.3955699
12,place_of_worship,-96.1947185,38.4044585
13,place_of_worship,-96.1932853,38.4039717
14,place_of_worship,-96.2065426,38.4241209
15,place_of_worship,-96.1972185,38.4069584
16,place_of_worship,-96.1805515,38.3952921
17,place_of_worship,-96.1752735,38.3950144
18,place_of_worship,-96.1747179,38.399181
19,place_of_worship,-96.177218,38.4022364
20,place_of_worship,-96.1722179,38.4047363
21,place_of_worship,-96.1824959,38.3980699
22,place_of_worship,-96.1805515,38.3980699
23,place_of_worship,-96.1861071,38.3980699
24,place_of_worship,-96.1863849,38.3991809
25,place_of_worship,-96.1830516,38.4022364
26,place_of_worship,-96.1824959,38.400292
27,place_of_worship,-96.1819404,38.400292
28,place_of_worship,-96.1843057,38.4052429
29,place_of_worship,-96.1830516,38.406403
30,place_of_worship,-96.1830516,38.407514
31,place_of_worship,-96.1816626,38.4083473
32,place_of_worship,-96.1824959,38.4089029
33,place_of_worship,-96.1804774,38.4089243
34,place_of_worship,-96.1869406,38.4114028
35,place_of_worship,-96.1847182,38.4127917
36,place_of_worship,-96.1774958,38.412514
37,place_of_worship,-96.1777736,38.406403
38,post_office,-96.1818269,38.4058718
39,school,-96.181468,38.4166338
40,school,-96.17767,38.39399
41,school,-96.2247608,38.4256321
42,school,-96.215369,38.417252
43,college,-96.1786426,38.4147224
44,fire_station,-96.178072,38.4040364
45,fire_station,-96.2176865,38.415596
46,library,-96.1809687,38.4133009
47,police,-96.1784151,38.4043669
48,library,-96.1786069,38.4052919
49,police,-96.1790408,38.4178709
50,police,-96.1790399,38.4177614
51,theatre,-96.1784982,38.4129606
52,marketplace,-96.1810923,38.406749
53,fuel,-96.2081708,38.4054568
54,fast_food,-96.1936361,38.4053419
55,fast_food,-96.2014465,38.405406
56,fast_food,-96.1959148,38.4053672
57,fast_food,-96.1942763,38.4047209
58,social_facility,-96.2191802,38.4108065
59,fast_food,-96.2176394,38.423825
60,restaurant,-96.2185847,38.4229489
61,restaurant,-96.2205161,38.4226689
62,restaurant,-96.2210952,38.4222591
63,restaurant,-96.2176394,38.4223908
64,cafe,-96.2186668,38.4221128
65,nursing_home,-96.2131998,38.425692
66,restaurant,-96.2164439,38.4199907
67,pharmacy,-96.2165385,38.4163441
68,cinema,-96.2147253,38.4170636
69,bank,-96.2166493,38.4147803
70,bank,-96.2165373,38.4155414
71,bank,-96.2164625,38.4129361
72,fast_food,-96.2173779,38.4095549
73,restaurant,-96.2174526,38.4091597
74,fast_food,-96.2155963,38.4072253
75,fast_food,-96.1978138,38.4052329
76,fast_food,-96.2143229,38.4240154
77,fast_food,-96.2158983,38.4252224
78,fuel,-96.2164455,38.4233929
79,courthouse,-96.1785811,38.4046398
80,animal_shelter,-96.2218795,38.4132929
81,doctors,-96.2157507,38.4167917
82,health_food_store,-96.1993743,38.4047259
83,restaurant,-96.1805506,38.406462
84,police,-96.1792363,38.4032966
85,restaurant,-96.1816771,38.4054111
86,bank,-96.181779,38.4064116
87,restaurant,-96.1805036,38.401912
88,place_of_worship,-96.2268739,38.4209483
89,fuel,-96.1817984,38.4120431
90,fuel,-96.1862552,38.4048762
91,fuel,-96.15705,38.4053961
92,place_of_worship,-96.1505228,38.4081628
93,place_of_worship,-96.1497751,38.4076268
94,fast_food,-96.1663876,38.412815
95,fuel,-96.2133046,38.4070735
96,restaurant,-96.1706826,38.412519
97,community_centre,-96.1719486,38.4117792
98,car_wash,-96.1702733,38.412485
99,restaurant,-96.1700128,38.4125274
100,bank,-96.1799628,38.4051682
101,cafe,-96.1799582,38.4053606
102,social_facility,-96.17993,38.4057842
103,pub,-96.1804427,38.4068942
104,fast_food,-96.1799454,38.4072207
105,arts_centre,-96.1804564,38.4079354
106,cafe,-96.1804417,38.4077815
107,place_of_worship,-96.2063482,38.4114592
108,place_of_worship,-96.1822812,38.4154592
109,post_box,-96.1820593,38.4055877
110,restaurant,-96.2109772,38.4061075
111,bicycle_repair_station,-96.1800309,38.4199862
112,bicycle_repair_station,-96.1813467,38.4062911
113,bicycle_repair_station,-96.1810538,38.3865867
114,bbq,-96.1848578,38.3933465
115,bench,-96.1704904,38.4080984
116,bbq,-96.1863119,38.3932153
117,college,-96.1834228,38.4045432
118,kindergarten,-96.1833824,38.4041535
119,fountain,-96.1833826,38.4046545
120,bbq,-96.2035554,38.4227588
121,bbq,-96.2012164,38.425388
122,restaurant,-96.1798572,38.4117699
123,fast_food,-96.2163721,38.4231496
124,loading_dock,-96.2202934,38.4247075
125,loading_dock,-96.2202812,38.4241836
126,charging_station,-96.2167526,38.4142556
127,bar,-96.1805874,38.4053312
128,bicycle_repair_station,-96.2261191,38.4218398
129,bicycle_repair_station,-96.1711106,38.3905699
130,bicycle_repair_station,-96.1808958,38.4072635
131,vending_machine,-96.189053,38.3326343
132,bicycle_rental,-96.2261184,38.4218731
133,bicycle_rental,-96.1708703,38.4123977
134,bicycle_rental,-96.1711343,38.3905507
135,bicycle_rental,-96.1850582,38.4024735
136,bicycle_rental,-96.17897,38.4034845
137,bicycle_rental,-96.1983435,38.4112415
138,fast_food,-96.182366,38.4210574
139,restaurant,-96.1810555,38.4027815
140,bar,-96.1727819,38.4120216
141,car_wash,-96.2389175,38.4113733
142,bicycle_parking,-96.2107927,38.4162099
143,fast_food,-96.2044179,38.4052597
144,fuel,-96.1635826,38.4119466
145,fast_food,-96.1648181,38.4126362
