,amenity,longitude,latitude
0,fire_station,-80.0798504,42.0994111
1,restaurant,-80.0822027,42.1208163
2,bus_station,-80.084636,42.1373202
3,car_wash,-80.0826942,42.0945611
4,restaurant,-80.0846634,42.0924117
5,car_wash,-80.0868208,42.0868683
6,fast_food,-80.0439323,42.1236517
7,fuel,-80.0164358,42.1210638
8,fuel,-80.0171298,42.1208311
9,fast_food,-80.0431183,42.1230926
10,fast_food,-80.0734003,42.1270536
11,fuel,-80.0518809,42.1196581
12,bank,-80.0302985,42.1081074
13,bank,-80.0310901,42.1149062
14,fuel,-80.0345438,42.1062344
15,bank,-80.0283931,42.1160621
16,fast_food,-80.0507888,42.1083631
17,fast_food,-80.0352347,42.1070571
18,social_facility,-80.0229552,42.1397226
19,bench,-80.0316454,42.1278162
20,bench,-80.0317342,42.1278379
21,bench,-80.031574,42.1278269
22,fountain,-80.0845801,42.12971
23,bar,-80.0814347,42.1256856
24,theatre,-80.117951,42.1178077
25,fuel,-80.1186758,42.1109583
26,restaurant,-80.0275738,42.1162304
27,fire_station,-80.1234945,42.1125665
28,fire_station,-80.0615016,42.1347282
29,fire_station,-80.0486745,42.1186946
30,police,-80.0855904,42.1283693
31,toilets,-80.1174836,42.1182178
32,pharmacy,-80.0723472,42.1272689
33,bank,-80.1303542,42.1049557
34,cafe,-80.086234,42.1313813
35,fast_food,-80.0851632,42.1227793
36,bar,-80.0394977,42.1126142
37,fast_food,-80.083458,42.0955778
38,bank,-80.0794052,42.1002743
39,social_facility,-80.1157736,42.1214952
40,place_of_worship,-80.0367869,42.1249043
41,social_facility,-80.1101132,42.1269659
42,post_office,-80.0834658,42.097625
43,childcare,-80.0841693,42.0986386
44,bench,-80.0616813,42.1441732
45,bench,-80.0619826,42.1440077
46,bench,-80.0618313,42.1440774
47,prison,-80.0671723,42.1241442
48,bank,-80.0236665,42.1366796
49,bar,-80.0295477,42.1337736
50,place_of_worship,-80.0330284,42.1329489
51,social_centre,-80.0338335,42.1325961
52,social_centre,-80.0319014,42.1334326
53,place_of_worship,-80.043373,42.1291306
54,car_wash,-80.1296997,42.1052606
55,bank,-80.1313709,42.1063049
56,fast_food,-80.1297201,42.1040303
57,fast_food,-80.1295457,42.1039037
58,fast_food,-80.0993864,42.1271577
59,townhall,-80.0851407,42.1285548
60,restaurant,-80.0982149,42.0896612
61,restaurant,-80.0985304,42.0898613
62,bar,-80.063925,42.1132222
63,fast_food,-80.064995,42.1146897
64,clinic,-80.0641783,42.1145092
65,fuel,-80.0821295,42.1167362
66,ice_cream,-80.0820074,42.1090283
67,fuel,-80.0817051,42.1165602
68,social_facility,-80.0801395,42.1131718
69,clinic,-80.0814442,42.118512
70,clinic,-80.0811016,42.1189345
71,fast_food,-80.079571,42.1245704
72,studio,-80.0690032,42.1043026
73,fast_food,-80.0809081,42.1213778
74,post_office,-80.0796751,42.1216654
75,fast_food,-80.0793027,42.1237311
76,atm,-80.0832828,42.1285944
77,bank,-80.083934,42.1281987
78,social_facility,-80.0805912,42.1254249
79,restaurant,-80.0825917,42.1284079
80,bank,-80.0829068,42.1289144
81,events_venue,-80.0852219,42.1272701
82,studio,-80.0844487,42.1279227
83,studio,-80.0844356,42.1278995
84,studio,-80.0845624,42.1279278
85,studio,-80.0846107,42.1279106
86,studio,-80.0844211,42.1278794
87,pub,-80.084414,42.1276176
88,childcare,-80.0847477,42.1281482
89,events_venue,-80.0851802,42.1314023
90,fast_food,-80.0853783,42.1300626
91,fast_food,-80.0857901,42.1307998
92,pub,-80.0864111,42.131661
93,dentist,-80.0860702,42.1321015
94,restaurant,-80.0863569,42.1319919
95,library,-80.0863573,42.1367665
96,pharmacy,-80.0831581,42.125875
97,social_centre,-80.084399,42.1264454
98,bank,-80.0841239,42.1272297
99,place_of_worship,-80.0847495,42.1242998
100,bank,-80.0844379,42.125281
101,restaurant,-80.0428662,42.1257253
102,bank,-80.0840524,42.1247579
103,bank,-80.0826814,42.1221274
104,studio,-80.0842514,42.1228732
105,fast_food,-80.0827035,42.1227116
106,restaurant,-80.0325405,42.1080628
107,fast_food,-80.032359,42.1081282
108,bank,-80.0484559,42.1077874
109,doctors,-80.0357218,42.1064287
110,atm,-80.0306859,42.1083206
111,clinic,-80.0534891,42.1098532
112,car_wash,-80.035448,42.1060711
113,pharmacy,-80.0496595,42.1079908
114,bar,-80.0488045,42.1085537
115,cafe,-80.0483713,42.108693
116,place_of_worship,-80.0559854,42.1180636
117,social_facility,-80.0502747,42.120313
118,place_of_worship,-80.0492555,42.111293
119,fuel,-80.0826256,42.0960392
120,restaurant,-80.0837311,42.094577
121,bank,-80.086661,42.0988218
122,bank,-80.0857198,42.0991452
123,fast_food,-80.0832927,42.095014
124,bar,-80.0832432,42.0951146
125,post_office,-80.0829875,42.0956293
126,bank,-80.0821449,42.0956934
127,fast_food,-80.0844761,42.0910195
128,doctors,-80.0836752,42.0919406
129,fast_food,-80.0852422,42.0898202
130,fast_food,-80.084118,42.0920595
131,doctors,-80.0859123,42.0885604
132,cafe,-80.0848143,42.0903046
133,fast_food,-80.0854826,42.0893217
134,restaurant,-80.086036,42.0882422
135,dentist,-80.0862107,42.0893372
136,fast_food,-80.0843195,42.0931007
137,driving_school,-80.0851064,42.091339
138,bar,-80.0863963,42.0889079
139,fast_food,-80.0815625,42.098178
140,veterinary,-80.0787025,42.0968981
141,bank,-80.1077349,42.098993
142,fast_food,-80.1067328,42.1005986
143,restaurant,-80.1068762,42.1005522
144,fuel,-80.1082301,42.0993551
