,amenity,longitude,latitude
0,cafe,-122.4375534,45.5345067
1,restaurant,-122.434074,45.5345842
2,cafe,-122.4424083,45.532484
3,pharmacy,-122.4426927,45.5324446
4,car_wash,-122.4358444,45.5347519
5,bar,-122.4365484,45.5346558
6,fuel,-122.4339217,45.534762
7,bar,-122.429836,45.5359449
8,restaurant,-122.4298357,45.5358682
9,place_of_worship,-122.4283734,45.535108
10,restaurant,-122.4298575,45.5363525
11,restaurant,-122.4375627,45.5346813
12,toilets,-122.4443208,45.5446533
13,toilets,-122.4434855,45.5451868
14,toilets,-122.4445054,45.5568229
15,toilets,-122.4422108,45.5606999
16,toilets,-122.4424711,45.5606868
17,toilets,-122.4425618,45.5608081
18,toilets,-122.4492109,45.5556205
19,toilets,-122.4492368,45.5556232
20,toilets,-122.4491851,45.5556179
21,toilets,-122.4491593,45.5556152
22,toilets,-122.4491491,45.5556631
23,toilets,-122.449175,45.5556658
24,toilets,-122.4492008,45.5556685
25,toilets,-122.4492267,45.5556712
26,toilets,-122.4476296,45.5552047
27,toilets,-122.4476474,45.555217
28,toilets,-122.4476129,45.5551932
29,toilets,-122.4475956,45.5551813
30,toilets,-122.4475963,45.5552541
31,toilets,-122.4475788,45.5552422
32,toilets,-122.4475613,45.5552303
33,toilets,-122.4475438,45.5552184
34,toilets,-122.452607,45.5558547
35,toilets,-122.4526328,45.5558575
36,toilets,-122.4526587,45.5558603
37,toilets,-122.4526845,45.5558631
38,toilets,-122.4526738,45.555911
39,toilets,-122.452648,45.5559082
40,toilets,-122.4526222,45.5559054
41,toilets,-122.4525964,45.5559026
42,bench,-122.4516799,45.5547799
43,waste_basket,-122.4516664,45.554775
44,bench,-122.4499532,45.554338
45,bench,-122.4499355,45.5543337
46,toilets,-122.4472986,45.5565738
47,toilets,-122.4472736,45.5565716
48,toilets,-122.4472486,45.5565693
49,toilets,-122.4473236,45.5565761
50,toilets,-122.4473329,45.5565255
51,toilets,-122.4473079,45.5565233
52,toilets,-122.4472829,45.556521
53,toilets,-122.4472579,45.5565187
54,vending_machine,-122.4459373,45.5559904
55,vending_machine,-122.446013,45.555978
56,vending_machine,-122.4460983,45.5559598
57,bicycle_parking,-122.4522617,45.555219
