,amenity,longitude,latitude
0,place_of_worship,-79.030308,34.9876639
1,place_of_worship,-78.9834986,35.0915593
2,place_of_worship,-78.9038813,35.0879697
3,place_of_worship,-78.9575277,35.094885
4,place_of_worship,-78.8911367,35.0346086
5,place_of_worship,-78.9725283,35.0679408
6,place_of_worship,-78.8500242,35.0307202
7,school,-78.8691915,35.0490531
8,school,-78.9728063,35.0446077
9,place_of_worship,-78.8897681,35.0375939
10,place_of_worship,-78.9211753,35.075371
11,university,-78.8924739,35.0726
12,place_of_worship,-78.8325235,35.0190538
13,place_of_worship,-79.0603082,35.016553
14,place_of_worship,-78.9186376,35.0998854
15,place_of_worship,-78.8530798,35.025998
16,place_of_worship,-78.944393,35.0433636
17,place_of_worship,-79.0425303,34.9996085
18,school,-78.8655118,35.1625653
19,place_of_worship,-78.9541942,35.0932185
20,place_of_worship,-78.8814142,35.0446086
21,place_of_worship,-78.9455009,35.060533
22,place_of_worship,-79.0289191,34.9848861
23,place_of_worship,-78.9856097,35.0592472
24,school,-78.897509,35.0773659
25,place_of_worship,-78.8689138,35.0404421
26,place_of_worship,-78.9678061,35.0368301
27,place_of_worship,-78.8828032,35.0948858
28,place_of_worship,-78.9230821,35.1059963
29,school,-78.9539167,35.0423857
30,school,-78.9597503,35.0326636
31,school,-78.9834571,35.0380155
32,school,-78.9622504,35.0182193
33,school,-78.987251,35.0798849
34,school,-78.9872509,35.0868293
35,school,-79.0095681,35.0930052
36,school,-78.8787568,35.0928752
37,school,-78.8816971,35.0996825
38,school,-78.8995145,35.0850739
39,school,-78.9090084,35.1205777
40,school,-78.9127015,35.0983057
41,school,-78.8691915,35.052942
42,school,-78.872525,35.0390532
43,school,-78.889785,35.1034558
44,university,-78.8763458,35.1328478
45,restaurant,-78.9368773,35.0445755
46,fast_food,-78.9345793,35.077037
47,restaurant,-78.9383746,35.0788391
48,cafe,-78.9623512,35.0747729
49,bar,-78.9268192,35.0455657
50,fuel,-78.9344871,35.0440842
51,restaurant,-78.9375067,35.044618
52,fast_food,-78.9257694,35.0450308
53,fast_food,-78.9261181,35.0450045
54,fuel,-78.9281566,35.0285773
55,fuel,-78.9288647,35.0282083
56,fuel,-78.9280225,35.0272463
57,fast_food,-78.9275289,35.0281951
58,restaurant,-78.9270193,35.0285817
59,fast_food,-78.9271802,35.027892
60,fuel,-78.9166177,35.0190445
61,fuel,-78.9419378,35.0437177
62,fast_food,-78.9478114,35.0431766
63,fuel,-78.9615239,35.0259054
64,place_of_worship,-78.9600487,35.0374754
65,fuel,-78.961422,35.0423771
66,fast_food,-78.9573128,35.0435761
67,fuel,-78.9359893,35.0773474
68,fuel,-78.9004339,35.0669773
69,pharmacy,-78.9195902,35.0454646
70,bank,-78.9355011,35.0381123
71,fast_food,-78.9360966,35.0394915
72,fast_food,-78.9355333,35.0391752
73,pharmacy,-78.9298256,35.0313261
74,fast_food,-78.9264308,35.0289291
75,car_wash,-78.8979842,35.0410637
76,atm,-78.963433,35.069024
77,ice_cream,-78.9616895,35.06902
78,fast_food,-78.8799077,35.1266504
79,cafe,-78.9257847,35.0290399
80,parking,-78.8903406,34.9900982
81,restaurant,-78.9343633,35.0397191
82,fountain,-78.8773422,35.0539557
83,fountain,-78.8770021,35.088487
84,place_of_worship,-78.8726605,35.1348237
85,fast_food,-78.879954,35.124979
86,restaurant,-78.8799648,35.1255051
87,restaurant,-78.8804715,35.1162286
88,restaurant,-78.880741,35.1150675
89,restaurant,-78.8784594,35.131837
90,fast_food,-78.8795005,35.1296042
91,theatre,-78.8743619,35.1314074
92,car_wash,-78.8795191,35.1288229
93,bank,-78.8796762,35.1278074
94,fast_food,-78.8797731,35.1274357
95,fast_food,-78.8801719,35.1230264
96,fast_food,-78.8801259,35.122129
97,pharmacy,-78.8802569,35.121744
98,fuel,-78.8802533,35.1234143
99,bank,-78.8812047,35.1174586
100,place_of_worship,-78.8826059,35.1185576
101,fast_food,-78.8800011,35.1119837
102,fast_food,-78.8800935,35.11276
103,fast_food,-78.8797941,35.1109238
104,fast_food,-78.8796395,35.1096939
105,car_wash,-78.8795193,35.1093562
106,doctors,-78.880151,35.1054065
107,restaurant,-78.8743275,35.1383351
108,restaurant,-78.8744128,35.1381589
109,library,-78.8969525,35.1289228
110,cafe,-78.8803475,35.1206284
111,clinic,-78.8803522,35.1207543
112,ice_cream,-78.8803483,35.1208443
113,fast_food,-78.8805547,35.1212979
114,restaurant,-78.8802744,35.1212979
115,restaurant,-78.8800433,35.1212979
116,restaurant,-78.8814737,35.1212019
117,restaurant,-78.9373631,35.0436814
118,community_centre,-78.8973733,35.0783226
119,shelter,-78.8927255,35.0744762
120,restaurant,-78.8945869,35.0703897
121,place_of_worship,-78.8940838,35.0698174
122,place_of_worship,-78.8953605,35.0712898
123,place_of_worship,-78.8956716,35.0723699
124,community_centre,-79.0452231,35.054902
125,community_centre,-79.0759568,35.0496794
126,place_of_worship,-79.0602875,35.0558461
127,childcare,-79.0616212,35.0565608
128,fast_food,-79.0167073,35.0629662
129,community_centre,-78.9936351,35.0590611
130,place_of_worship,-78.993509,35.0573371
131,place_of_worship,-79.036173,35.0633098
132,place_of_worship,-79.0655183,35.0611931
133,fountain,-78.8917955,35.068719
134,fountain,-78.8938851,35.0715073
135,restaurant,-78.8921701,35.0735912
136,restaurant,-78.8916031,35.0735761
137,post_office,-78.891534,35.0732988
138,cafe,-78.8939534,35.0729101
139,community_centre,-78.9212803,35.068853
140,restaurant,-78.8942918,35.0700623
141,restaurant,-78.8940112,35.0697338
142,fountain,-78.8806283,35.0562242
143,fountain,-78.8741677,35.0527699
144,fountain,-78.8816597,35.0538111
145,fountain,-78.8819018,35.055076
146,fast_food,-78.8848033,35.0550008
147,shelter,-79.0775718,35.0476922
148,pharmacy,-78.8939369,35.0696547
149,fountain,-78.885687,35.0582556
150,fast_food,-78.9622625,35.0746803
151,ice_cream,-78.966453,35.0717897
152,fast_food,-79.0143559,35.064782
153,fast_food,-79.0132153,35.0623377
154,fast_food,-79.0473586,35.060413
