,amenity,longitude,latitude
0,grave_yard,-85.9188704,39.9425389
1,place_of_worship,-85.9944279,39.9719811
2,grave_yard,-85.9183147,39.9347613
3,place_of_worship,-85.9094256,39.9392058
4,grave_yard,-86.0649856,39.9311495
5,grave_yard,-86.0199846,39.9936473
6,school,-85.9155556,39.9380556
7,school,-86.0161257,39.9797853
8,school,-86.0097871,39.995429
9,grave_yard,-85.91,39.9391667
10,school,-85.9197222,39.9658333
11,fire_station,-85.9429278,39.9572829
12,fire_station,-86.0511006,39.9386864
13,cafe,-86.0101556,39.9560762
14,fountain,-86.0586241,39.9293499
15,waste_disposal,-86.0306367,39.9616292
16,fuel,-86.0198099,39.928262
17,fuel,-86.0269063,39.9277794
18,fast_food,-86.0222514,39.9562781
19,restaurant,-86.0391287,39.960826
20,restaurant,-86.0199126,39.9276859
21,ice_cream,-86.0145925,39.957107
22,fast_food,-86.0420211,39.9584955
23,dojo,-86.0421885,39.9585234
24,restaurant,-86.0420558,39.949454
25,restaurant,-86.0423886,39.9584146
26,pharmacy,-86.0410633,39.9582946
27,restaurant,-86.0363419,39.9583386
28,fast_food,-86.0402199,39.9577374
29,pharmacy,-86.041147,39.9559239
30,fuel,-86.0650312,39.9274265
31,restaurant,-86.0200503,39.9565054
32,restaurant,-86.0192561,39.956263
33,fast_food,-86.0123906,39.9585842
34,restaurant,-86.0125901,39.9586146
35,clinic,-86.0128087,39.9588798
36,restaurant,-86.0127536,39.9593417
37,pharmacy,-86.0206062,39.9562849
38,fuel,-86.0438474,39.9564338
39,restaurant,-86.0396123,39.9593633
40,restaurant,-86.0655851,39.9280184
41,restaurant,-86.0655017,39.928071
42,restaurant,-86.040499,39.9517521
43,restaurant,-86.0404968,39.9516058
44,restaurant,-86.0418231,39.9499447
45,post_office,-86.0416302,39.9504633
46,fast_food,-86.0385738,39.9595342
47,fast_food,-86.0384922,39.9597653
48,fast_food,-86.0386169,39.9594039
49,dentist,-86.0588318,39.9320336
50,fast_food,-86.0389785,39.9612187
51,atm,-86.0442932,39.9478625
52,bicycle_parking,-86.0440107,39.9478853
53,parking,-86.0437508,39.9654175
54,restaurant,-86.020001,39.9277177
55,fast_food,-86.010652,39.9575626
56,restaurant,-86.0080239,39.9585125
57,fast_food,-86.0107677,39.9579988
58,waste_disposal,-86.0646631,39.9276711
59,pub,-86.0235839,39.9282527
60,dentist,-86.023842,39.9281992
61,fast_food,-86.0252709,39.9282008
62,clinic,-86.0250988,39.9282276
63,fast_food,-86.0255473,39.9281922
64,pub,-86.0242557,39.9282185
65,car_wash,-86.0272691,39.9277567
66,fuel,-86.0393582,39.9571157
67,bench,-86.0657989,39.9408303
68,bench,-86.0655877,39.9408323
69,bench,-86.0657479,39.9408385
70,restaurant,-85.9431902,39.9322839
71,fast_food,-86.0184043,39.9277454
72,fuel,-86.0142764,39.9277824
73,restaurant,-86.0173407,39.9280149
74,childcare,-86.0084926,39.9280783
75,bench,-86.0173523,39.9721375
76,fuel,-85.9967336,39.9838267
77,cafe,-86.0130245,39.9573322
78,bank,-86.0429723,39.9571309
79,bank,-86.0422615,39.9571524
80,bank,-86.0413519,39.9570793
81,theatre,-86.0131597,39.9559463
82,restaurant,-86.0140222,39.9571594
83,fuel,-86.0119669,39.9570721
84,fuel,-86.0126482,39.9564419
85,ice_cream,-86.0114659,39.9278247
86,dentist,-86.0453144,39.9459462
87,bar,-86.023002,39.9565534
88,fuel,-85.9955189,39.9566438
89,kindergarten,-86.0144226,39.9297063
90,pharmacy,-85.9825091,39.9281198
91,fast_food,-85.9826966,39.9281166
92,fast_food,-85.9831218,39.9281262
93,restaurant,-85.9828634,39.9281262
94,veterinary,-85.9840513,39.929817
95,kindergarten,-85.9831885,39.9297946
96,social_facility,-85.9821214,39.9294079
97,fuel,-86.0028421,39.971948
98,restaurant,-86.0387764,39.9586918
99,cafe,-86.0229614,39.9411675
100,fountain,-85.9919361,39.9866595
101,fountain,-85.9912703,39.9866129
102,fountain,-85.9935321,39.9855884
103,fountain,-85.9876282,39.9875158
104,fountain,-85.9873459,39.9876456
105,fountain,-85.9853415,39.9874664
106,fountain,-85.9838252,39.9871759
107,fountain,-85.9832567,39.9850246
108,fountain,-85.984565,39.9906821
109,fountain,-85.9937634,39.9912429
110,fountain,-85.9936109,39.993057
111,fountain,-85.9958169,39.9903219
112,fountain,-86.003143,39.9910002
113,fountain,-86.0012343,39.9917175
114,fountain,-85.9987457,39.9895478
115,fountain,-85.9982834,39.9906427
116,fountain,-85.9769006,39.9795185
117,fountain,-85.9696004,39.9871414
118,fountain,-85.9664501,39.9887762
119,fountain,-85.9573016,39.9931326
120,fountain,-85.9501681,39.9839808
121,fountain,-85.9500976,39.9834486
122,fountain,-85.9235859,39.9775099
123,fountain,-85.9150902,39.9747654
124,fountain,-85.9116174,39.9761563
125,fountain,-85.9163517,39.9769374
126,fountain,-85.912772,39.9789364
127,fountain,-85.9118245,39.9805357
128,fountain,-85.90742,39.9794662
129,fountain,-85.9083288,39.9767929
130,fountain,-85.905659,39.9746727
131,fountain,-85.9060137,39.9818715
132,fountain,-85.8992983,39.9832109
133,place_of_worship,-85.9734157,39.9710598
134,bicycle_repair_station,-86.0264116,39.9420014
135,fountain,-85.8782906,39.9800597
136,fountain,-85.8779567,39.9800638
137,fountain,-85.8756751,39.9798879
138,fountain,-85.875197,39.9798854
139,fountain,-85.8748843,39.978779
140,fountain,-85.8761149,39.9773566
141,fountain,-85.8759674,39.9772024
142,restaurant,-86.0415533,39.9507052
143,loading_dock,-86.0015503,39.9812728
144,loading_dock,-86.0203792,39.9301036
145,loading_dock,-86.0222451,39.9300439
146,restaurant,-86.011128,39.9586391
147,fast_food,-86.0367492,39.9571656
148,bank,-86.0376129,39.9571821
149,bank,-85.9973506,39.9564589
150,bank,-86.004729,39.955087
151,fast_food,-86.0045868,39.9562754
152,place_of_worship,-86.0034174,39.9558107
153,charging_station,-86.0161361,39.9576385
154,pharmacy,-86.0030438,39.9783428
155,fountain,-85.9181057,39.9740812
156,fast_food,-86.040705,39.9571318
157,fountain,-86.0170943,39.9722125
158,fast_food,-85.9220981,39.9818026
159,fountain,-85.9893713,39.955251
160,fountain,-85.9844059,39.9588351
161,fountain,-85.9878525,39.9582954
162,fountain,-85.9873657,39.9589728
163,fountain,-85.9866549,39.9599206
164,fast_food,-86.021527,39.9277088
165,fast_food,-86.0216074,39.9277263
166,fast_food,-86.0217187,39.9277294
167,atm,-85.9940603,39.9576817
168,doctors,-85.9940471,39.955454
169,parking_entrance,-86.0146067,39.9588245
170,fountain,-86.0283514,39.9434096
171,fountain,-86.0261269,39.9454947
172,fast_food,-85.9431232,39.9580901
173,fast_food,-85.9428228,39.95816
174,restaurant,-85.9428389,39.9582998
175,restaurant,-85.9428502,39.9584043
176,restaurant,-86.0006394,39.9554175
177,doctors,-86.0129586,39.9570238
178,fast_food,-86.0226839,39.927669
179,fast_food,-86.0256529,39.9276404
180,restaurant,-86.0173164,39.9277202
181,fountain,-85.9851421,39.9575148
182,restaurant,-86.0268152,39.9293434
183,fountain,-85.9181869,39.9311823
184,fountain,-86.0569764,39.9485452
185,fountain,-86.0486503,39.949501
186,fountain,-86.0495984,39.9553337
187,fountain,-86.0482758,39.9555338
188,fountain,-85.8990184,39.9705051
189,fountain,-85.9547353,39.9387588
190,fountain,-85.9533119,39.936402
191,fountain,-85.9525988,39.9366598
192,fountain,-86.0201051,39.9414023
193,fountain,-86.0101543,39.9489516
194,fountain,-86.0195444,39.9595408
195,fountain,-86.0180578,39.9610476
196,fountain,-86.0173577,39.962335
197,fountain,-86.0393385,39.9490357
198,parking_entrance,-86.0175956,39.9573356
199,parking_entrance,-86.0185496,39.9571831
200,parking_entrance,-86.016639,39.9577373
201,parking_entrance,-86.0159283,39.9583301
202,parking_entrance,-86.0156216,39.9591239
203,parking_entrance,-86.0130287,39.9577748
204,parking_entrance,-86.0142919,39.9596047
205,fountain,-85.9097489,39.9385496
206,fountain,-85.9109558,39.9385849
207,bench,-86.0177596,39.9569407
208,bench,-86.018023,39.9569415
