,amenity,longitude,latitude
0,post_office,-92.9854116,45.2722474
1,parking,-92.91787,45.236752
2,parking,-92.94334,45.231998
3,parking,-92.9859266,45.2397451
4,cafe,-93.0097838,45.2834481
5,fuel,-92.9994541,45.2790017
6,fuel,-93.0059946,45.2788547
7,fuel,-92.9996251,45.2799271
8,pharmacy,-92.9989151,45.279981
9,fast_food,-92.999304,45.2777775
10,fast_food,-92.9970477,45.2769093
11,library,-92.9877187,45.2389351
12,townhall,-92.9878046,45.2387216
13,restaurant,-92.998358,45.2752179
14,fast_food,-93.0086742,45.2789784
15,fast_food,-93.0095324,45.2798328
16,cafe,-93.0081195,45.2786626
17,restaurant,-92.985481,45.2704437
18,school,-92.9814507,45.2686029
19,cafe,-92.985302,45.27811
20,pharmacy,-92.9845568,45.2804721
21,toilets,-93.009128,45.270134
22,bench,-93.0009152,45.2417348
23,bench,-93.000764,45.2415193
24,bench,-93.001004,45.2414298
25,bench,-93.0010052,45.2415734
26,fire_station,-92.9851614,45.2663212
27,police,-92.9856442,45.2659852
28,fuel,-92.9823554,45.2635195
29,school,-92.9899747,45.2746075
30,school,-92.9894162,45.2724584
31,driving_school,-92.9787912,45.2608509
32,restaurant,-92.9096671,45.2513326
33,restaurant,-92.9621967,45.262014
34,restaurant,-92.9851473,45.2602041
35,bank,-92.9982692,45.2789475
36,restaurant,-92.9998699,45.2763285
37,fuel,-92.996785,45.2790565
38,restaurant,-92.9947786,45.2797015
39,restaurant,-92.9947754,45.2799203
40,fast_food,-92.9947882,45.2801255
41,ice_cream,-92.9841408,45.2813037
42,bank,-92.9851238,45.2765816
43,fuel,-92.9842355,45.2744394
44,restaurant,-92.9538955,45.2543021
45,restaurant,-92.9842787,45.2734096
46,fuel,-93.008266,45.2517064
47,restaurant,-92.9844757,45.282301
48,bench,-92.9840984,45.2392668
49,bench,-92.9842273,45.2412155
50,bicycle_repair_station,-92.9857959,45.2392607
51,Auto Insurance,-92.9827038,45.2725953
52,shelter,-92.9832763,45.2791075
53,shelter,-92.9420734,45.2835925
54,toilets,-92.9832968,45.2790949
55,fast_food,-92.9982258,45.278302
56,fuel,-92.9673788,45.2615581
57,dentist,-92.9960768,45.2790714
58,toilets,-92.9859694,45.2394382
59,bicycle_parking,-92.983757,45.2792665
60,bicycle_parking,-92.9835478,45.2802101
61,bicycle_parking,-92.9857458,45.2392851
62,drinking_water,-92.9833535,45.2789967
63,restaurant,-92.9388634,45.272702
64,restaurant,-92.9848465,45.2783425
65,restaurant,-92.984827,45.278507
