,amenity,longitude,latitude
0,cafe,-105.0767452,40.5879779
1,bicycle_parking,-105.0142845,40.5276894
2,fast_food,-105.077458,40.5812324
3,pub,-105.0767369,40.5876429
4,pub,-105.0773015,40.5883976
5,restaurant,-105.0783414,40.5857704
6,fountain,-105.0774113,40.5855847
7,restaurant,-105.0773288,40.5892608
8,pub,-105.0763019,40.5874398
9,bicycle_parking,-105.0595962,40.5514671
10,restaurant,-105.0597792,40.5515606
11,school,-105.069422,40.5738714
12,school,-105.0885898,40.5894268
13,school,-105.1244244,40.5897046
14,school,-105.067069,40.5666414
15,cafe,-105.0369642,40.5514075
16,telephone,-105.0379448,40.5500663
17,post_office,-105.0369465,40.5511177
18,fast_food,-105.036955,40.5509667
19,parking,-105.0577622,40.5369167
20,cafe,-105.0773422,40.5844089
21,police,-105.0786832,40.5882262
22,pub,-105.0755188,40.5873784
23,restaurant,-105.077343,40.587252
24,bar,-105.0791855,40.579492
25,bar,-105.0783185,40.5782377
26,pharmacy,-105.0784302,40.5571155
27,restaurant,-105.0791855,40.5795833
28,restaurant,-105.0767881,40.5782603
29,restaurant,-105.0764043,40.5779178
30,pharmacy,-105.0592147,40.5508283
31,pharmacy,-105.052191,40.5248415
32,restaurant,-105.0748597,40.5326766
33,cafe,-105.0595732,40.5511158
34,post_box,-105.0593012,40.5507604
35,restaurant,-105.077305,40.588751
36,restaurant,-105.0782311,40.5868161
37,pub,-105.0783197,40.5872599
38,restaurant,-105.076202,40.588808
39,post_box,-105.081218,40.5837861
40,restaurant,-105.0822335,40.5826719
41,restaurant,-105.0815769,40.5852047
42,fast_food,-105.0765873,40.53664
43,restaurant,-105.0761633,40.5490605
44,cafe,-105.1153992,40.5730003
45,pub,-105.0982357,40.5743818
46,restaurant,-105.0400146,40.5202866
47,bar,-105.0604509,40.521846
48,restaurant,-105.0648283,40.5229943
49,restaurant,-105.057627,40.5217807
50,recycling,-105.0414125,40.5628024
51,bank,-105.0764702,40.5616339
52,cafe,-105.076715,40.5887102
53,bank,-105.079409,40.5852931
54,cafe,-105.05857,40.5505443
55,restaurant,-105.0584912,40.5503035
56,telephone,-105.0575712,40.5667614
57,fast_food,-105.0561239,40.5824972
58,fast_food,-105.0560331,40.5823713
59,cafe,-105.0535434,40.582779
60,restaurant,-105.0746136,40.5392331
61,bank,-105.0764929,40.5376945
62,atm,-105.0764983,40.5321351
63,cafe,-105.0780996,40.531128
64,pharmacy,-105.078272,40.5271664
65,restaurant,-105.0758031,40.5238516
66,school,-105.0508172,40.541874
67,doctors,-105.036182,40.5215861
68,car_wash,-105.039784,40.521239
69,restaurant,-105.0403563,40.5217585
70,bar,-105.0745592,40.5884769
71,cafe,-105.051568,40.5250093
72,fast_food,-105.0509234,40.5252144
73,fast_food,-105.0501488,40.5242709
74,cafe,-105.042213,40.5227126
75,ice_cream,-105.042955,40.5228926
76,cafe,-105.037998,40.5516779
77,post_box,-105.037441,40.550858
78,bank,-105.038168,40.551728
79,restaurant,-105.0612217,40.5231785
80,post_office,-105.081216,40.5838361
81,waste_basket,-105.0799377,40.5625715
82,drinking_water,-105.0317442,40.5687149
83,drinking_water,-105.0463247,40.5773614
84,drinking_water,-105.0788438,40.5622639
85,fast_food,-105.09694,40.5524364
86,cafe,-105.0764269,40.5623126
87,parking,-105.0166697,40.5663555
88,library,-105.0253064,40.5250058
89,toilets,-105.0496762,40.5650219
90,drinking_water,-105.0519382,40.5652556
91,fast_food,-105.0569249,40.5665586
92,cafe,-105.035139,40.5667133
93,restaurant,-105.0583656,40.5753317
94,restaurant,-105.0763605,40.5884749
95,cafe,-105.0750376,40.5885964
96,fast_food,-105.077326,40.5886236
97,restaurant,-105.0773316,40.5867722
98,fast_food,-105.059468,40.5769072
99,atm,-105.059416,40.5775717
100,fast_food,-105.057576,40.5773059
101,fuel,-105.096558,40.5384666
102,cafe,-105.0783721,40.5854237
103,restaurant,-105.0786852,40.5868125
104,fountain,-105.0808381,40.572538
105,toilets,-105.0623544,40.5773066
106,dentist,-105.0417869,40.5430118
107,dentist,-105.0419266,40.5429552
108,dentist,-105.0407894,40.5437621
109,dentist,-105.0407786,40.5438232
110,dentist,-105.0397594,40.5434119
111,bank,-105.0396628,40.5433875
112,toilets,-105.1138752,40.5233906
113,fuel,-105.0936194,40.5384879
114,drinking_water,-105.1294838,40.5443283
115,drinking_water,-105.119713,40.561502
116,drinking_water,-105.0837493,40.5958151
117,toilets,-105.0674451,40.5270454
118,drinking_water,-105.0673888,40.5270739
119,bicycle_parking,-105.0447353,40.5753024
120,pub,-105.0757134,40.5863266
121,bench,-105.0690794,40.498769
122,school,-105.0481072,40.5249202
123,fuel,-105.096576,40.5550598
124,restaurant,-105.092951,40.5534797
125,fast_food,-105.0964233,40.5556446
126,restaurant,-105.0971661,40.5548213
127,cafe,-105.0921089,40.5530278
128,restaurant,-105.0983804,40.5531285
129,fast_food,-105.0972682,40.5548213
130,toilets,-105.1427907,40.5511204
131,shelter,-105.1425988,40.5510074
132,shelter,-105.1428911,40.5512765
133,post_box,-105.073799,40.5314663
134,car_wash,-105.0587525,40.5215839
135,car_wash,-105.0587784,40.5217962
136,fast_food,-105.040313,40.5215014
137,fast_food,-105.0751979,40.5328178
138,compressed_air,-105.0789956,40.5622493
139,compressed_air,-105.0843466,40.57501
140,restaurant,-105.0776641,40.5466712
141,fast_food,-105.051331,40.5250573
142,drinking_water,-105.0861343,40.5312399
143,post_box,-105.0823202,40.5831786
144,bench,-105.1164411,40.5502863
145,drinking_water,-105.0741989,40.5921088
146,restaurant,-105.0724444,40.5902333
147,pub,-105.0774172,40.5837315
148,drinking_water,-105.071295,40.5615353
149,toilets,-105.1039541,40.5584875
150,drinking_water,-105.1038738,40.5584839
151,car_wash,-105.0966559,40.5552767
152,drinking_water,-105.0273625,40.5171157
153,drinking_water,-105.0601814,40.5154345
154,drinking_water,-105.0620724,40.506936
155,drinking_water,-105.0601948,40.5048089
156,drinking_water,-105.0642584,40.5061814
157,drinking_water,-105.0592507,40.5062712
158,toilets,-105.064194,40.5062059
159,toilets,-105.06016,40.5047579
160,drinking_water,-105.0603102,40.5060387
161,toilets,-105.0620348,40.5069013
162,shelter,-105.060331,40.5047906
163,shelter,-105.064169,40.5060835
164,shelter,-105.1019617,40.5563851
165,shelter,-105.1019107,40.5565012
166,drinking_water,-105.101951,40.5562608
167,shelter,-105.1028281,40.5562608
168,shelter,-105.1026644,40.5562934
169,restaurant,-105.0763013,40.5255135
170,waste_disposal,-105.0316813,40.5968702
171,waste_disposal,-105.0311979,40.5972418
172,waste_disposal,-105.0303414,40.5974201
173,waste_disposal,-105.0330605,40.598121
174,waste_disposal,-105.0311291,40.5983488
175,waste_disposal,-105.0301427,40.598439
176,parking_entrance,-105.0581844,40.572388
177,bicycle_parking,-105.0772697,40.5785212
178,bicycle_parking,-105.0772683,40.5784917
179,waste_basket,-105.0772676,40.5783929
180,bicycle_parking,-105.0772655,40.5783097
181,bicycle_parking,-105.0768928,40.5778485
182,bicycle_parking,-105.0768739,40.5782796
183,bicycle_parking,-105.0768739,40.5784374
184,waste_basket,-105.0773182,40.5854552
185,bench,-105.077193,40.5887594
186,waste_basket,-105.0771981,40.588747
187,bank,-105.0740905,40.5362894
188,waste_disposal,-105.0826336,40.5375858
189,bicycle_parking,-105.0369824,40.5516348
190,waste_basket,-105.0370559,40.5516516
191,waste_basket,-105.0373199,40.5516563
192,fire_station,-105.0752814,40.5863986
193,restaurant,-105.0639994,40.5231216
194,atm,-105.038484,40.5504141
195,shelter,-105.0903971,40.5728226
196,toilets,-105.0902817,40.5726901
197,drinking_water,-105.0902844,40.5727289
198,atm,-105.078715,40.5825378
199,fast_food,-105.097086,40.5748198
200,restaurant,-105.0859349,40.5783129
201,bicycle_parking,-105.0368836,40.5513387
202,waste_basket,-105.0368848,40.5513762
203,restaurant,-105.0590729,40.5505843
204,restaurant,-105.0584843,40.5504181
205,post_office,-105.059799,40.5518495
206,restaurant,-105.0781894,40.5844742
207,restaurant,-105.0791617,40.582266
208,drinking_water,-105.0801186,40.5878122
209,bicycle_parking,-105.0920041,40.5223916
210,post_box,-105.092085,40.5224642
211,waste_basket,-105.0921017,40.522483
212,fuel,-105.079271,40.5384246
213,vending_machine,-105.090981,40.5722088
214,vending_machine,-105.0937339,40.538702
215,fuel,-105.038711,40.5435585
216,cafe,-105.1005255,40.5742974
217,restaurant,-105.097094,40.5549557
218,restaurant,-105.0773589,40.5290876
219,fuel,-105.077022,40.4943707
220,restaurant,-105.0766222,40.5716719
221,restaurant,-105.0979618,40.5548229
222,bench,-105.1271877,40.5424117
223,parking_entrance,-105.0762666,40.5819968
224,restaurant,-105.0567889,40.5659246
225,cafe,-105.0790622,40.5923759
226,restaurant,-105.07758,40.5290942
227,pub,-105.0786476,40.5663803
228,pub,-105.0767636,40.5861855
229,pub,-105.0773951,40.5843979
230,bank,-105.077522,40.585828
231,restaurant,-105.026595,40.5256835
232,restaurant,-105.073675,40.6108548
233,bicycle_parking,-105.0943618,40.5227344
234,bicycle_parking,-105.0934257,40.5215681
235,bicycle_parking,-105.0953462,40.5216354
236,bicycle_parking,-105.0932246,40.523081
237,bicycle_parking,-105.092267,40.5219535
238,bicycle_parking,-105.094705,40.5226956
239,bicycle_parking,-105.0918969,40.522765
240,bicycle_parking,-105.0944578,40.5217435
241,bicycle_parking,-105.0934231,40.5221879
242,fast_food,-105.0601485,40.5230396
243,restaurant,-105.0607484,40.5215231
244,fast_food,-105.077332,40.5845038
245,fast_food,-105.0372458,40.523791
246,dentist,-105.0517186,40.5739271
247,pharmacy,-105.0384785,40.55172
248,doctors,-105.0508676,40.5736039
249,dojo,-105.0500436,40.5739758
250,doctors,-105.0493426,40.5730037
251,dojo,-105.0494704,40.5730498
252,dentist,-105.0503177,40.5733734
253,dentist,-105.0515249,40.573824
254,bench,-105.1180925,40.5221367
255,bench,-105.1117158,40.5208716
256,bench,-105.1180375,40.5221418
257,bench,-105.0799318,40.5625849
