,amenity,longitude,latitude
0,parking,-85.1045812,41.1200793
1,parking_entrance,-85.1059786,41.1181166
2,parking_entrance,-85.107073,41.1178677
3,school,-85.213861,41.0592146
4,school,-85.1133034,41.0725483
5,school,-85.0853257,41.0920436
6,place_of_worship,-85.17636,41.0347702
7,school,-85.1527487,41.0644925
8,school,-85.1444151,41.0592149
9,school,-85.1204135,41.0939621
10,school,-85.1335816,41.0672704
11,grave_yard,-85.1785831,41.1314372
12,school,-85.1255256,41.0178258
13,school,-85.1277484,41.0986595
14,school,-85.1263594,41.0875483
15,place_of_worship,-85.0733024,41.0528261
16,school,-85.1110811,41.0736594
17,place_of_worship,-85.1154428,41.102835
18,school,-85.1510819,41.0650482
19,school,-85.1446994,41.037909
20,school,-85.1874716,41.0667147
21,school,-85.1030254,41.066715
22,school,-85.1396928,41.0661593
23,school,-85.1085807,41.0136592
24,school,-85.1696942,41.1617151
25,school,-85.1274703,41.0642149
26,place_of_worship,-85.1316587,41.1867395
27,fire_station,-85.1318476,41.1873983
28,place_of_worship,-85.1331694,41.1882316
29,restaurant,-85.1049672,41.1796962
30,place_of_worship,-85.1347622,41.180556
31,restaurant,-85.1377577,41.1786244
32,school,-85.045093,41.1047555
33,fuel,-85.0115891,41.1303272
34,fast_food,-85.0973421,41.178491
35,fuel,-85.0973315,41.1783144
36,place_of_worship,-85.2735535,41.0732662
37,fire_station,-85.2742401,41.0600812
38,place_of_worship,-85.2850977,41.0367543
39,bar,-85.1376156,41.0681915
40,bar,-85.1393697,41.0708203
41,pub,-85.1379535,41.068058
42,restaurant,-85.1383881,41.0687294
43,restaurant,-85.0954599,41.0480662
44,restaurant,-85.058453,41.1001615
45,fast_food,-85.0597326,41.102003
46,clock,-85.0586048,41.1003896
47,post_office,-85.0653617,41.1213499
48,post_box,-85.064148,41.1211999
49,atm,-85.0612185,41.1222715
50,vending_machine,-85.0621572,41.1208498
51,bus_station,-85.139011,41.0722544
52,fast_food,-85.0640354,41.1498896
53,atm,-85.0638151,41.1343661
54,fountain,-85.0296313,41.1367294
55,fountain,-85.1537603,41.1064679
56,drinking_water,-85.1529457,41.1060194
57,drinking_water,-85.1581595,41.105994
58,restaurant,-85.0569384,41.1004123
59,recycling,-85.0608642,41.0868227
60,atm,-85.0599174,41.1033069
61,fire_station,-85.0461882,41.1177104
62,pub,-85.0598751,41.1030349
63,fountain,-85.1357101,41.0639048
64,fountain,-85.1378114,41.0813189
65,fountain,-85.1356551,41.0628189
66,restaurant,-85.0623265,41.1197502
67,drinking_water,-85.1664132,41.0745753
68,drinking_water,-85.1525623,41.0827649
69,bench,-85.21011,41.0497651
70,bench,-85.2100631,41.0497678
71,recycling,-85.1048569,41.0615516
72,veterinary,-85.1310627,41.1793103
73,restaurant,-85.1300596,41.1766657
74,restaurant,-85.1645904,41.1745289
75,restaurant,-85.1375942,41.1797219
76,restaurant,-85.1356136,41.179344
77,restaurant,-85.0062887,41.1310674
78,bar,-85.164015,41.1199416
79,restaurant,-85.1372812,41.1339084
