,amenity,longitude,latitude
0,school,-83.8223997,34.3034348
1,school,-83.8240666,34.3076014
2,place_of_worship,-83.8376777,34.285935
3,place_of_worship,-83.7940658,34.3228793
4,place_of_worship,-83.829344,34.2889907
5,place_of_worship,-83.833234,34.3203787
6,school,-83.8421222,34.2831573
7,place_of_worship,-83.8621229,34.2731571
8,school,-83.8321219,34.2862129
9,place_of_worship,-83.8079547,34.3017685
10,place_of_worship,-83.8140273,34.3302993
11,school,-83.8326788,34.3323227
12,place_of_worship,-83.8746235,34.2745456
13,place_of_worship,-83.8125221,34.2965185
14,place_of_worship,-83.8215661,34.2917685
15,place_of_worship,-83.8310108,34.2878796
16,place_of_worship,-83.8293446,34.3092679
17,place_of_worship,-83.8215661,34.2931574
18,place_of_worship,-83.8271221,34.3014904
19,school,-83.844345,34.2992679
20,school,-83.8296221,34.2995459
21,post_office,-83.8257331,34.2998237
22,place_of_worship,-83.8229553,34.3020459
23,place_of_worship,-83.8201773,34.2976017
24,school,-83.8065663,34.3209346
25,school,-83.8012872,34.2873246
26,place_of_worship,-83.8187884,34.302046
27,place_of_worship,-83.8301778,34.2989904
28,school,-83.8260109,34.3012126
29,place_of_worship,-83.8260109,34.3012126
30,place_of_worship,-83.8247348,34.2936095
31,courthouse,-83.8254553,34.2989905
32,fire_station,-83.8323052,34.3123986
33,townhall,-83.8248997,34.2981572
34,shelter,-83.8613567,34.2415658
35,restaurant,-83.8574835,34.2965547
36,fast_food,-83.8234227,34.2993403
37,fuel,-83.8774568,34.2807103
38,fuel,-83.7968765,34.3141848
39,bank,-83.8192202,34.296748
40,bank,-83.822695,34.2991578
41,fuel,-83.8112075,34.2883127
42,fuel,-83.8103876,34.2876754
43,bank,-83.8224273,34.2984223
44,parking_space,-83.8488246,34.2922996
45,bank,-83.876124,34.2814509
46,fuel,-83.8460106,34.2601649
47,bench,-83.8266984,34.2992719
48,bench,-83.8267494,34.2993311
49,bench,-83.8268451,34.2994616
50,bench,-83.8268834,34.2995235
51,bench,-83.8267207,34.2992033
52,bench,-83.8267877,34.2991717
53,bench,-83.8269727,34.2990874
54,bench,-83.8271258,34.2990808
55,bench,-83.8271704,34.2991388
56,bench,-83.827247,34.2992389
57,bench,-83.827298,34.2993087
58,bench,-83.8272789,34.2993957
59,bench,-83.8271768,34.2994339
60,bench,-83.8269663,34.2995433
61,bench,-83.8270428,34.2995103
62,bench,-83.8270349,34.299069
63,theatre,-83.8196684,34.303333
64,arts_centre,-83.8188052,34.3029879
65,arts_centre,-83.8187574,34.3028061
66,fountain,-83.8250625,34.2986104
67,fuel,-83.7796392,34.3139306
68,bank,-83.8410268,34.2868531
69,fast_food,-83.8415664,34.3317332
70,restaurant,-83.8504049,34.2833445
71,veterinary,-83.853916,34.2791799
72,veterinary,-83.8538747,34.2791366
73,school,-83.8636839,34.2886229
74,theatre,-83.829917,34.3015646
75,shelter,-83.8332731,34.3019716
76,shelter,-83.8223066,34.3023048
77,shelter,-83.822013,34.3028278
78,shelter,-83.8467773,34.3046187
79,shelter,-83.8476926,34.3035
80,bench,-83.8261551,34.2900759
81,bench,-83.8261691,34.2899843
82,place_of_worship,-83.8188468,34.2966792
83,shelter,-83.8476378,34.3031027
84,shelter,-83.8473785,34.3027339
85,car_wash,-83.8219021,34.2969777
86,fuel,-83.7853786,34.2805249
87,fuel,-83.7844315,34.2806401
88,fuel,-83.8202516,34.2969525
89,fuel,-83.8122448,34.302996
90,fuel,-83.8136211,34.3276368
91,atm,-83.82436,34.3006386
92,fast_food,-83.8234804,34.2997783
93,toilets,-83.7933084,34.2644429
94,toilets,-83.7933443,34.2644954
95,restaurant,-83.8275083,34.2987477
96,fountain,-83.8249701,34.2984806
97,school,-83.8322458,34.2988831
98,bicycle_parking,-83.8104538,34.2878647
99,bicycle_parking,-83.8102854,34.2877025
100,parking_entrance,-83.8157456,34.3030101
101,parking_entrance,-83.815331,34.3032151
102,parking_space,-83.8639141,34.3370919
103,music_school,-83.821281,34.29059
104,bench,-83.8186814,34.3340223
105,bench,-83.8186762,34.3340541
106,bench,-83.8184947,34.334174
107,bench,-83.8185718,34.3342939
108,bench,-83.8185947,34.3343184
109,bench,-83.8180516,34.3345405
110,bench,-83.8178775,34.3345827
111,bench,-83.8178975,34.3347883
112,bench,-83.8181472,34.3348966
113,toilets,-83.8176569,34.3352772
114,toilets,-83.8190047,34.3362088
115,bench,-83.8191208,34.3362914
116,bench,-83.8187657,34.3362863
117,bench,-83.8184094,34.3363513
118,bench,-83.8186501,34.3364731
119,bench,-83.8186032,34.3360627
120,bench,-83.8177776,34.3354635
121,fast_food,-83.7941224,34.313963
122,fast_food,-83.7956376,34.3143438
123,loading_dock,-83.8545218,34.3000399
124,loading_dock,-83.8544918,34.3000535
125,loading_dock,-83.8544497,34.3000725
126,loading_dock,-83.8544197,34.300086
