,amenity,longitude,latitude
0,parking_entrance,-77.1943261,39.1449298
1,place_of_worship,-77.2014586,39.1358267
2,place_of_worship,-77.1938703,39.1373296
3,place_of_worship,-77.1856286,39.1274679
4,place_of_worship,-77.2005406,39.1377267
5,place_of_worship,-77.187332,39.1292586
6,place_of_worship,-77.1838478,39.1259979
7,place_of_worship,-77.1990775,39.1438038
8,place_of_worship,-77.2008149,39.1437184
9,school,-77.1846011,39.1535925
10,school,-77.1875634,39.1297243
11,school,-77.1856133,39.1270306
12,place_of_worship,-77.182405,39.1404944
13,school,-77.1842416,39.1265075
14,school,-77.234362,39.129637
15,police,-77.2362741,39.1130452
16,police,-77.1956718,39.1400908
17,townhall,-77.1926813,39.1399062
18,restaurant,-77.1973368,39.1162446
19,cinema,-77.1976735,39.1158928
20,fuel,-77.182158,39.126113
21,pub,-77.2238341,39.1417575
22,restaurant,-77.1855064,39.1289131
23,fast_food,-77.1856691,39.1290395
24,bureau_de_change,-77.1858841,39.1292563
25,fast_food,-77.1859292,39.1293179
26,fuel,-77.2072231,39.1482026
27,post_box,-77.2026471,39.118764
28,fuel,-77.208311,39.1555282
29,cafe,-77.2515645,39.1178218
30,bicycle_parking,-77.1942456,39.1417666
31,parking_entrance,-77.1939035,39.1449442
32,fuel,-77.2520505,39.1180146
33,parking_entrance,-77.2125466,39.1565395
34,fast_food,-77.1859614,39.1171104
35,fast_food,-77.236983,39.1245655
36,restaurant,-77.2386156,39.1215566
37,ice_cream,-77.236965,39.1247536
38,parking_entrance,-77.1951182,39.1411034
39,parking_entrance,-77.1941777,39.1411962
40,parking_entrance,-77.2050324,39.1177938
41,parking_entrance,-77.2047301,39.1173516
42,parking_entrance,-77.2016719,39.1178771
43,parking_entrance,-77.2027013,39.1182233
44,parking_entrance,-77.2017628,39.1179146
45,parking_entrance,-77.1984126,39.1160287
46,parking_entrance,-77.1967955,39.114654
47,parking_entrance,-77.1986001,39.116169
48,parking_entrance,-77.1975923,39.1151617
49,parking_entrance,-77.1907365,39.1328396
50,clinic,-77.2218001,39.1560741
51,parking_entrance,-77.2355695,39.1276341
52,fire_station,-77.2367513,39.1131995
53,toilets,-77.2061893,39.1435148
54,toilets,-77.2076517,39.1440358
55,toilets,-77.2084599,39.1446871
56,toilets,-77.2110884,39.1454795
57,place_of_worship,-77.2024572,39.1337376
58,parking_entrance,-77.1957202,39.146638
59,theatre,-77.1934408,39.1403019
60,car_wash,-77.2071378,39.1480856
61,post_office,-77.193191,39.1406432
62,school,-77.1821636,39.1417565
63,fuel,-77.2523059,39.1174329
64,parking_entrance,-77.1863038,39.1147068
65,parking_entrance,-77.1862402,39.1147985
66,parking_entrance,-77.1862184,39.1148301
67,cafe,-77.2351784,39.12219
68,waste_basket,-77.2115694,39.1127478
69,restaurant,-77.2185632,39.1444302
70,restaurant,-77.2346877,39.1227051
71,parking_entrance,-77.2037253,39.1150764
72,parking_entrance,-77.1981108,39.1161497
73,theatre,-77.2077411,39.1450158
74,fast_food,-77.2046413,39.1433733
75,fast_food,-77.2061244,39.143648
76,toilets,-77.2056094,39.1439508
77,fast_food,-77.2056519,39.1439621
78,toilets,-77.205888,39.1443065
79,fast_food,-77.205859,39.1444384
80,fast_food,-77.2087077,39.1445747
81,fast_food,-77.2084865,39.1452237
82,place_of_worship,-77.225364,39.140033
83,fast_food,-77.2168994,39.1154217
84,restaurant,-77.2166383,39.113795
85,restaurant,-77.217219,39.114052
86,restaurant,-77.2352205,39.1227492
87,fast_food,-77.2349143,39.1217911
88,restaurant,-77.2348776,39.1211637
89,restaurant,-77.239757,39.1240727
90,fast_food,-77.2386797,39.1238204
91,fast_food,-77.2373712,39.1245259
92,restaurant,-77.2346558,39.1233853
93,bank,-77.2382528,39.1238298
94,restaurant,-77.2533485,39.1185038
95,fast_food,-77.2525274,39.1168426
96,fast_food,-77.2521912,39.116741
97,restaurant,-77.2060634,39.1471335
98,dojo,-77.2254473,39.1644765
99,atm,-77.2060591,39.1440083
100,restaurant,-77.2173279,39.1141193
101,restaurant,-77.205934,39.1279159
102,restaurant,-77.2064691,39.1276429
103,restaurant,-77.204824,39.1283969
104,clinic,-77.2164883,39.1154257
105,restaurant,-77.2088472,39.1274971
