,amenity,longitude,latitude
0,school,-122.6031309,47.3331722
1,place_of_worship,-122.6022245,47.3288425
2,place_of_worship,-122.5863016,47.3297748
3,restaurant,-122.5821668,47.3087017
4,cafe,-122.5800215,47.3044186
5,cafe,-122.6070864,47.3597976
6,bank,-122.6049368,47.3602503
7,doctors,-122.5811436,47.3007373
8,pharmacy,-122.5810041,47.3009301
9,clinic,-122.5811114,47.3000279
10,dojo,-122.6011348,47.3535828
11,fast_food,-122.5879562,47.3217191
12,car_wash,-122.587506,47.3202192
13,post_office,-122.581236,47.3274619
14,restaurant,-122.5898054,47.3391311
15,restaurant,-122.593527,47.337056
16,restaurant,-122.5943525,47.3369632
17,ice_cream,-122.602738,47.3595589
18,pharmacy,-122.6048258,47.361119
19,restaurant,-122.6054454,47.3614151
20,fast_food,-122.6062823,47.3613847
21,bank,-122.6063195,47.3601045
22,fast_food,-122.6047778,47.3603335
23,restaurant,-122.589542,47.3398391
24,restaurant,-122.59007,47.3389967
25,cafe,-122.5902514,47.3388485
26,restaurant,-122.5940565,47.3368046
27,restaurant,-122.5826745,47.331152
28,restaurant,-122.5766475,47.3084848
29,restaurant,-122.5766528,47.308583
30,pharmacy,-122.576347,47.3081284
31,cafe,-122.575288,47.3071135
32,restaurant,-122.5787487,47.3032555
33,restaurant,-122.5787586,47.3008864
34,restaurant,-122.5776991,47.300901
35,restaurant,-122.5774014,47.3002825
36,ice_cream,-122.5767013,47.3003717
37,post_office,-122.580747,47.3016628
38,pharmacy,-122.5815597,47.3024671
39,restaurant,-122.5766933,47.3012608
40,restaurant,-122.5806779,47.3292234
41,restaurant,-122.5757269,47.3010563
42,bank,-122.575752,47.3009482
43,fast_food,-122.5781966,47.3012162
44,cafe,-122.5766863,47.3008866
45,bicycle_parking,-122.6011005,47.3539797
46,restaurant,-122.5814468,47.303223
47,fast_food,-122.5815714,47.3031441
48,restaurant,-122.581509,47.3030199
49,post_box,-122.581213,47.3029289
50,cafe,-122.5812821,47.302842
51,fast_food,-122.5804276,47.3016468
52,restaurant,-122.5799659,47.3023149
53,bank,-122.5798218,47.30322
54,cafe,-122.5799201,47.3036335
55,fast_food,-122.5806558,47.3044044
56,fast_food,-122.5806473,47.3044758
57,cafe,-122.604909,47.3608017
58,fuel,-122.581333,47.3044797
59,restaurant,-122.5764799,47.3068391
60,post_office,-122.5766811,47.3069009
61,restaurant,-122.575409,47.3068245
62,restaurant,-122.5754097,47.3072128
63,restaurant,-122.5756833,47.3074538
64,dentist,-122.5787571,47.3031851
65,fast_food,-122.5788,47.3022866
66,restaurant,-122.5788054,47.3023539
67,ice_cream,-122.5787947,47.3025049
68,doctors,-122.5761232,47.3028232
69,restaurant,-122.5860309,47.3176395
70,dentist,-122.577405,47.3077635
71,fuel,-122.5780979,47.3087103
72,fuel,-122.579843,47.307812
73,restaurant,-122.5795065,47.3068351
74,restaurant,-122.5810335,47.3059378
75,fast_food,-122.5874052,47.3208172
76,fast_food,-122.5874493,47.3209338
77,pub,-122.5875915,47.3211871
78,cafe,-122.5886418,47.3221741
79,bank,-122.5893606,47.3227237
80,fuel,-122.5880995,47.3227836
81,bank,-122.5876168,47.3229665
82,parking,-122.5833601,47.3157653
83,kindergarten,-122.5930836,47.3252268
84,toilets,-122.5869204,47.318234
85,fast_food,-122.580025,47.3082298
86,dentist,-122.5900424,47.3241034
87,dentist,-122.5901135,47.3232221
88,kindergarten,-122.590044,47.3238114
89,waste_basket,-122.5816457,47.331005
90,place_of_worship,-122.585828,47.3261063
91,drinking_water,-122.5790347,47.3292097
92,waste_basket,-122.5808253,47.3292821
93,bench,-122.580876,47.3292913
94,drinking_water,-122.5808105,47.3292982
95,restaurant,-122.5809129,47.3274644
96,restaurant,-122.5804701,47.3274794
97,waste_basket,-122.5801607,47.3292055
98,post_box,-122.5798667,47.3293082
99,bench,-122.5801767,47.3292075
100,waste_basket,-122.582001,47.330746
101,restaurant,-122.5844029,47.3325789
102,toilets,-122.5819527,47.3308136
103,bank,-122.5808164,47.3091679
104,charging_station,-122.5801854,47.3066927
105,parking,-122.5902822,47.3392519
106,fast_food,-122.5783663,47.3024975
107,ice_cream,-122.5816805,47.3282932
108,polling_station,-122.5866963,47.3193804
109,polling_station,-122.5805476,47.2990985
