,amenity,longitude,latitude
0,parking_entrance,-111.7887431,33.3567172
1,restaurant,-111.7040199,33.2274182
2,bar,-111.7045239,33.227336
3,restaurant,-111.7907615,33.3290014
4,restaurant,-111.790617,33.3289951
5,cafe,-111.7892905,33.3537563
6,restaurant,-111.790031,33.3608655
7,restaurant,-111.790121,33.3611919
8,post_box,-111.7175112,33.2629771
9,fast_food,-111.686884,33.264867
10,fast_food,-111.753366,33.3777749
11,restaurant,-111.7535793,33.3776954
12,restaurant,-111.7577845,33.3786017
13,parking,-111.7962851,33.3285492
14,bench,-111.7107163,33.2719965
15,restaurant,-111.7432368,33.3083935
16,restaurant,-111.7422133,33.3078705
17,restaurant,-111.7439036,33.3098963
18,restaurant,-111.7438622,33.3084181
19,restaurant,-111.754825,33.3669196
20,restaurant,-111.755677,33.3669917
21,ice_cream,-111.759682,33.3353006
22,restaurant,-111.706485,33.3644846
23,pub,-111.738832,33.3353721
24,watering_place,-111.7346964,33.3222421
25,watering_place,-111.7346589,33.3234791
26,bench,-111.6942523,33.3586322
27,waste_basket,-111.6942671,33.358646
28,bench,-111.6943751,33.3586586
29,bench,-111.6897661,33.3592969
30,bench,-111.6896139,33.3593656
31,bench,-111.689918,33.3593552
32,bench,-111.6934404,33.3600637
33,waste_basket,-111.6934397,33.3600801
34,waste_disposal,-111.6893049,33.3614488
35,waste_disposal,-111.6902477,33.3614405
36,waste_disposal,-111.6915053,33.3614333
37,waste_disposal,-111.6908775,33.3618319
38,bench,-111.6927624,33.3623722
39,waste_basket,-111.6926519,33.3624181
40,bench,-111.6926684,33.3624402
41,waste_disposal,-111.6893357,33.3626056
42,waste_disposal,-111.6917066,33.362755
43,waste_disposal,-111.6907812,33.3630656
44,waste_disposal,-111.6902963,33.3631802
45,bench,-111.6948705,33.363217
46,waste_basket,-111.6949162,33.3632568
47,waste_disposal,-111.6915171,33.3633814
48,fast_food,-111.7888996,33.2818401
49,cafe,-111.789004,33.2813995
50,fast_food,-111.7890189,33.2817601
51,fast_food,-111.7890055,33.2816219
52,fast_food,-111.7598495,33.3062508
53,ice_cream,-111.7598534,33.3061018
54,fast_food,-111.6877802,33.3255674
55,fast_food,-111.6875585,33.3255713
56,fast_food,-111.687505,33.3259965
57,dentist,-111.757086,33.2611117
58,cafe,-111.6873651,33.3256578
59,restaurant,-111.6873682,33.3258405
60,fast_food,-111.6877261,33.3220814
61,fast_food,-111.687496,33.322253
62,place_of_worship,-111.7802428,33.3506532
63,post_box,-111.718293,33.3218328
64,shelter,-111.7338611,33.3638868
65,fountain,-111.738343,33.3643639
66,fountain,-111.7909981,33.3547663
67,restaurant,-111.79102,33.3301668
68,fast_food,-111.7890328,33.2935591
69,fuel,-111.705397,33.3644453
70,cafe,-111.7913851,33.3767325
71,bench,-111.7622905,33.3707341
72,bench,-111.7627978,33.3731153
73,bench,-111.7093352,33.2686359
74,bbq,-111.7075798,33.2667629
75,fast_food,-111.7885785,33.2796955
76,restaurant,-111.7900358,33.3566925
77,restaurant,-111.7900257,33.3564121
78,fast_food,-111.7434617,33.2994897
79,drinking_water,-111.8056916,33.3568448
80,fountain,-111.7924281,33.3571528
81,drinking_water,-111.7313264,33.3645565
82,fountain,-111.790344,33.3571639
83,drinking_water,-111.7962006,33.357062
84,drinking_water,-111.7334264,33.3615192
85,drinking_water,-111.7343571,33.3638868
86,shelter,-111.818698,33.337558
87,drinking_water,-111.7685952,33.3688313
88,shelter,-111.712931,33.227319
89,bbq,-111.7129296,33.2272835
90,bench,-111.7130809,33.2272613
91,waste_basket,-111.7129512,33.227284
92,bench,-111.7130612,33.2272631
93,bbq,-111.7085276,33.2889894
94,bench,-111.7089623,33.2886689
95,bbq,-111.7086152,33.2888094
96,vending_machine,-111.7085503,33.2890777
97,vending_machine,-111.7166743,33.2830433
98,bench,-111.7166589,33.2827364
99,post_box,-111.716246,33.2838104
100,post_box,-111.7144129,33.2814078
101,dentist,-111.716957,33.2854868
102,bench,-111.702714,33.2848179
103,vending_machine,-111.7157181,33.2802082
104,bench,-111.7157996,33.2802108
105,bbq,-111.7154925,33.282509
106,vending_machine,-111.7416097,33.3111173
107,toilets,-111.7409632,33.3107366
108,ice_cream,-111.743905,33.3113365
109,fast_food,-111.7428509,33.3114878
110,cafe,-111.7414543,33.3108836
111,fast_food,-111.741605,33.3108822
112,fast_food,-111.7421717,33.3109629
113,bench,-111.7441381,33.3111572
114,bench,-111.7441378,33.311064
115,waste_basket,-111.7441358,33.3110489
116,waste_basket,-111.7441416,33.3111699
117,bench,-111.7429492,33.3110297
118,restaurant,-111.720437,33.2905724
119,dojo,-111.720436,33.2904535
120,fast_food,-111.720429,33.2902811
121,dentist,-111.72026,33.2901407
122,post_office,-111.720198,33.2906835
123,ice_cream,-111.7228026,33.2902529
124,clinic,-111.72191,33.2935645
125,fast_food,-111.721897,33.2936643
126,post_box,-111.721741,33.2937941
127,clinic,-111.721883,33.2939718
128,bench,-111.7288496,33.2917643
129,bench,-111.7290915,33.2914933
130,bench,-111.7289787,33.2912605
131,bench,-111.7290417,33.2910073
132,restaurant,-111.744186,33.3079165
133,dentist,-111.744384,33.3077609
134,fast_food,-111.7428298,33.3078915
135,restaurant,-111.742733,33.3077565
136,cafe,-111.7432499,33.3077504
137,ice_cream,-111.7436531,33.3084062
138,cafe,-111.7438617,33.3088739
139,bbq,-111.7154686,33.284234
140,fountain,-111.737521,33.2909934
141,fountain,-111.7374936,33.2909968
142,fountain,-111.7374657,33.2909982
143,fountain,-111.7374365,33.2909982
144,vending_machine,-111.7084185,33.2891018
145,vending_machine,-111.7245235,33.2810829
146,fountain,-111.7493781,33.3005647
147,fountain,-111.7490839,33.3005164
148,fountain,-111.7494226,33.3019321
149,fountain,-111.7491579,33.3019648
150,fountain,-111.7385292,33.2810992
151,drinking_water,-111.7176869,33.2292079
152,bank,-111.686685,33.2646139
153,restaurant,-111.6904334,33.3787436
154,restaurant,-111.6889119,33.3782892
155,restaurant,-111.7889776,33.3769912
156,fast_food,-111.7892667,33.3773529
157,restaurant,-111.789487,33.3660978
158,waste_basket,-111.7511309,33.221356
159,bench,-111.7507091,33.2214406
160,bbq,-111.7511308,33.2213984
161,bench,-111.7508539,33.2216444
162,bbq,-111.751061,33.2213217
163,bench,-111.7507767,33.2212504
164,fountain,-111.7171239,33.2295371
165,parking,-111.7716895,33.3069596
166,post_box,-111.715305,33.2313022
167,parking_entrance,-111.7520843,33.2968587
168,parking_entrance,-111.7520883,33.2973183
169,fountain,-111.7371275,33.2141693
170,fountain,-111.7368285,33.2146417
171,fountain,-111.7003938,33.3531181
172,fountain,-111.700364,33.3546319
173,bench,-111.7339958,33.3624007
174,bench,-111.733876,33.3606187
175,bench,-111.7327722,33.3633343
176,waste_basket,-111.7358571,33.3631802
177,bench,-111.7370108,33.3602406
178,bench,-111.7335457,33.3628961
179,bicycle_parking,-111.7334073,33.3616598
180,bench,-111.7329336,33.3637742
181,waste_basket,-111.736374,33.361773
182,bench,-111.7339842,33.3613408
183,bench,-111.7350724,33.3590183
184,bench,-111.7331761,33.3629648
185,bicycle_parking,-111.7354342,33.3633776
186,bench,-111.7362315,33.3614894
187,bench,-111.7345842,33.3639956
188,bicycle_parking,-111.7201591,33.2765029
189,fast_food,-111.743688,33.2967331
190,post_box,-111.710079,33.2286396
191,post_box,-111.708344,33.226153
192,fountain,-111.7085205,33.2257727
193,post_box,-111.710309,33.2252936
194,post_box,-111.7066888,33.2290775
195,post_box,-111.7042758,33.2297334
196,post_box,-111.713058,33.2300801
197,post_box,-111.711263,33.2294572
198,bbq,-111.7044784,33.2289537
199,post_box,-111.7171998,33.2306581
200,post_box,-111.692,33.2808782
201,post_box,-111.692166,33.2801761
202,post_box,-111.6899517,33.2307485
203,restaurant,-111.790035,33.3566031
204,ice_cream,-111.7900254,33.3564958
205,bank,-111.7229151,33.2326516
206,doctors,-111.7229146,33.2328022
207,restaurant,-111.7212783,33.2319152
208,cafe,-111.719191,33.2906283
209,bench,-111.7166233,33.2827611
210,post_box,-111.691299,33.2727055
211,post_box,-111.711143,33.2709531
212,post_box,-111.708361,33.2717177
213,post_box,-111.702785,33.266423
214,bicycle_parking,-111.7216182,33.2326453
215,fast_food,-111.748747,33.3063193
216,restaurant,-111.7495995,33.3063694
217,ice_cream,-111.7497328,33.3064559
218,fountain,-111.7558901,33.3013799
219,fountain,-111.755884,33.3010837
220,cafe,-111.75598,33.3038242
221,restaurant,-111.7547407,33.3054959
222,parking_entrance,-111.756748,33.3075819
223,parking_entrance,-111.756698,33.3075819
224,post_box,-111.707,33.2738804
225,post_box,-111.692456,33.2666749
226,post_box,-111.705059,33.2746509
227,post_box,-111.7081565,33.273439
228,post_box,-111.688474,33.2719752
229,post_box,-111.6917846,33.2320425
230,post_box,-111.6947957,33.2228086
231,cafe,-111.6899492,33.3237194
232,post_box,-111.719621,33.2276906
233,post_box,-111.702222,33.2690219
234,post_box,-111.700169,33.2699817
235,post_box,-111.688567,33.2687791
236,post_box,-111.7090378,33.2756072
237,post_box,-111.7092402,33.2768898
238,fast_food,-111.748539,33.2966514
239,fast_food,-111.6878834,33.3254428
240,fast_food,-111.6880658,33.3255636
241,post_box,-111.721603,33.2456107
242,post_box,-111.69172,33.2702059
243,post_box,-111.7234851,33.2444408
244,restaurant,-111.743422,33.2970023
245,driving_school,-111.754218,33.3207388
246,restaurant,-111.7593337,33.3061559
247,cafe,-111.7231329,33.2322415
248,cafe,-111.786206,33.2792829
249,fast_food,-111.786209,33.2789511
250,post_box,-111.7168248,33.227968
251,restaurant,-111.7493507,33.3059799
252,bar,-111.7585479,33.3074221
253,bar,-111.7894722,33.3538197
254,restaurant,-111.7889471,33.3046649
255,bench,-111.7405745,33.2949001
256,bench,-111.7410924,33.2948331
257,waste_basket,-111.7413973,33.2943894
258,bench,-111.7428175,33.2931792
259,bench,-111.7403108,33.2933745
260,post_box,-111.711499,33.2731603
261,post_box,-111.7115063,33.2763435
262,post_box,-111.7106734,33.2744439
263,post_box,-111.708464,33.2791828
264,post_box,-111.69959,33.2735096
265,post_box,-111.706842,33.2796409
266,post_box,-111.706914,33.2785986
267,post_box,-111.6964748,33.2761558
268,post_box,-111.696432,33.2781378
269,post_box,-111.697343,33.2691436
270,post_box,-111.699479,33.2672915
271,post_box,-111.691217,33.2746902
272,bbq,-111.7260247,33.2312862
273,shelter,-111.726036,33.2312442
274,post_box,-111.6883722,33.2743508
275,post_box,-111.692261,33.2774797
276,waste_basket,-111.7175323,33.2272148
277,motorcycle_parking,-111.724224,33.3657447
278,ice_cream,-111.721987,33.2343927
279,waste_basket,-111.790045,33.3204147
280,bench,-111.7900303,33.3203957
281,waste_basket,-111.7896367,33.3213534
282,bench,-111.7896446,33.3213792
283,clinic,-111.7888966,33.3050439
284,drinking_water,-111.7091626,33.2254125
285,restaurant,-111.7487567,33.3060059
286,restaurant,-111.7883496,33.2795669
287,bicycle_parking,-111.7549387,33.3665148
288,post_box,-111.7011722,33.2716464
289,post_box,-111.704214,33.271099
290,bench,-111.7150157,33.2432111
291,ice_cream,-111.754788,33.365246
292,cafe,-111.754975,33.3511092
293,restaurant,-111.754979,33.3512132
294,restaurant,-111.741179,33.3275031
295,bicycle_parking,-111.7199215,33.2347125
296,car_wash,-111.6871989,33.2874924
297,post_box,-111.7158061,33.2472002
