,amenity,longitude,latitude
0,toilets,-118.2775707,34.1822042
1,toilets,-118.2760047,34.1809434
2,grave_yard,-118.275174,34.1873458
3,school,-118.2536859,34.1258419
4,school,-118.2568484,34.2353333
5,school,-118.2631307,34.1400079
6,school,-118.2575752,34.1605626
7,school,-118.297021,34.1619511
8,school,-118.2214628,34.151674
9,school,-118.2486858,34.135286
10,school,-118.2656317,34.2386145
11,school,-118.2578536,34.2383367
12,school,-118.2375745,34.1555628
13,place_of_worship,-118.2572974,34.1616736
14,place_of_worship,-118.2555541,34.160087
15,place_of_worship,-118.2547974,34.1663956
16,place_of_worship,-118.2572974,34.1602848
17,place_of_worship,-118.254621,34.1610596
18,post_office,-118.2888889,34.1647222
19,post_office,-118.264417,34.1602939
20,post_office,-118.253912,34.1332974
21,post_office,-118.2406978,34.2114794
22,post_office,-118.2355556,34.1463889
23,place_of_worship,-118.2516641,34.1428977
24,school,-118.2433333,34.1458333
25,place_of_worship,-118.24,34.1438889
26,place_of_worship,-118.2393918,34.1446028
27,place_of_worship,-118.2393869,34.1450102
28,place_of_worship,-118.2643127,34.1437732
29,place_of_worship,-118.2522222,34.1394444
30,place_of_worship,-118.2444444,34.1391667
31,place_of_worship,-118.2375504,34.1424597
32,place_of_worship,-118.2611111,34.1397222
33,place_of_worship,-118.2619444,34.1366667
34,social_facility,-118.2582475,34.1385467
35,social_facility,-118.2583574,34.1390177
36,place_of_worship,-118.2605556,34.1363889
37,place_of_worship,-118.2512136,34.1350187
38,clinic,-118.2405556,34.1366667
39,place_of_worship,-118.2392895,34.1361197
40,place_of_worship,-118.2586111,34.1325
41,place_of_worship,-118.2575025,34.1327372
42,social_facility,-118.2575,34.1316667
43,place_of_worship,-118.2441667,34.1294444
44,place_of_worship,-118.2536111,34.1261111
45,place_of_worship,-118.2405556,34.1475
46,place_of_worship,-118.2427778,34.1466667
47,place_of_worship,-118.2438889,34.1463889
48,social_facility,-118.2359462,34.1502778
49,place_of_worship,-118.2282777,34.1503826
50,place_of_worship,-118.2422222,34.155
51,place_of_worship,-118.2787298,34.1722729
52,place_of_worship,-118.2647594,34.1637073
53,place_of_worship,-118.2555556,34.1638889
54,place_of_worship,-118.2855556,34.1697222
55,place_of_worship,-118.2861111,34.1708333
56,social_facility,-118.2847893,34.1671179
57,place_of_worship,-118.295909,34.1760971
58,place_of_worship,-118.2944444,34.1741667
59,place_of_worship,-118.3002778,34.165
60,place_of_worship,-118.2972222,34.1636111
61,place_of_worship,-118.2424774,34.217185
62,place_of_worship,-118.2297222,34.1977778
63,place_of_worship,-118.2402778,34.2166667
64,place_of_worship,-118.2411111,34.2172222
65,place_of_worship,-118.2446616,34.2192485
66,place_of_worship,-118.2577778,34.2422222
67,fire_station,-118.2890972,34.1720939
68,fire_station,-118.2371745,34.1513118
69,library,-118.2554329,34.1632363
70,library,-118.257575,34.1388969
71,library,-118.1999942,34.1738059
72,library,-118.2765332,34.182052
73,library,-118.2325922,34.2074195
74,library,-118.2855972,34.1704587
75,theatre,-118.2466667,34.1277778
