,amenity,longitude,latitude
0,place_of_worship,-111.3205793,47.5055882
1,school,-111.2460311,47.4922343
2,place_of_worship,-111.2585864,47.5074576
3,place_of_worship,-111.2977223,47.5076961
4,place_of_worship,-111.2976619,47.5079512
5,place_of_worship,-111.2940977,47.5071595
6,place_of_worship,-111.2526013,47.4999477
7,place_of_worship,-111.2835861,47.5060687
8,place_of_worship,-111.3217596,47.5264431
9,place_of_worship,-111.2841416,47.5055132
10,place_of_worship,-111.2404512,47.49863
11,place_of_worship,-111.2966414,47.5071799
12,place_of_worship,-111.326251,47.4945913
13,place_of_worship,-111.31803,47.4957908
14,social_facility,-111.3003094,47.5028585
15,place_of_worship,-111.2855305,47.5060687
16,place_of_worship,-111.2480898,47.4923054
17,place_of_worship,-111.2506356,47.4923923
18,place_of_worship,-111.2455886,47.4922402
19,place_of_worship,-111.2855305,47.5060687
20,place_of_worship,-111.2538642,47.5102355
21,place_of_worship,-111.2762502,47.4867838
22,place_of_worship,-111.2498994,47.5079132
23,place_of_worship,-111.284975,47.5060687
24,place_of_worship,-111.3292969,47.5082111
25,place_of_worship,-111.3395224,47.5123405
26,place_of_worship,-111.2558828,47.4955135
27,clinic,-111.2583116,47.4906557
28,school,-111.292511,47.5084196
29,school,-111.2280175,47.5080409
30,funeral_home,-111.286198,47.4893566
31,library,-111.2825426,47.5058974
32,courthouse,-111.3001328,47.5081099
33,police,-111.2999191,47.5081095
34,restaurant,-111.3070854,47.4993295
35,fast_food,-111.2703404,47.4931824
36,pub,-111.2952289,47.50447
37,parking,-111.2347497,47.5294802
38,cafe,-111.2709199,47.4886226
39,fast_food,-111.2323488,47.4942429
40,fast_food,-111.3277674,47.4897677
41,post_office,-111.2769905,47.4939416
42,restaurant,-111.2916715,47.4938927
43,fast_food,-111.3090449,47.5209604
44,restaurant,-111.304582,47.5055009
45,bar,-111.2982121,47.5050787
46,fast_food,-111.299336,47.5051113
47,restaurant,-111.298829,47.5050805
48,pub,-111.3001943,47.5051059
49,restaurant,-111.3389012,47.483732
50,fast_food,-111.3388959,47.4838009
51,ice_cream,-111.3389012,47.4838806
52,fast_food,-111.3388905,47.4840021
53,restaurant,-111.3390675,47.4810945
54,restaurant,-111.2490477,47.4943809
55,restaurant,-111.3029141,47.5051251
56,pharmacy,-111.3091138,47.5188455
57,post_box,-111.3377143,47.4895693
58,cafe,-111.2412648,47.5012518
59,fast_food,-111.2245868,47.5068779
60,restaurant,-111.2246928,47.5068797
61,place_of_worship,-111.2893074,47.5055289
62,place_of_worship,-111.2883695,47.5066131
63,place_of_worship,-111.2839737,47.5044367
64,place_of_worship,-111.2925074,47.5083115
65,place_of_worship,-111.2786703,47.5121128
66,place_of_worship,-111.268834,47.510352
67,place_of_worship,-111.2671981,47.5042383
68,place_of_worship,-111.2657244,47.512014
69,casino,-111.2949147,47.4939304
70,bank,-111.2951439,47.4935222
71,place_of_worship,-111.2905302,47.4870464
72,social_facility,-111.2882457,47.4863294
73,social_facility,-111.2910957,47.4859411
74,place_of_worship,-111.2897983,47.4893342
75,place_of_worship,-111.2700578,47.4920929
76,kindergarten,-111.2688926,47.4837751
77,place_of_worship,-111.2568827,47.4948314
78,place_of_worship,-111.2454094,47.506479
79,place_of_worship,-111.2280189,47.5079233
80,place_of_worship,-111.2310937,47.5027744
81,place_of_worship,-111.2301931,47.50369
82,place_of_worship,-111.3246332,47.5192208
83,place_of_worship,-111.3260655,47.5192717
84,place_of_worship,-111.3271858,47.5202377
85,place_of_worship,-111.2900763,47.5389328
86,place_of_worship,-111.326078,47.5247793
87,place_of_worship,-111.2942565,47.5328984
88,place_of_worship,-111.3280262,47.4864452
89,place_of_worship,-111.3393738,47.4735578
90,bank,-111.302276,47.5061311
91,bar,-111.3053339,47.5055359
92,bar,-111.3003987,47.5048707
93,restaurant,-111.2993419,47.5048959
94,restaurant,-111.2993362,47.5044038
95,restaurant,-111.2975999,47.50454
96,restaurant,-111.2980059,47.5050924
97,bar,-111.2949422,47.5054697
98,cafe,-111.2945391,47.5051196
99,restaurant,-111.2952705,47.5046372
100,restaurant,-111.2947522,47.5066912
101,bar,-111.2949336,47.5066329
102,fuel,-111.2959241,47.5065823
103,cafe,-111.2987891,47.5065648
104,cafe,-111.2917116,47.5055864
105,restaurant,-111.2909888,47.505567
106,restaurant,-111.2931426,47.5076618
107,pub,-111.3048177,47.5040228
108,restaurant,-111.3039831,47.5077198
109,bank,-111.2987118,47.5081593
110,fast_food,-111.2882403,47.5055412
111,dentist,-111.2635981,47.4988948
112,dentist,-111.3059902,47.5012477
113,theatre,-111.3046029,47.5027911
114,exhibition_centre,-111.3039532,47.501127
115,events_venue,-111.298576,47.5028518
116,police,-111.2981946,47.5022903
117,social_centre,-111.2986506,47.5038623
118,pharmacy,-111.3019183,47.5032714
119,restaurant,-111.3003251,47.5018158
120,place_of_worship,-111.2970284,47.5037092
121,social_facility,-111.2899006,47.5050537
122,place_of_worship,-111.2795846,47.5054468
123,dentist,-111.2854838,47.5034109
124,bank,-111.2929536,47.5037763
125,clinic,-111.2871387,47.5078233
126,clinic,-111.2917502,47.5025678
127,bank,-111.306327,47.4993914
128,car_rental,-111.30181,47.4944818
129,fuel,-111.300163,47.4944911
130,bank,-111.2986685,47.4945043
131,pharmacy,-111.2971097,47.4945505
132,casino,-111.2960211,47.4938194
133,fuel,-111.295282,47.4939359
134,bar,-111.2953445,47.4929152
135,bar,-111.2926788,47.4919774
136,casino,-111.2927883,47.4913403
137,casino,-111.2862189,47.493951
138,restaurant,-111.2862189,47.4938308
139,casino,-111.2882934,47.4918128
140,restaurant,-111.2889106,47.4924811
141,restaurant,-111.292643,47.494956
142,bank,-111.2917896,47.4967986
143,fast_food,-111.2916242,47.4946522
144,car_wash,-111.2882316,47.4945061
145,fast_food,-111.2874739,47.4945347
146,casino,-111.2839833,47.4950723
147,fuel,-111.2825577,47.4945753
148,cafe,-111.2814836,47.4950536
149,fuel,-111.2787161,47.4943834
150,clinic,-111.2838949,47.4957127
151,dentist,-111.2844348,47.4923387
152,fuel,-111.2850215,47.4917635
153,fuel,-111.2832202,47.4938614
154,fast_food,-111.2796895,47.4938769
155,bar,-111.2790356,47.4933074
156,restaurant,-111.2773785,47.4938857
157,cafe,-111.2761208,47.4934378
158,bar,-111.2752068,47.4937848
159,cafe,-111.2733099,47.4937234
160,fuel,-111.2683898,47.4938168
161,fast_food,-111.2708261,47.4931798
162,restaurant,-111.270682,47.4931815
163,ice_cream,-111.2701766,47.493185
164,cafe,-111.2689929,47.4932029
165,pharmacy,-111.2697579,47.4928875
166,bank,-111.2738958,47.4944898
167,social_facility,-111.2555049,47.4922269
