,amenity,longitude,latitude
0,school,-104.8770873,39.6284836
1,school,-104.92128,39.6159917
2,school,-104.924068,39.6232761
3,place_of_worship,-104.9213527,39.6231334
4,place_of_worship,-104.9669444,39.6102778
5,fire_station,-104.960405,39.6147297
6,fire_station,-104.867176,39.6092532
7,police,-104.9032899,39.6064
8,restaurant,-104.9017037,39.6218759
9,restaurant,-104.8834,39.6245843
10,restaurant,-104.884771,39.6250757
11,restaurant,-104.884544,39.6249515
12,restaurant,-104.8834622,39.6247734
13,fast_food,-104.883302,39.6260417
14,bank,-104.884227,39.6245471
15,restaurant,-104.8837442,39.5955819
16,restaurant,-104.8821215,39.5953277
17,restaurant,-104.8811801,39.5962826
18,fuel,-104.8826984,39.5952671
19,fast_food,-104.877925,39.5958341
20,restaurant,-104.8779024,39.5953546
21,restaurant,-104.8779936,39.5960345
22,restaurant,-104.881695,39.5946067
23,restaurant,-104.880596,39.5889469
24,fuel,-104.904473,39.6236487
25,bar,-104.8883825,39.618291
26,fast_food,-104.88914,39.6196056
27,cafe,-104.897368,39.6231965
28,restaurant,-104.920155,39.6088456
29,restaurant,-104.9221105,39.6089572
30,fast_food,-104.922427,39.6084934
31,restaurant,-104.9213353,39.609137
32,fuel,-104.922322,39.6081026
33,fuel,-104.887638,39.5953797
34,fast_food,-104.8896772,39.5964916
35,post_office,-104.876754,39.5922794
36,restaurant,-104.896071,39.6235758
37,restaurant,-104.9581076,39.6093802
38,cafe,-104.9572195,39.6089863
39,fast_food,-104.8959935,39.6237463
40,restaurant,-104.89702,39.6236192
41,toilets,-104.9075349,39.6109261
42,shelter,-104.9065398,39.6126855
43,drinking_water,-104.9066605,39.6115997
44,drinking_water,-104.9075872,39.610889
45,shelter,-104.9075564,39.6108868
46,shelter,-104.9065264,39.6125554
47,shelter,-104.9065291,39.611639
48,toilets,-104.9065406,39.611766
49,bbq,-104.9064755,39.6117133
50,fountain,-104.9070656,39.6112608
51,bbq,-104.9066123,39.6116162
52,restaurant,-104.8997848,39.6190896
53,restaurant,-104.9000208,39.6192714
54,cinema,-104.90107,39.6182061
55,theatre,-104.9013218,39.6189221
56,restaurant,-104.9010285,39.6188395
57,pub,-104.9010415,39.6192397
58,shelter,-104.9027859,39.6069541
59,restaurant,-104.8939591,39.5954243
60,parking_entrance,-104.889201,39.6001522
61,fast_food,-104.8899761,39.6012391
62,fuel,-104.89887,39.6099128
63,cafe,-104.8964013,39.6099917
64,bar,-104.897823,39.6109243
65,restaurant,-104.9005734,39.6192461
66,bank,-104.9014756,39.6192957
67,restaurant,-104.9011245,39.6178663
68,school,-104.899091,39.6131515
69,shelter,-104.9043427,39.6162344
70,bench,-104.9079098,39.6130114
71,bench,-104.9079629,39.610507
72,bench,-104.9079737,39.6110356
73,bench,-104.9083926,39.6121271
74,restaurant,-104.8782055,39.5944001
75,restaurant,-104.8783128,39.5935899
76,toilets,-104.8780042,39.6347827
77,atm,-104.884058,39.6247093
78,fountain,-104.8716071,39.6238443
79,fountain,-104.8714864,39.6236563
80,waste_basket,-104.8828813,39.6288824
81,parking,-104.8763883,39.6285346
82,parking,-104.87665,39.6303099
83,parking,-104.876336,39.6291024
84,parking,-104.880483,39.6309503
85,parking,-104.8775058,39.6307406
86,parking,-104.878203,39.6307984
87,fountain,-104.8811938,39.6304834
88,parking,-104.8828488,39.628744
89,parking,-104.8834603,39.6309131
90,parking,-104.8844661,39.6305784
91,parking,-104.8820253,39.63069
92,parking,-104.884552,39.6307974
93,parking,-104.8810114,39.6284403
94,parking,-104.8826503,39.6309957
95,school,-104.8775997,39.6293412
96,parking,-104.8826583,39.6299259
97,school,-104.8793351,39.6303721
98,parking_entrance,-104.8894021,39.6001512
99,bench,-104.9022092,39.6073114
100,bus_station,-104.889918,39.6006208
101,waste_basket,-104.8774882,39.6368041
102,bench,-104.8781812,39.6357512
103,waste_basket,-104.8780693,39.6357487
104,waste_basket,-104.8797173,39.6369442
105,waste_basket,-104.8803447,39.6406173
106,waste_basket,-104.876982,39.6420647
107,drinking_water,-104.8800868,39.6200557
108,drinking_water,-104.9034305,39.6077397
109,drinking_water,-104.9066966,39.6125416
110,drinking_water,-104.8808525,39.6127349
111,drinking_water,-104.8780767,39.6337564
112,drinking_water,-104.9623489,39.6098418
113,cafe,-104.8839631,39.6318105
114,restaurant,-104.8893375,39.6191637
115,dentist,-104.895192,39.6224425
116,doctors,-104.8919118,39.6208726
117,college,-104.8992815,39.6131132
118,toilets,-104.9221686,39.6117415
119,atm,-104.922525,39.6073545
120,pharmacy,-104.920705,39.6079858
121,bench,-104.9226272,39.6157005
122,bench,-104.9226256,39.6159838
123,bench,-104.9201552,39.6203949
124,bench,-104.9186358,39.6204166
125,restaurant,-104.889437,39.6186706
126,fuel,-104.8889154,39.6201957
127,restaurant,-104.8893689,39.6184143
128,restaurant,-104.8893357,39.6193813
129,fast_food,-104.877813,39.5946912
130,doctors,-104.8935449,39.6234533
131,restaurant,-104.9010306,39.6186793
132,nightclub,-104.9012031,39.6189048
133,restaurant,-104.8767444,39.5960735
134,restaurant,-104.897225,39.6229053
135,fountain,-104.8892002,39.623178
136,fountain,-104.8903603,39.6237369
137,cafe,-104.889388,39.6100668
138,vending_machine,-104.8961919,39.6133514
139,fountain,-104.8959197,39.6149176
140,cafe,-104.8782159,39.594739
141,restaurant,-104.8781164,39.5943495
142,bicycle_parking,-104.8772643,39.6308206
143,bicycle_parking,-104.8810009,39.6308772
144,bicycle_parking,-104.8809052,39.6285764
145,fast_food,-104.883386,39.6246932
146,car_wash,-104.8888977,39.6204429
147,shelter,-104.8796792,39.6197675
148,parking_entrance,-104.890235,39.621233
149,parking_entrance,-104.890237,39.6210867
150,parking_entrance,-104.891195,39.6208703
151,parking_entrance,-104.891263,39.6208709
152,atm,-104.899702,39.6229975
153,bench,-104.8997891,39.621916
154,bench,-104.899985,39.6223167
155,bicycle_parking,-104.8791621,39.6436067
156,car_wash,-104.884526,39.6246256
157,fast_food,-104.885784,39.6231216
158,fountain,-104.8891492,39.6231806
159,fountain,-104.8890922,39.623192
160,fountain,-104.8890325,39.6232375
161,fountain,-104.8890567,39.6232111
162,restaurant,-104.885883,39.623503
163,fountain,-104.8763063,39.6235851
164,recycling,-104.8770841,39.623002
165,waste_basket,-104.8770841,39.6229669
166,bench,-104.8763492,39.6236352
167,bench,-104.8763304,39.6235374
168,bench,-104.8762781,39.6236356
169,bench,-104.8777278,39.6236077
170,bench,-104.877803,39.6236083
171,school,-104.877396,39.623348
172,pharmacy,-104.883651,39.6264181
173,cafe,-104.8845663,39.6263912
174,restaurant,-104.883347,39.625079
175,ice_cream,-104.883513,39.6253351
176,fast_food,-104.883513,39.6251596
177,dentist,-104.883522,39.6255334
178,bank,-104.885756,39.623748
179,restaurant,-104.885902,39.6232302
180,bench,-104.8892478,39.6230742
181,bench,-104.8894055,39.6232117
182,bank,-104.8985012,39.6202432
183,bicycle_parking,-104.8959521,39.6236327
184,bench,-104.895948,39.6235333
185,bench,-104.8965856,39.6209574
186,bench,-104.8957752,39.6210633
187,bench,-104.8962245,39.6210612
188,bench,-104.8972008,39.6208898
189,bench,-104.8970319,39.6208216
190,bench,-104.8968749,39.6209622
191,parking_entrance,-104.892572,39.6221216
192,restaurant,-104.896723,39.6225328
193,restaurant,-104.895632,39.6224488
194,restaurant,-104.895809,39.6225339
195,bank,-104.8961421,39.6223806
196,post_box,-104.8971216,39.6225788
197,spa,-104.897099,39.6227276
198,bicycle_parking,-104.8971936,39.6225687
199,parking_entrance,-104.893591,39.6220547
200,kindergarten,-104.884294,39.6331914
201,bicycle_parking,-104.8929914,39.6173245
202,bicycle_parking,-104.893992,39.6174943
203,bench,-104.8977874,39.619306
204,bench,-104.8977746,39.6193215
205,parking,-104.8970592,39.619517
206,bench,-104.8980919,39.6199405
207,bench,-104.897837,39.619455
208,parking,-104.89749,39.6200909
209,bench,-104.8980878,39.6198981
210,bench,-104.8978601,39.6193697
211,bench,-104.8977291,39.6193152
212,bench,-104.8976674,39.6193119
213,bench,-104.8978518,39.6193902
214,bench,-104.898006,39.6199447
215,bench,-104.8982085,39.6199188
216,bench,-104.897829,39.619416
217,fountain,-104.8933067,39.6191497
218,fountain,-104.8967038,39.618204
219,fountain,-104.8968888,39.6182152
220,fountain,-104.8971035,39.6184043
221,parking_entrance,-104.896865,39.618902
222,parking_entrance,-104.896874,39.6189363
223,school,-104.883743,39.6318757
224,tutor,-104.8842245,39.6319482
225,driving_school,-104.884128,39.6318438
226,bicycle_parking,-104.8839316,39.6317587
227,cafe,-104.88468,39.6318202
228,fast_food,-104.884489,39.6323453
229,cafe,-104.8846604,39.6323065
230,fast_food,-104.88471,39.6319994
231,restaurant,-104.884448,39.6324686
232,post_box,-104.8844885,39.6325212
233,fast_food,-104.884648,39.6328208
234,office,-104.8841682,39.6326731
235,studio,-104.8841906,39.6328121
236,bicycle_parking,-104.8952494,39.6154761
237,kindergarten,-104.889369,39.6105389
238,fast_food,-104.887758,39.610052
239,veterinary,-104.886319,39.6107008
240,bench,-104.8885305,39.6111012
241,waste_basket,-104.8886029,39.6110919
242,restaurant,-104.8913338,39.6087792
243,parking_entrance,-104.889827,39.6112106
244,parking_entrance,-104.890441,39.6109538
245,parking_entrance,-104.889696,39.61121
246,parking_entrance,-104.890332,39.6109529
247,bank,-104.897232,39.623562
248,fast_food,-104.9594378,39.6081988
249,restaurant,-104.9594459,39.6079863
250,post_office,-104.958682,39.6078907
251,restaurant,-104.9578145,39.6082542
252,veterinary,-104.9573798,39.6082599
253,post_office,-104.95721,39.6088544
254,atm,-104.9573037,39.609477
255,bicycle_parking,-104.9573567,39.6091684
256,pharmacy,-104.957327,39.609335
257,bank,-104.9570763,39.6094612
258,bank,-104.8905028,39.6207203
259,parking,-104.8891402,39.6203168
260,restaurant,-104.8887955,39.6195297
261,restaurant,-104.889487,39.6183168
262,financial_advice,-104.8893602,39.6182342
263,fountain,-104.8911075,39.6152014
264,bank,-104.8886662,39.6136652
265,bench,-104.8864235,39.6188809
266,bench,-104.886497,39.6189383
267,bench,-104.8864435,39.6189701
268,bench,-104.8863769,39.6189033
269,bench,-104.8862337,39.6186881
270,bench,-104.8863034,39.618744
271,waste_basket,-104.888046,39.6222962
272,bench,-104.8869848,39.6195717
273,bench,-104.8869571,39.6195254
274,bench,-104.8866976,39.6191851
275,bench,-104.8867489,39.6192415
276,waste_basket,-104.8876822,39.6203048
277,atm,-104.8884491,39.6234162
278,bank,-104.887772,39.623219
279,bicycle_parking,-104.8880904,39.6235454
280,bank,-104.890291,39.622253
281,bench,-104.8901745,39.6238216
282,bench,-104.8906555,39.6237373
283,bench,-104.8902068,39.6238581
284,bench,-104.8906378,39.623772
285,bench,-104.8906814,39.6230396
286,bench,-104.8912174,39.6232296
287,bench,-104.8905252,39.6229967
288,waste_basket,-104.8902163,39.6230937
289,waste_basket,-104.8906513,39.6229869
290,bench,-104.8901963,39.6231153
291,bench,-104.890145,39.6232669
292,bench,-104.8903133,39.6230293
293,bench,-104.8911342,39.6231738
294,waste_basket,-104.889408,39.6232328
295,bench,-104.8890922,39.6230701
296,waste_basket,-104.889113,39.6230654
297,fountain,-104.8890259,39.6232649
298,fountain,-104.8890246,39.6232917
299,parking,-104.8911259,39.623625
300,bank,-104.900143,39.6234085
301,shelter,-104.8921953,39.6100938
302,restaurant,-104.9604304,39.6083856
303,restaurant,-104.9605067,39.6089702
304,dentist,-104.960455,39.6086166
305,restaurant,-104.9605471,39.6085624
306,restaurant,-104.9604598,39.609061
307,fuel,-104.960344,39.6095072
308,restaurant,-104.958849,39.6093543
309,school,-104.9607602,39.6105187
310,atm,-104.887571,39.623301
311,waste_basket,-104.8914608,39.6098203
312,bench,-104.8825347,39.6085792
313,bench,-104.881927,39.6086799
314,bench,-104.8815658,39.6089312
315,toilets,-104.8784301,39.6093317
316,fountain,-104.895109,39.6151305
317,fountain,-104.8951228,39.6151729
318,waste_disposal,-104.8951155,39.6149343
319,restaurant,-104.8781318,39.5960553
320,doctors,-104.9021734,39.62006
321,fast_food,-104.891742,39.5962902
322,restaurant,-104.8897028,39.5962888
323,car_wash,-104.8767799,39.5969171
324,bench,-104.8891985,39.6005502
325,bench,-104.8891877,39.6005978
326,bench,-104.8891663,39.6006308
327,bench,-104.889118,39.6006525
328,bench,-104.8890684,39.6006608
329,bench,-104.8890107,39.6006562
330,bench,-104.8889745,39.6006334
331,bench,-104.8889423,39.6005988
332,bench,-104.8889269,39.6005601
333,toilets,-104.878147,39.6372178
334,bank,-104.8912816,39.6033899
335,restaurant,-104.883664,39.6318157
336,fast_food,-104.898168,39.5962871
337,restaurant,-104.893955,39.5955807
338,restaurant,-104.8770599,39.5943108
339,waste_basket,-104.904368,39.6205788
340,waste_basket,-104.9062363,39.622226
341,waste_basket,-104.8833866,39.6038923
342,bench,-104.8841787,39.6031258
343,bench,-104.884184,39.6030885
344,bench,-104.8842601,39.6029658
345,bench,-104.8842315,39.602932
346,bench,-104.8840391,39.602912
347,bench,-104.8840257,39.6028831
348,bench,-104.884031,39.6028514
349,cafe,-104.876604,39.5944053
350,restaurant,-104.9012637,39.6188415
351,Fix And Flip Loan,-104.9020954,39.6186988
352,fast_food,-104.8774767,39.595555
353,restaurant,-104.8982098,39.5962913
354,restaurant,-104.8912032,39.5962599
355,parking,-104.9391692,39.6235033
356,doctors,-104.893742,39.6232625
357,post_office,-104.8834546,39.6246404
358,waste_basket,-104.9070111,39.6130416
359,bench,-104.9070408,39.6130358
360,waste_basket,-104.9086477,39.6107757
361,post_office,-104.8912603,39.5963162
362,restaurant,-104.8833184,39.6254692
363,parking_space,-104.8986229,39.61706
364,parking_space,-104.8985594,39.6170567
365,bench,-104.8906775,39.601941
