,amenity,longitude,latitude
0,school,-86.0997081,39.5894917
1,place_of_worship,-86.1247085,39.6203243
2,place_of_worship,-86.1402648,39.5775475
3,place_of_worship,-86.1055768,39.6090806
4,school,-86.1058333,39.6080556
5,place_of_worship,-86.1087887,39.60901
6,place_of_worship,-86.1013889,39.6138889
7,place_of_worship,-86.1114169,39.6131341
8,place_of_worship,-86.1074734,39.6134943
9,place_of_worship,-86.1077025,39.6139393
10,place_of_worship,-86.1072222,39.6152778
11,place_of_worship,-86.1091667,39.6152778
12,community_centre,-86.0880556,39.6155556
13,fuel,-86.1593415,39.6062328
14,fuel,-86.1224435,39.6285816
15,place_of_worship,-86.1559812,39.5782601
16,restaurant,-86.1231993,39.6332364
17,restaurant,-86.1213655,39.6310514
18,fountain,-86.0769416,39.6172458
19,fountain,-86.0751624,39.6186242
20,fountain,-86.0770075,39.6187609
21,restaurant,-86.126065,39.6333045
22,parking,-86.0908754,39.6112171
23,place_of_worship,-86.1574976,39.6287764
24,bank,-86.1077405,39.604653
25,fast_food,-86.1082555,39.6050436
26,restaurant,-86.1062867,39.6014519
27,restaurant,-86.1062706,39.6012659
28,doctors,-86.1463432,39.634628
29,fast_food,-86.1589604,39.609707
30,fountain,-86.0978054,39.5881875
31,doctors,-86.1469617,39.6347596
32,fast_food,-86.1584465,39.6049049
33,restaurant,-86.1598784,39.6035845
34,restaurant,-86.1598489,39.6029892
35,bank,-86.1599783,39.6023653
36,pharmacy,-86.159823,39.6048664
37,restaurant,-86.1596677,39.6044533
38,bank,-86.1586214,39.6055757
39,bank,-86.1577673,39.6054503
40,dentist,-86.1596515,39.6004832
41,social_facility,-86.1601249,39.5993616
42,bank,-86.159684,39.5929067
43,fast_food,-86.1590946,39.6144969
44,restaurant,-86.1591406,39.6151708
45,fuel,-86.1591775,39.6160149
46,fast_food,-86.1579098,39.6168424
47,fast_food,-86.1578921,39.6143632
48,restaurant,-86.1572929,39.613645
49,fast_food,-86.1579589,39.6173413
50,fast_food,-86.1579866,39.6183343
51,fast_food,-86.1590485,39.6195023
52,fuel,-86.1589595,39.6201548
53,car_wash,-86.1590485,39.6212755
54,fuel,-86.1592358,39.6233276
55,car_wash,-86.1595182,39.6234931
56,restaurant,-86.1577903,39.6297061
57,restaurant,-86.1577596,39.6301789
58,restaurant,-86.1577043,39.6308385
59,cafe,-86.1577289,39.6311481
60,pharmacy,-86.1590978,39.6346419
61,fast_food,-86.1571245,39.6341456
62,bank,-86.1589278,39.6342
