,amenity,longitude,latitude
0,school,-90.049238,29.9299267
1,school,-90.060905,29.9138161
2,school,-90.0426017,29.9271669
3,school,-90.0584049,29.9154811
4,place_of_worship,-90.0578494,29.9074274
5,place_of_worship,-90.0617384,29.9165938
6,place_of_worship,-90.0625717,29.9124272
7,place_of_worship,-90.0506269,29.9232603
8,school,-90.0612765,29.9125417
9,place_of_worship,-90.0542381,29.9268713
10,place_of_worship,-90.04396,29.9232602
11,place_of_worship,-90.0506269,29.9352043
12,school,-90.050627,29.89465
13,place_of_worship,-90.0539604,29.901872
14,place_of_worship,-90.0450712,29.9238157
15,place_of_worship,-90.0622939,29.9132606
16,place_of_worship,-90.0509046,29.9371486
17,place_of_worship,-90.0509046,29.923538
18,place_of_worship,-90.0611828,29.9174271
19,school,-90.0612038,29.9173239
20,place_of_worship,-90.0475713,29.917427
21,place_of_worship,-90.0434044,29.9257602
22,place_of_worship,-90.0578494,29.9010387
23,place_of_worship,-90.0478491,29.9238157
24,place_of_worship,-90.0550715,29.9032609
25,school,-90.0585474,29.9073958
26,school,-90.0525771,29.8940944
27,school,-90.0484547,29.9185275
28,school,-90.053127,29.9265934
29,post_office,-90.0645162,29.915205
30,school,-90.0593942,29.9156721
31,school,-90.0601833,29.9173719
32,kindergarten,-90.0501757,29.9280234
33,kindergarten,-90.0453,29.9262
34,kindergarten,-90.0451,29.9252
35,kindergarten,-90.0547,29.9022
36,kindergarten,-90.0595,29.9161
37,kindergarten,-90.0509,29.9272
38,kindergarten,-90.0512,29.8975
39,courthouse,-90.0673693,29.9158473
40,fire_station,-90.0472766,29.8969798
41,fire_station,-90.0532403,29.9285484
42,kindergarten,-90.06,29.9146
43,kindergarten,-90.0498,29.9262
44,kindergarten,-90.0493,29.923
45,kindergarten,-90.0643,29.9122
46,police,-90.064315,29.9068556
47,police,-90.0586156,29.9177916
48,townhall,-90.0658216,29.9170267
49,restaurant,-90.0538152,29.9070657
50,parking,-90.0399944,29.8795445
51,clinic,-90.0551664,29.9112778
52,arts_centre,-90.053584,29.904463
53,restaurant,-90.0534043,29.9042305
54,veterinary,-90.0510457,29.9120918
55,place_of_worship,-90.0450545,29.9038797
56,fountain,-90.0473413,29.8940954
57,fountain,-90.0469715,29.8935184
58,fountain,-90.048734,29.8906012
59,payment_terminal,-90.0508595,29.9187017
60,parking_entrance,-90.0675441,29.9149543
61,parking_entrance,-90.0672781,29.9147077
62,parking_entrance,-90.0667654,29.915286
63,parking_entrance,-90.0667308,29.9152481
64,parking_entrance,-90.0667013,29.9152156
