,amenity,longitude,latitude
0,school,-79.0933457,36.077085
1,school,-79.1144575,36.0801403
2,school,-79.114906,36.0792126
3,place_of_worship,-79.0743173,36.0609613
4,restaurant,-79.1111182,36.0722271
5,restaurant,-79.0995303,36.0746532
6,library,-79.1006223,36.0742421
7,fire_station,-79.0995186,36.0742313
8,police,-79.0984574,36.0742263
9,restaurant,-79.1040076,36.0513816
10,restaurant,-79.082749,36.0558986
11,fast_food,-79.1048338,36.055715
12,bench,-79.0811251,36.0700665
13,parking_entrance,-79.1003314,36.0737225
14,fast_food,-79.1029172,36.062359
15,charging_station,-79.0915975,36.0408752
16,fast_food,-79.1042765,36.0513132
17,ice_cream,-79.1111118,36.0721608
18,bar,-79.1111334,36.0719271
19,bench,-79.1011007,36.0732316
20,bench,-79.101079,36.0732124
21,public_bookcase,-79.1047145,36.0451023
22,bicycle_parking,-79.0924984,36.0410067
23,public_bookcase,-79.1105247,36.0705071
24,bench,-79.0803494,36.0755807
25,bicycle_parking,-79.0854003,36.070035
26,public_bookcase,-79.0924556,36.0410362
27,fast_food,-79.1033709,36.0630871
28,cafe,-79.0999884,36.0755841
29,restaurant,-79.1111336,36.0723662
30,place_of_worship,-79.1166601,36.0726458
31,townhall,-79.0990986,36.0818828
32,fuel,-79.1035474,36.0581081
33,restaurant,-79.0996136,36.075006
34,doctors,-79.104499,36.0512563
35,restaurant,-79.1007148,36.0719516
36,restaurant,-79.1004469,36.075531
37,bar,-79.1000874,36.075582
38,courthouse,-79.099008,36.0741662
39,restaurant,-79.1159117,36.0755645
40,courthouse,-79.0990742,36.0750433
41,marketplace,-79.0977092,36.0737201
42,restaurant,-79.099311,36.0758499
43,bar,-79.0996323,36.0758411
44,bar,-79.1000222,36.0743127
45,restaurant,-79.0996302,36.0757662
46,restaurant,-79.0995944,36.0750811
47,restaurant,-79.0996287,36.0755585
48,police,-79.0997598,36.0765047
49,restaurant,-79.1004317,36.063001
50,doctors,-79.1022762,36.0629257
51,community_centre,-79.1103032,36.0810284
52,restaurant,-79.1033056,36.0870873
53,drinking_water,-79.0930564,36.0409576
54,drinking_water,-79.0929565,36.0409901
55,drinking_water,-79.0931236,36.0410056
56,parking_entrance,-79.1002392,36.0733837
57,bench,-79.1066101,36.0732517
58,parking_entrance,-79.1001341,36.0736519
59,parking_entrance,-79.1009277,36.0733618
60,waste_disposal,-79.07677,36.0599827
61,waste_disposal,-79.075448,36.0601106
62,waste_disposal,-79.0758248,36.0600986
63,atm,-79.0813525,36.0566186
