,amenity,longitude,latitude
0,parking_entrance,-95.2774964,29.6572054
1,ferry_terminal,-95.0806058,29.7620434
2,school,-95.4413296,29.6746755
3,school,-95.3796609,29.7360622
4,school,-95.378949,29.7449678
5,grave_yard,-95.3028127,29.719627
6,grave_yard,-95.26143,29.6280204
7,school,-95.4050875,29.7419184
8,school,-95.389084,29.7380325
9,school,-95.2371569,29.6785631
10,school,-95.2221402,29.6363758
11,school,-95.3674384,29.7171738
12,school,-95.3682718,29.7196737
13,school,-95.3791022,29.7945551
14,school,-95.275213,29.8093928
15,library,-95.3804942,29.7541173
16,school,-95.412995,29.7685614
17,school,-95.3291037,29.7805051
18,school,-95.3024363,29.7718941
19,school,-95.310214,29.8060597
20,school,-95.4152169,29.8199487
21,school,-95.4302928,29.7732666
22,school,-95.2768797,29.8088373
23,clinic,-95.3654605,29.7767798
24,school,-95.2760463,29.8102261
25,school,-95.3344605,29.7770716
26,school,-95.3418819,29.7746719
27,school,-95.3339362,29.8157887
28,school,-95.3297198,29.6671517
29,school,-95.3418819,29.7718943
30,school,-95.3413918,29.7830302
31,school,-95.3263818,29.8137899
32,school,-95.3010915,29.820694
33,school,-95.4024393,29.7343958
34,school,-95.3179925,29.7430062
35,school,-95.3288198,29.7514962
36,school,-95.330585,29.7910935
37,school,-95.3104924,29.6657862
38,school,-95.3884265,29.7369586
39,school,-95.2560459,29.7932822
40,school,-95.353827,29.674675
41,hospital,-95.386876,29.7233769
42,place_of_worship,-95.2179895,29.7730049
43,place_of_worship,-95.4227182,29.6041221
44,place_of_worship,-95.3443824,29.6616198
45,place_of_worship,-95.2557685,29.7530056
46,place_of_worship,-95.3318812,29.8241148
47,place_of_worship,-95.3518825,29.6907857
48,place_of_worship,-95.3268812,29.8002267
49,place_of_worship,-95.4246625,29.7791152
50,place_of_worship,-95.4328058,29.8013756
51,place_of_worship,-95.3554909,29.7265654
52,place_of_worship,-95.3766056,29.6432873
53,place_of_worship,-95.3616322,29.8186114
54,place_of_worship,-95.3275108,29.7937278
55,place_of_worship,-95.3099368,29.6660639
56,place_of_worship,-95.3185477,29.7891159
57,place_of_worship,-95.3568827,29.6613421
58,place_of_worship,-95.2760462,29.823559
59,place_of_worship,-95.3179927,29.6474534
60,place_of_worship,-95.3281595,29.6605552
61,place_of_worship,-95.2574352,29.7430059
62,place_of_worship,-95.3198918,29.7879119
63,place_of_worship,-95.3388266,29.6741194
64,place_of_worship,-95.3521602,29.6780083
65,place_of_worship,-95.4129947,29.8038381
66,place_of_worship,-95.3110479,29.692452
67,place_of_worship,-95.362994,29.6599533
68,place_of_worship,-95.3172314,29.7888918
69,place_of_worship,-95.3114447,29.8008736
70,place_of_worship,-95.2854911,29.8107817
71,place_of_worship,-95.2771574,29.8185592
72,place_of_worship,-95.3357704,29.8032822
73,place_of_worship,-95.3354014,29.768765
74,place_of_worship,-95.3221588,29.7957824
75,place_of_worship,-95.4471622,29.8141157
76,place_of_worship,-95.3341042,29.6874523
77,place_of_worship,-95.3579938,29.6941189
78,place_of_worship,-95.3129925,29.6655084
79,place_of_worship,-95.3485483,29.8141152
80,place_of_worship,-95.3696608,29.6521757
81,place_of_worship,-95.3093813,29.6680083
82,place_of_worship,-95.3682719,29.6713419
83,place_of_worship,-95.2494329,29.5987159
84,place_of_worship,-95.2374347,29.647175
85,place_of_worship,-95.3779945,29.6510647
86,place_of_worship,-95.3310482,29.7735608
87,place_of_worship,-95.3693831,29.6763417
88,place_of_worship,-95.3448991,29.7008961
89,place_of_worship,-95.2666021,29.7582833
90,place_of_worship,-95.3657719,29.6660642
91,place_of_worship,-95.3507714,29.6768972
92,place_of_worship,-95.3179923,29.7710608
93,place_of_worship,-95.3657719,29.6630088
94,place_of_worship,-95.3527159,29.6582867
95,place_of_worship,-95.3149365,29.7838382
96,place_of_worship,-95.3607717,29.6643976
97,place_of_worship,-95.3560494,29.6391205
98,place_of_worship,-95.2185449,29.7896709
99,place_of_worship,-95.3962606,29.7871304
100,place_of_worship,-95.3129925,29.691341
101,place_of_worship,-95.3474379,29.6599532
102,place_of_worship,-95.2907693,29.7810604
103,place_of_worship,-95.3074362,29.7968934
