,amenity,longitude,latitude
0,school,-73.7823476,42.2492539
1,school,-73.7958333,42.2541667
2,school,-73.7929137,42.251431
3,school,-73.7888116,42.2551864
4,school,-73.7871084,42.2520574
5,place_of_worship,-73.7866667,42.2505556
6,fire_station,-73.789482,42.2519719
7,fire_station,-73.7959155,42.256752
8,prison,-73.7907394,42.2496214
9,townhall,-73.7902778,42.2519444
10,fuel,-73.7811155,42.2476774
11,theatre,-73.796788,42.2536965
12,fuel,-73.782167,42.247783
13,fountain,-73.7829372,42.247435
14,restaurant,-73.7838617,42.2473566
15,bank,-73.7804528,42.2478654
16,pharmacy,-73.7840006,42.2474786
17,restaurant,-73.7933408,42.2547272
18,parking_entrance,-73.7789837,42.2460907
19,parking_entrance,-73.7783049,42.2466884
20,parking_entrance,-73.7942404,42.2441981
21,ferry_terminal,-73.7999226,42.2546757
22,restaurant,-73.7901907,42.2520625
23,fast_food,-73.7895818,42.2516226
24,restaurant,-73.7885768,42.2508558
25,fast_food,-73.7819991,42.2475216
26,bar,-73.7970542,42.2549774
27,school,-73.7862825,42.2531204
28,restaurant,-73.7871348,42.2498147
29,bar,-73.7980419,42.2515952
30,restaurant,-73.7806166,42.2472732
31,restaurant,-73.7833675,42.2470349
32,bicycle_parking,-73.7897026,42.2516996
33,bicycle_parking,-73.7902509,42.2524224
34,bicycle_parking,-73.7825207,42.2475532
35,bicycle_parking,-73.7854702,42.2485301
36,bicycle_parking,-73.7894245,42.2576762
37,bicycle_repair_station,-73.7892804,42.2577769
38,parking_space,-73.7893437,42.257752
39,parking_space,-73.7894124,42.2577281
40,library,-73.797399,42.254143
41,library,-73.795778,42.2566464
42,post_box,-73.7858585,42.2491381
43,post_box,-73.7879194,42.2504909
44,post_box,-73.7846991,42.2481058
45,public_bookcase,-73.7890489,42.2512432
46,post_box,-73.783148,42.2477931
47,post_box,-73.7927463,42.2540559
48,post_box,-73.7865465,42.249473
49,drinking_water,-73.7960779,42.2566578
