,amenity,longitude,latitude
0,grave_yard,-86.810279,34.6020364
1,place_of_worship,-86.4416548,34.6917568
2,place_of_worship,-86.6221279,34.7680764
3,place_of_worship,-86.4938777,34.6195354
4,place_of_worship,-86.6672179,34.7720348
5,place_of_worship,-86.5988823,34.780646
6,grave_yard,-86.6527728,34.7270354
7,grave_yard,-86.4366543,34.6270345
8,grave_yard,-86.5549911,34.6123135
9,place_of_worship,-86.6522174,34.7717572
10,grave_yard,-86.6766631,34.8334225
11,place_of_worship,-86.5666585,34.7056467
12,place_of_worship,-86.5770189,34.7406737
13,grave_yard,-86.5591577,34.5403693
14,grave_yard,-86.5533245,34.6834244
15,place_of_worship,-86.6230495,34.6978689
16,place_of_worship,-86.5688809,34.7348132
17,school,-86.6402723,34.7398131
18,place_of_worship,-86.6449953,34.8223116
19,place_of_worship,-86.5677696,34.6909244
20,grave_yard,-86.5541577,34.5973135
21,place_of_worship,-86.5658248,34.6103691
22,place_of_worship,-86.5718242,34.7711657
23,place_of_worship,-86.5880482,34.7209243
24,grave_yard,-86.8505583,34.7159239
25,grave_yard,-86.7138861,34.6875913
26,grave_yard,-86.5944376,34.780646
27,grave_yard,-86.4805442,34.6389797
28,grave_yard,-86.6486068,34.8523112
29,place_of_worship,-86.6188826,34.7009244
30,place_of_worship,-86.563047,34.6289802
31,grave_yard,-86.5319346,34.6189801
32,school,-86.5730476,34.6906467
33,grave_yard,-86.7244421,34.6478694
34,grave_yard,-86.4303987,34.7001883
35,grave_yard,-86.5961045,34.7967568
36,grave_yard,-86.6463842,34.8106453
37,grave_yard,-86.6599955,34.7770347
38,place_of_worship,-86.5980489,34.7728683
39,place_of_worship,-86.5643773,34.647266
40,grave_yard,-86.5169338,34.5675912
41,grave_yard,-86.6336062,34.8456447
42,place_of_worship,-86.6552729,34.7348131
43,grave_yard,-86.5280457,34.6403689
44,grave_yard,-86.6133268,34.70898
45,place_of_worship,-86.530431,34.7409109
46,place_of_worship,-86.6055489,34.7384242
47,grave_yard,-86.4460989,34.6270346
48,grave_yard,-86.8105567,34.6762023
49,grave_yard,-86.8605588,34.6662023
50,grave_yard,-86.757499,34.6234251
51,grave_yard,-86.5669359,34.5867581
52,grave_yard,-86.5920985,34.6834452
53,grave_yard,-86.5652703,34.8109233
54,place_of_worship,-86.608327,34.778146
55,grave_yard,-86.7519431,34.6398139
56,grave_yard,-86.793056,34.6775913
57,place_of_worship,-86.7930561,34.6037031
58,place_of_worship,-86.5583245,34.5950913
59,place_of_worship,-86.6258273,34.7489798
60,grave_yard,-86.7527766,34.6131475
61,grave_yard,-86.5838819,34.7975901
62,place_of_worship,-86.5808257,34.741202
63,place_of_worship,-86.5711031,34.7084243
64,grave_yard,-86.6911075,34.7517575
65,school,-86.6083462,34.7033355
66,place_of_worship,-86.6288832,34.7678684
67,place_of_worship,-86.5630473,34.7064799
68,school,-86.6119379,34.7384242
69,grave_yard,-86.6524952,34.7717572
70,place_of_worship,-86.6258273,34.7495353
71,place_of_worship,-86.5827702,34.7317577
72,place_of_worship,-86.5691586,34.7048133
73,place_of_worship,-86.5366581,34.7970346
74,place_of_worship,-86.6041599,34.7389798
75,place_of_worship,-86.6002708,34.6962022
76,place_of_worship,-86.603049,34.7681462
77,place_of_worship,-86.6097156,34.7056467
78,place_of_worship,-86.5841592,34.7481465
79,place_of_worship,-86.5999933,34.7714794
80,grave_yard,-86.6291615,34.8242562
81,grave_yard,-86.6461064,34.8159229
82,grave_yard,-86.5991596,34.6684245
83,place_of_worship,-86.6065064,34.7394235
84,place_of_worship,-86.5677697,34.7456465
85,place_of_worship,-86.5749922,34.7445353
86,school,-86.6366612,34.7598129
87,place_of_worship,-86.6030488,34.7292577
88,place_of_worship,-86.5586028,34.7612019
89,place_of_worship,-86.5391573,34.6648133
90,place_of_worship,-86.6411058,34.7589796
91,place_of_worship,-86.6184546,34.7778982
92,place_of_worship,-86.6269384,34.7289799
93,school,-86.5627691,34.5981469
94,place_of_worship,-86.5683251,34.7028689
95,place_of_worship,-86.5668971,34.6585751
96,place_of_worship,-86.5761033,34.7364799
97,place_of_worship,-86.6269384,34.7228688
98,place_of_worship,-86.5843996,34.7315975
99,place_of_worship,-86.5786036,34.7631463
