,amenity,longitude,latitude
0,place_of_worship,-86.2520369,39.7057694
1,place_of_worship,-86.0086086,39.7956796
2,place_of_worship,-86.069226,39.8543361
3,place_of_worship,-86.0644288,39.6744896
4,place_of_worship,-86.0660954,39.7944864
5,school,-86.0710957,39.8097638
6,school,-86.1327638,39.7767095
7,school,-86.0760955,39.7117109
8,school,-86.0008158,39.8225408
9,place_of_worship,-85.9910935,39.8339295
10,school,-86.2905466,39.7847658
11,place_of_worship,-86.0704649,39.8537875
12,place_of_worship,-86.08554,39.7483766
13,place_of_worship,-86.1690921,39.8820084
14,place_of_worship,-86.018872,39.6739341
15,grave_yard,-85.9422041,39.920039
16,school,-86.0568898,39.8338617
17,school,-86.1277636,39.7064334
18,school,-86.1278652,39.7482672
19,place_of_worship,-85.974704,39.7183771
20,school,-86.0215269,39.8069542
21,school,-86.051373,39.6681009
22,school,-86.1530423,39.6844894
23,school,-86.1385974,39.6775452
24,grave_yard,-86.1885988,39.6761563
25,school,-86.2582325,39.8805315
26,place_of_worship,-86.2888798,39.7778216
27,school,-86.2880465,39.7819881
28,school,-86.1077632,39.6908781
29,place_of_worship,-86.0149835,39.8861503
30,school,-86.3224926,39.8142101
31,grave_yard,-86.1572087,39.7275441
32,school,-86.0345732,39.8846082
33,school,-86.1977668,39.8569858
34,place_of_worship,-86.0810969,39.8972616
35,grave_yard,-86.1719321,39.8203198
36,grave_yard,-86.3080488,39.8878196
37,school,-86.2289311,39.7123253
38,school,-86.1724887,39.8892072
39,place_of_worship,-86.0666514,39.8411519
40,school,-86.2349908,39.896152
41,place_of_worship,-86.0108188,39.8189258
42,school,-86.0922342,39.8674165
43,school,-86.1363751,39.6875449
44,grave_yard,-85.9888717,39.8950389
45,school,-86.1358191,39.7500435
46,school,-86.1108193,39.834208
47,school,-86.1560709,39.7257336
48,place_of_worship,-86.034151,39.9044832
49,place_of_worship,-86.0076503,39.7888013
50,place_of_worship,-86.2113785,39.8683745
51,grave_yard,-86.117764,39.8319858
52,school,-86.2469339,39.7844877
53,grave_yard,-86.2238775,39.7692102
54,place_of_worship,-86.1602649,39.6447681
55,school,-86.2911021,39.7800437
56,school,-86.1538753,39.7367106
57,grave_yard,-86.2061004,39.8569859
58,place_of_worship,-86.0633171,39.7414323
59,school,-85.9838706,39.755876
60,place_of_worship,-86.0974851,39.6883782
61,place_of_worship,-86.1152632,39.7180998
62,school,-86.1913782,39.8908739
63,school,-86.1327639,39.7805983
64,grave_yard,-86.1641534,39.7353217
65,school,-86.1191526,39.8030977
66,grave_yard,-86.1622088,39.7330996
67,school,-86.0386902,39.7811813
68,school,-86.1319306,39.6672676
69,grave_yard,-85.9622037,39.7700424
70,place_of_worship,-86.0619287,39.8153192
71,school,-85.9763712,39.8547623
72,school,-86.2903216,39.8013205
73,school,-86.2800561,39.7347554
74,place_of_worship,-86.0735953,39.7292104
75,grave_yard,-85.9735936,39.9019834
76,school,-86.07804,39.7694871
77,school,-86.0813742,39.8522628
78,school,-86.2515805,39.88035
79,school,-86.1658203,39.6889338
80,school,-86.1417286,39.7460177
81,school,-86.0644283,39.7650427
82,school,-86.0499834,39.7405989
83,school,-86.1069299,39.8008754
84,grave_yard,-85.9730372,39.7564316
85,school,-86.1502646,39.6525457
86,place_of_worship,-86.0124827,39.7019887
87,place_of_worship,-86.2927686,39.763933
88,place_of_worship,-86.2404954,39.706914
89,school,-86.2777678,39.7505998
90,grave_yard,-85.9477597,39.8842065
91,school,-86.1441533,39.7961535
92,grave_yard,-86.2172106,39.7692102
93,grave_yard,-86.2505449,39.6703232
94,place_of_worship,-86.2907729,39.859863
95,place_of_worship,-86.2463781,39.6714343
96,grave_yard,-85.9588702,39.7503207
97,school,-86.0388722,39.7197661
98,place_of_worship,-86.1292092,39.9178199
99,school,-86.1291542,39.9114284
100,place_of_worship,-86.1138756,39.8828179
101,place_of_worship,-86.0736785,39.8397966
102,school,-86.1320513,39.9088709
103,grave_yard,-85.9558153,39.8853174
104,place_of_worship,-86.0268244,39.7959653
105,school,-86.1722106,39.8694853
106,place_of_worship,-86.0852626,39.7958754
107,school,-86.1363753,39.8008756
108,school,-86.1360974,39.6714342
109,school,-86.1191525,39.6833783
110,school,-86.2544355,39.8755971
111,grave_yard,-86.2919373,39.9053191
112,grave_yard,-85.9802595,39.7394876
113,place_of_worship,-86.1730442,39.8858738
114,school,-86.1316527,39.780876
115,place_of_worship,-86.0883186,39.8261524
116,place_of_worship,-86.1505424,39.6503236
117,school,-86.1380418,39.6878227
118,school,-86.1347083,39.780876
119,school,-86.3173009,39.80937
120,school,-86.1587739,39.7464998
121,school,-86.1580425,39.7853206
122,place_of_worship,-86.0833186,39.841152
123,school,-86.2260996,39.7233777
124,school,-86.1694317,39.6456015
125,school,-86.1683204,39.7797652
126,school,-86.2519437,39.786763
127,school,-86.1372357,39.7249035
128,school,-86.1484827,39.8324894
129,school,-86.1610462,39.7645892
130,school,-86.0510947,39.7289326
131,school,-86.2593191,39.746934
132,school,-86.1099855,39.6892116
133,place_of_worship,-86.1613751,39.9131576
134,school,-86.1608219,39.9133731
135,school,-86.1472087,39.6786562
136,school,-86.1495335,39.7719762
137,school,-86.0974859,39.8567073
138,school,-86.1991559,39.8658745
139,school,-86.1174856,39.7755984
140,school,-86.1166535,39.8847623
141,school,-86.1343865,39.7913432
142,school,-86.1580422,39.7147666
143,school,-86.0210941,39.8047636
144,school,-86.1600495,39.8399759
145,place_of_worship,-86.11693,39.6931004
146,grave_yard,-85.9927608,39.9050386
147,school,-86.2447112,39.7269888
148,school,-86.042206,39.8197634
149,school,-86.1099851,39.7383769
150,school,-86.0885956,39.7436545
151,school,-86.0498712,39.882069
152,school,-86.1422086,39.6711564
153,school,-86.1160969,39.6589345
154,school,-86.1002632,39.6664343
155,school,-86.1169297,39.7442102
156,place_of_worship,-86.1437738,39.6358498
157,grave_yard,-86.1194307,39.8319858
158,place_of_worship,-86.1397085,39.6853228
159,place_of_worship,-86.1778288,39.6793372
160,grave_yard,-85.9763715,39.8969834
161,school,-86.0858186,39.83393
162,place_of_worship,-86.1510993,39.9119841
163,school,-86.0170779,39.7905434
164,place_of_worship,-86.1179033,39.9132575
165,school,-86.1360972,39.7081001
166,school,-86.0660954,39.8003196
167,school,-86.0005379,39.7905986
168,grave_yard,-86.2063782,39.8539304
169,school,-86.1692623,39.7829387
170,place_of_worship,-86.2905462,39.7572664
171,school,-86.2763792,39.7708771
172,school,-86.1819333,39.8853184
173,place_of_worship,-86.174353,39.9265541
174,grave_yard,-85.9805373,39.7605982
175,school,-86.1475903,39.7999047
176,school,-86.1149856,39.6833783
177,place_of_worship,-86.0095022,39.7258369
178,school,-86.2786014,39.6533791
179,school,-86.2705455,39.6894896
180,school,-86.2901768,39.8009476
181,school,-86.2477673,39.7847655
182,school,-86.1263538,39.9105639
183,place_of_worship,-86.2184855,39.881678
184,place_of_worship,-86.1024855,39.806153
185,place_of_worship,-86.2328716,39.8960922
186,place_of_worship,-85.9995037,39.7963354
187,place_of_worship,-86.1247083,39.655879
188,place_of_worship,-86.1677649,39.6711564
189,place_of_worship,-86.2861016,39.6514347
190,place_of_worship,-86.0569288,39.8403185
191,place_of_worship,-86.1255416,39.6647677
192,place_of_worship,-86.1210968,39.6986557
193,place_of_worship,-86.1110963,39.7400436
194,place_of_worship,-86.054428,39.7308769
195,place_of_worship,-86.0252605,39.7430988
196,place_of_worship,-86.101652,39.6875449
197,place_of_worship,-86.093318,39.7311549
198,place_of_worship,-86.0819289,39.7150441
199,place_of_worship,-86.0855402,39.7192107
200,place_of_worship,-86.1588759,39.6483791
201,place_of_worship,-86.1016518,39.7139331
202,place_of_worship,-86.081929,39.7100443
203,place_of_worship,-86.3180471,39.7319892
204,place_of_worship,-86.2811014,39.6914341
205,place_of_worship,-86.277768,39.6911563
206,place_of_worship,-86.1394306,39.7061556
207,place_of_worship,-86.2891574,39.7680996
