,amenity,longitude,latitude
0,fuel,-122.036164,47.5299296
1,pharmacy,-122.0603568,47.5465756
2,fast_food,-122.053496,47.5449366
3,fast_food,-122.0558112,47.5451693
4,fast_food,-122.049134,47.5446294
5,restaurant,-122.0363951,47.5303803
6,bank,-122.0549789,47.5450515
7,pharmacy,-122.0546167,47.5441508
8,pharmacy,-122.0372943,47.5452977
9,bar,-122.0428052,47.5513843
10,bank,-122.0367828,47.5331931
11,restaurant,-122.03637,47.5315491
12,restaurant,-122.047171,47.5442281
13,fuel,-122.0359822,47.5384558
14,bicycle_parking,-122.0616822,47.5417227
15,theatre,-122.0368435,47.5330451
16,toilets,-122.0668016,47.5557322
17,toilets,-122.07082,47.556259
18,toilets,-122.0682944,47.5532121
19,parking_entrance,-122.0500749,47.5472748
20,bar,-122.0364045,47.5305818
21,restaurant,-122.0363669,47.5308665
22,restaurant,-122.0363832,47.5312742
23,restaurant,-122.0363996,47.5311019
24,fast_food,-122.0363854,47.5313303
25,theatre,-122.0363852,47.5316592
26,restaurant,-122.0363651,47.5322061
27,bar,-122.0366896,47.5313144
28,bar,-122.0366946,47.5311883
29,social_centre,-122.0367016,47.5321946
30,restaurant,-122.0366805,47.5317662
31,post_box,-122.035785,47.5300477
32,pub,-122.035319,47.5298802
33,restaurant,-122.0360531,47.5302291
34,dojo,-122.0352374,47.5297676
35,restaurant,-122.0352487,47.5298248
36,restaurant,-122.0413893,47.5509745
37,fuel,-122.0365967,47.5442952
38,restaurant,-122.056098,47.5502213
39,restaurant,-122.0549427,47.5513256
40,restaurant,-122.0620105,47.5460205
41,restaurant,-122.0617208,47.5460169
42,toilets,-122.0034691,47.5416683
43,bicycle_parking,-122.0616821,47.5416578
44,bank,-122.0382611,47.5459691
45,fast_food,-122.038541,47.5460994
46,fast_food,-122.039528,47.547053
47,fuel,-122.03672,47.538772
48,bench,-122.0040673,47.5261706
49,bench,-122.0028083,47.5263505
50,bench,-122.0040672,47.5264154
51,bench,-122.000465,47.5268219
52,bench,-122.0040438,47.5270709
53,bench,-121.9988556,47.5272895
54,bench,-121.9975991,47.5276769
55,bench,-121.9970381,47.5278374
56,bench,-122.0031187,47.527883
57,bench,-122.002128,47.5279178
58,bench,-121.999163,47.52803
59,bench,-122.0005284,47.5280854
60,bench,-121.9987789,47.5280996
61,bench,-122.0015823,47.5281486
62,bench,-121.9968781,47.5284316
63,bench,-121.9987765,47.5286231
64,bench,-122.0600808,47.5592688
65,restaurant,-122.0535022,47.5445806
66,fast_food,-122.019228,47.5431366
67,vending_machine,-122.016158,47.5407688
68,bicycle_parking,-121.9958237,47.5295053
69,toilets,-121.99616,47.5292302
70,bench,-121.9961535,47.5293929
71,bench,-121.9960949,47.5293962
72,parking_entrance,-122.0171245,47.5436501
73,bench,-122.0008004,47.5425881
74,bench,-122.0007777,47.5424613
75,bench,-122.0006897,47.542414
76,bench,-122.0005088,47.5424573
77,bench,-122.0181336,47.5398547
78,fast_food,-122.018669,47.5418616
79,bench,-121.9974693,47.5457262
80,bench,-121.9974684,47.5455481
81,bench,-121.9967182,47.5456515
82,bench,-121.9977919,47.5457174
83,bench,-121.9977859,47.5455404
84,bench,-121.9986851,47.5456232
85,bench,-122.0196102,47.5396456
86,bench,-122.0196062,47.5395895
87,bench,-122.0080346,47.5478309
88,bench,-122.0080607,47.5477974
89,bench,-122.0080469,47.5477655
90,bench,-121.997145,47.544027
91,bench,-121.9972711,47.5441791
92,bench,-121.9972979,47.5439301
93,bench,-121.9954161,47.5410431
94,bench,-121.993569,47.5444974
95,bench,-121.9927527,47.5461607
96,bench,-121.9963162,47.5477146
97,bench,-121.9952797,47.5477957
98,bench,-121.9963203,47.5477916
99,bench,-121.9953035,47.5478643
100,bench,-121.9957407,47.5479802
101,bench,-121.9959244,47.5479666
102,bench,-121.9958587,47.5475783
103,bench,-121.9957005,47.5475828
104,bench,-122.0173944,47.540011
105,bench,-122.0173949,47.5399944
106,bench,-122.0173998,47.5397228
107,bench,-122.0173998,47.5397395
108,bench,-122.0173958,47.5401032
109,bench,-122.0173949,47.5400871
110,bench,-122.0173919,47.5403534
111,bench,-122.0173919,47.5403734
112,bench,-122.0166396,47.5402458
113,bench,-122.0228006,47.5357306
114,charging_station,-122.0177994,47.5444683
115,bench,-121.9989904,47.5483369
116,bench,-121.9990618,47.5484146
117,bench,-121.9966334,47.5475957
118,bench,-121.9966739,47.5475777
119,bench,-121.9965868,47.549795
120,bench,-122.0114342,47.5454952
121,bench,-122.0113681,47.5454939
122,bench,-122.0113714,47.5457162
123,restaurant,-122.0506759,47.5441243
124,restaurant,-122.0476701,47.5429799
125,atm,-122.040668,47.540026
126,toilets,-122.0716599,47.541624
127,bench,-121.9889344,47.553361
128,bench,-121.9889862,47.5533349
129,parking_entrance,-122.019056,47.5454745
130,parking_entrance,-122.0197926,47.5454794
131,social_facility,-122.034935,47.5286811
132,cafe,-122.035281,47.5284949
133,restaurant,-122.0362117,47.5289981
134,restaurant,-122.0366643,47.5322656
135,restaurant,-122.0366841,47.5329133
136,atm,-122.0366405,47.5330994
137,restaurant,-122.0362579,47.5368897
138,doctors,-122.0374285,47.5336768
139,post_box,-122.03655,47.5343748
140,recycling,-122.0362454,47.5356504
141,veterinary,-122.0378684,47.5381958
142,cafe,-122.0380438,47.5386121
143,cafe,-122.0362244,47.5359225
144,fuel,-122.0367257,47.5377058
145,restaurant,-122.0363531,47.532679
146,recycling,-122.0360138,47.5381167
147,dentist,-122.0363619,47.5325061
148,atm,-122.0368422,47.5375418
149,fast_food,-122.0401332,47.5506278
