,amenity,longitude,latitude
0,place_of_worship,-95.243268,29.7702272
1,place_of_worship,-95.2402124,29.765783
2,place_of_worship,-95.2460459,29.7605054
3,place_of_worship,-95.2360456,29.7630052
4,place_of_worship,-95.2449348,29.7635608
5,place_of_worship,-95.2399346,29.765783
6,place_of_worship,-95.245412,29.760548
7,place_of_worship,-95.249,29.7675
8,fire_station,-95.2478658,29.7690513
9,fire_station,-95.2477,29.7691
10,library,-95.2402,29.7731
11,police,-95.2447422,29.7680944
12,townhall,-95.2468996,29.7668965
13,police,-95.2453,29.7679
14,pharmacy,-95.2485775,29.7728943
15,bank,-95.245112,29.7729968
16,clinic,-95.2367829,29.7728593
17,clinic,-95.2363506,29.7728597
18,clinic,-95.2369809,29.7731083
19,dentist,-95.2364662,29.7728596
20,cafe,-95.2332996,29.7626765
21,restaurant,-95.2333177,29.7629568
22,fast_food,-95.2299025,29.7715496
23,fast_food,-95.247861,29.768525
24,fast_food,-95.2454106,29.767864
25,fast_food,-95.2433571,29.7678955
26,fast_food,-95.237349,29.767969
