,amenity,longitude,latitude
0,school,-84.1460487,39.6786704
1,school,-84.1966066,39.7217258
2,school,-84.1734439,39.7053485
3,school,-84.172161,39.7039481
4,place_of_worship,-84.1252148,39.6825594
5,place_of_worship,-84.1711224,39.7037939
6,place_of_worship,-84.1624384,39.697837
7,place_of_worship,-84.1261532,39.6654803
8,place_of_worship,-84.1691053,39.6933925
9,place_of_worship,-84.1441043,39.6858926
10,school,-84.1174367,39.6789483
11,school,-84.1960508,39.7070035
12,fuel,-84.2017173,39.7084855
13,fuel,-84.1679765,39.6900931
14,fuel,-84.1681966,39.6892317
15,fuel,-84.1070961,39.7251864
16,place_of_worship,-84.1204211,39.7031914
17,fuel,-84.1333031,39.6593288
18,fuel,-84.1268441,39.6627528
19,fuel,-84.1269534,39.6611566
20,bank,-84.1711546,39.704904
21,restaurant,-84.1639878,39.6881077
22,childcare,-84.131575,39.6596241
23,bicycle_repair_station,-84.1143078,39.6956009
24,loading_dock,-84.200896,39.711884
25,fast_food,-84.1682165,39.6847548
26,restaurant,-84.2013674,39.7093116
27,restaurant,-84.1663139,39.6885705
28,toilets,-84.1640226,39.6882125
29,bicycle_repair_station,-84.1658409,39.6979483
30,toilets,-84.1592433,39.6974312
31,drinking_water,-84.1574173,39.7170378
32,fast_food,-84.1463724,39.6898222
33,restaurant,-84.1230198,39.7018675
34,doctors,-84.1624644,39.669626
35,restaurant,-84.1682864,39.6850476
36,fast_food,-84.1683246,39.6851632
37,ice_cream,-84.1067785,39.6966125
38,bank,-84.1068081,39.6963584
39,fuel,-84.1065096,39.6978652
40,doctors,-84.1687826,39.682889
41,bench,-84.1866725,39.7161901
42,bench,-84.1817572,39.7137528
43,bench,-84.1813689,39.7134596
44,restaurant,-84.2012041,39.7126777
45,dentist,-84.1626824,39.6896826
46,doctors,-84.1436917,39.6889865
47,doctors,-84.1427269,39.6889756
48,restaurant,-84.1423915,39.6889483
49,fast_food,-84.1332605,39.6890649
50,restaurant,-84.1664034,39.68748
51,bench,-84.1896946,39.7154948
52,parking,-84.1883463,39.716214
53,parking,-84.1787441,39.7104747
54,parking,-84.1790566,39.7106584
55,parking,-84.1794026,39.7105439
56,parking,-84.1795287,39.7102292
57,parking,-84.1812801,39.7128321
58,parking,-84.1856508,39.7149717
59,parking,-84.1943532,39.7154071
60,parking,-84.1794884,39.7071949
61,restaurant,-84.1245668,39.7012241
62,restaurant,-84.1690736,39.6823748
63,bank,-84.1680394,39.6840445
64,doctors,-84.168841,39.6834258
65,school,-84.1692798,39.6827284
66,dentist,-84.1686695,39.681903
67,events_venue,-84.2008299,39.7051129
68,restaurant,-84.1454485,39.6873472
69,post_box,-84.1358005,39.6876959
70,restaurant,-84.1446646,39.6899418
71,waste_disposal,-84.1319102,39.6878461
72,waste_disposal,-84.131882,39.6878213
73,waste_disposal,-84.1323125,39.6878585
74,waste_disposal,-84.1323541,39.6878657
75,parking_space,-84.132,39.688261
76,parking_space,-84.1319813,39.6882733
77,parking_space,-84.1319491,39.6882991
78,parking_space,-84.1313027,39.6878605
79,waste_disposal,-84.1325345,39.6876859
80,waste_disposal,-84.1325372,39.6876436
81,parking_space,-84.1324044,39.6880843
82,parking_space,-84.1324124,39.6880399
83,parking_space,-84.1324312,39.6879965
84,parking_space,-84.1324446,39.6879553
85,parking_space,-84.1335028,39.6881968
86,restaurant,-84.1261564,39.6596345
87,restaurant,-84.1666321,39.6874941
88,fuel,-84.127129,39.6613613
89,pharmacy,-84.1435589,39.6882506
90,fuel,-84.1487297,39.7035488
91,parking_space,-84.165536,39.6896839
92,parking_space,-84.165536,39.689662
93,parking_space,-84.165535,39.6896362
94,waste_disposal,-84.1555073,39.6954983
95,waste_disposal,-84.1587384,39.6950495
96,bar,-84.1447412,39.6897215
97,dentist,-84.1449022,39.6869742
98,dojo,-84.1458222,39.6884583
99,studio,-84.1614727,39.668626
100,waste_disposal,-84.2018204,39.7094514
101,parking_entrance,-84.1958457,39.7232141
102,parking_entrance,-84.1958137,39.7231176
