,amenity,longitude,latitude
0,toilets,-105.9691431,39.6073244
1,fountain,-105.9684242,39.6070445
2,restaurant,-105.9540065,39.6089526
3,fuel,-105.9756551,39.6066192
4,waste_basket,-105.9664614,39.6067951
5,bicycle_parking,-105.9652606,39.6073436
6,bbq,-105.9645008,39.6066623
7,bench,-105.9670734,39.606778
8,bicycle_parking,-105.9645467,39.6067248
9,waste_basket,-105.9672868,39.6073681
10,recycling,-105.9665102,39.607286
11,bicycle_parking,-105.966871,39.6072289
12,bench,-105.9687453,39.607367
13,waste_basket,-105.9691166,39.6072831
14,restaurant,-105.9689851,39.6073501
15,bicycle_parking,-105.9678792,39.6073971
16,cafe,-105.968848,39.6074412
17,bench,-105.9675843,39.6073103
18,recycling,-105.9687938,39.6075215
19,bench,-105.9691861,39.6072534
20,bbq,-105.9669373,39.6068552
21,bench,-105.9856606,39.6004643
22,bench,-105.9827749,39.60112
23,bench,-105.9862219,39.6004113
24,bench,-105.9867037,39.6004609
25,waste_disposal,-105.9259635,39.6056851
26,waste_disposal,-105.9278838,39.6041196
27,toilets,-105.9419734,39.5795381
28,cafe,-105.9478955,39.6089352
29,bench,-105.9429854,39.6071356
30,bench,-105.9429711,39.607156
31,bench,-105.9430089,39.607178
32,bench,-105.9430252,39.6071614
33,bench,-105.943018,39.6071394
