,amenity,longitude,latitude
0,grave_yard,-82.479592,36.5301021
1,grave_yard,-82.5976539,36.5684333
2,school,-82.5537625,36.5359343
3,grave_yard,-82.5570952,36.495657
4,place_of_worship,-82.5891086,36.5706527
5,grave_yard,-82.6209881,36.5564886
6,place_of_worship,-82.5437626,36.5653787
7,place_of_worship,-82.5799064,36.5739797
8,hospital,-82.554874,36.5542675
9,grave_yard,-82.5951245,36.5545625
10,place_of_worship,-82.5951538,36.5678779
11,grave_yard,-82.4912595,36.5359352
12,school,-82.5515404,36.5467676
13,school,-82.5187607,36.5328794
14,school,-82.5344989,36.5397231
15,place_of_worship,-82.4884821,36.5612128
16,school,-82.3901427,36.529547
17,school,-82.5899883,36.5552209
18,school,-82.5310074,36.535109
19,place_of_worship,-82.4912592,36.5231577
20,school,-82.5304279,36.5276015
21,place_of_worship,-82.6026536,36.5348224
22,place_of_worship,-82.4968153,36.5378797
23,place_of_worship,-82.5182052,36.5364905
24,place_of_worship,-82.5498735,36.5412121
25,place_of_worship,-82.5457065,36.5370455
26,place_of_worship,-82.555707,36.5367677
27,place_of_worship,-82.5487623,36.5395454
28,place_of_worship,-82.5565407,36.5506564
29,place_of_worship,-82.5187608,36.5356572
30,place_of_worship,-82.3895871,36.5301026
31,place_of_worship,-82.5209829,36.5248238
32,place_of_worship,-82.5064636,36.5467406
33,place_of_worship,-82.5490401,36.5392677
34,place_of_worship,-82.5796501,36.5605646
35,place_of_worship,-82.5334838,36.5398235
36,place_of_worship,-82.5170938,36.5245461
37,place_of_worship,-82.5232053,36.5314904
38,place_of_worship,-82.5357061,36.5387124
39,place_of_worship,-82.5920979,36.5562113
40,grave_yard,-82.6170989,36.5473221
41,school,-82.5648745,36.5589895
42,school,-82.5123716,36.5339906
43,school,-82.539873,36.5392679
44,post_office,-82.5621405,36.5490626
45,school,-82.521261,36.5392682
46,arts_centre,-82.557374,36.5487119
47,fast_food,-82.5556908,36.5060131
48,restaurant,-82.5565727,36.5059166
49,fast_food,-82.3895545,36.534095
50,parking,-82.6123537,36.5494661
51,parking,-82.589506,36.5504167
52,college,-82.5630846,36.5480111
53,fuel,-82.3901455,36.5335339
54,restaurant,-82.5237533,36.5404204
55,restaurant,-82.5212347,36.5286964
56,restaurant,-82.5776791,36.5580462
57,fast_food,-82.5282947,36.5314731
58,restaurant,-82.528756,36.5313847
59,restaurant,-82.5184455,36.5460755
60,restaurant,-82.5810172,36.551315
61,fast_food,-82.527482,36.5317662
62,restaurant,-82.5795,36.5577343
63,restaurant,-82.4985565,36.5474236
64,bank,-82.5052486,36.5459885
65,restaurant,-82.5350184,36.5284289
66,restaurant,-82.535174,36.5282888
67,restaurant,-82.561038,36.5494422
68,restaurant,-82.5662316,36.5059544
69,fast_food,-82.553684,36.5064362
70,fast_food,-82.5539873,36.5050069
71,fast_food,-82.5592766,36.5026677
72,fast_food,-82.558826,36.5028617
73,fast_food,-82.5672784,36.4993759
74,fuel,-82.5672863,36.4996304
75,post_office,-82.5325081,36.5287813
76,fast_food,-82.5205764,36.5430321
77,restaurant,-82.5190751,36.5463137
78,restaurant,-82.5329046,36.5527577
79,restaurant,-82.5243005,36.5400217
80,toilets,-82.6103706,36.5089884
81,fuel,-82.4298112,36.5044002
82,toilets,-82.6090927,36.5095257
83,restaurant,-82.5612581,36.5456519
84,restaurant,-82.5607989,36.5469033
85,bank,-82.562494,36.544755
86,cafe,-82.5599245,36.5462461
87,restaurant,-82.5603161,36.5474959
88,restaurant,-82.5599774,36.5441902
89,restaurant,-82.5655054,36.5525722
90,pharmacy,-82.5279187,36.5300466
91,bench,-82.5470761,36.4721845
92,parking,-82.6409448,36.560566
93,post_office,-82.5184086,36.5470769
94,loading_dock,-82.5680684,36.5632725
95,fast_food,-82.516633,36.5456602
96,fast_food,-82.4922134,36.5492198
97,restaurant,-82.491597,36.5497037
98,fast_food,-82.5158533,36.5473612
99,fast_food,-82.5156104,36.5472486
100,fast_food,-82.5155053,36.5472055
101,restaurant,-82.5153209,36.5471605
102,fast_food,-82.5521382,36.5599582
103,fast_food,-82.5658449,36.5522819
104,restaurant,-82.5657608,36.5523907
105,restaurant,-82.6004583,36.556531
106,ice_cream,-82.6008022,36.5560289
107,restaurant,-82.5669419,36.5752359
108,fast_food,-82.5792428,36.5577121
109,fast_food,-82.6217997,36.5520003
110,pharmacy,-82.6362226,36.551102
111,bank,-82.6346159,36.5514246
112,restaurant,-82.5795421,36.5578262
113,loading_dock,-82.5202818,36.5088652
114,loading_dock,-82.519457,36.5078886
115,bench,-82.6107007,36.509462
116,bench,-82.6103198,36.509559
117,bench,-82.610183,36.5099773
118,bench,-82.6111003,36.5090007
119,bench,-82.6113511,36.5089408
120,bench,-82.6096841,36.5103087
121,pharmacy,-82.5758101,36.5587893
122,cinema,-82.520063,36.5287212
123,fast_food,-82.6026227,36.5569568
124,atm,-82.5577509,36.5454197
125,waste_disposal,-82.6358353,36.5535737
126,waste_disposal,-82.6366144,36.5541357
127,waste_disposal,-82.6365869,36.5541112
128,letter_box,-82.6380455,36.5539029
129,waste_disposal,-82.6389459,36.5526919
130,waste_disposal,-82.6385868,36.5536367
131,waste_disposal,-82.63854,36.5536526
132,letter_box,-82.6363915,36.5534361
133,waste_disposal,-82.6403541,36.5524861
134,letter_box,-82.6408558,36.5528946
135,waste_disposal,-82.6399791,36.5535689
136,waste_disposal,-82.6399288,36.5535852
137,letter_box,-82.6398765,36.5536055
138,letter_box,-82.6364875,36.5541005
139,cafe,-82.4942721,36.5518659
140,fast_food,-82.4944087,36.5518165
141,fast_food,-82.5010943,36.482777
142,pharmacy,-82.4993961,36.4831192
143,restaurant,-82.4992506,36.4830624
144,fast_food,-82.4989374,36.480996
145,fast_food,-82.5023985,36.4838248
146,fast_food,-82.5024464,36.4837665
147,post_office,-82.5024964,36.4837211
148,restaurant,-82.4975924,36.4818835
149,waste_disposal,-82.6377219,36.552896
150,waste_disposal,-82.6376661,36.5528863
151,waste_disposal,-82.6373553,36.5542017
152,waste_disposal,-82.637312,36.5541931
153,letter_box,-82.6402888,36.5524306
154,waste_disposal,-82.6395263,36.5523733
155,waste_disposal,-82.6394896,36.5523705
156,letter_box,-82.6391245,36.5524287
157,letter_box,-82.6394013,36.5528911
158,waste_disposal,-82.6351193,36.5532871
159,waste_disposal,-82.6344816,36.5546002
160,waste_disposal,-82.6336363,36.5536064
161,clinic,-82.515733,36.5514274
162,clinic,-82.5154764,36.551495
163,waste_disposal,-82.637436,36.5506392
164,compressed_air,-82.429353,36.5045539
165,atm,-82.4297893,36.5041076
166,fast_food,-82.4296044,36.504152
167,fast_food,-82.4297274,36.5041208
168,fountain,-82.6016803,36.5405964
169,fountain,-82.6023674,36.5407022
170,letter_box,-82.5116542,36.5130538
171,bicycle_parking,-82.5527384,36.5400056
172,bicycle_parking,-82.5530485,36.5404728
173,bicycle_parking,-82.5530501,36.5362783
174,bicycle_parking,-82.5160943,36.5472371
175,bicycle_parking,-82.5507763,36.5335855
176,bicycle_parking,-82.5514227,36.5354869
177,bicycle_parking,-82.5605912,36.5440839
178,bicycle_parking,-82.5612297,36.5458105
179,bicycle_parking,-82.5594219,36.5477331
180,bicycle_parking,-82.5601695,36.546983
181,bicycle_parking,-82.5570813,36.5501491
182,bicycle_parking,-82.5591656,36.5485206
183,bicycle_parking,-82.5611879,36.5461907
184,fuel,-82.5672243,36.5761783
185,fuel,-82.4946681,36.5310098
186,fuel,-82.5036101,36.5294824
187,events_venue,-82.5593719,36.5439833
188,fast_food,-82.5192669,36.5420486
189,bicycle_parking,-82.5640837,36.5497211
190,bicycle_parking,-82.5606725,36.5477838
191,bicycle_parking,-82.5277539,36.5299982
192,bicycle_parking,-82.5618815,36.5483718
193,bicycle_parking,-82.5634135,36.5480589
194,bicycle_parking,-82.5621987,36.5471447
195,bicycle_parking,-82.5611304,36.5476712
196,bicycle_parking,-82.5614909,36.5469755
197,bicycle_parking,-82.5578694,36.5448243
198,bicycle_parking,-82.5596082,36.5456036
199,bicycle_parking,-82.5599379,36.5458552
200,bicycle_parking,-82.560615,36.5462126
201,bicycle_parking,-82.5281822,36.531821
202,cafe,-82.5600268,36.5470716
203,bicycle_parking,-82.5256684,36.5300525
204,bicycle_parking,-82.535338,36.5395057
205,bicycle_parking,-82.561749,36.5450784
206,bicycle_parking,-82.4938715,36.5504072
207,bicycle_parking,-82.4941379,36.5517987
208,college,-82.5000071,36.5598775
209,bicycle_parking,-82.4840082,36.5563033
