,amenity,longitude,latitude
0,school,-97.8597202,27.5205909
1,school,-97.8505535,27.526424
2,school,-97.8502756,27.5233687
3,school,-97.880554,27.5097579
4,school,-97.8672204,27.5250351
5,school,-97.8711094,27.5305905
6,school,-97.8635614,27.5062128
7,school,-97.8644622,27.5250229
8,school,-97.850025,27.5243566
9,school,-97.88074,27.5098842
10,school,-97.8728511,27.5229884
11,school,-97.8542554,27.4954763
12,school,-97.8670454,27.5250344
13,school,-97.8603452,27.5113827
14,school,-97.8500604,27.5252722
15,place_of_worship,-97.8474978,27.5230909
16,place_of_worship,-97.8776852,27.5291333
17,school,-97.8669427,27.5108691
18,school,-97.8725172,27.5180484
19,school,-97.8816641,27.5219971
20,school,-97.84575,27.5000038
21,school,-97.871857,27.5181476
22,fire_station,-97.8620597,27.5174946
23,fire_station,-97.8674402,27.5189652
24,police,-97.8458409,27.5165474
25,police,-97.8474547,27.5166412
26,bank,-97.8677835,27.5169164
27,pharmacy,-97.863026,27.5160457
28,parking,-97.8794314,27.5242543
29,cinema,-97.8429673,27.5008137
30,fast_food,-97.8813222,27.523318
31,bar,-97.84253,27.5004519
32,fuel,-97.8560864,27.492027
33,fast_food,-97.857781,27.4961272
34,restaurant,-97.8562334,27.4960975
35,fast_food,-97.8563756,27.4969088
36,fast_food,-97.8550874,27.4905833
37,fast_food,-97.8553885,27.4908102
38,fast_food,-97.8555217,27.5057752
39,fast_food,-97.8549638,27.5065484
40,fast_food,-97.8557585,27.5110938
41,fast_food,-97.855716,27.5114595
42,fuel,-97.8562607,27.5119818
43,fast_food,-97.8556361,27.5135246
44,fast_food,-97.8556921,27.5154329
45,fast_food,-97.8569378,27.5154454
46,fast_food,-97.8550964,27.5154913
47,fast_food,-97.8612996,27.515383
48,fast_food,-97.8611014,27.5153673
49,fuel,-97.8673856,27.5065333
50,car_wash,-97.8564898,27.4922709
51,fast_food,-97.8510787,27.4921934
52,restaurant,-97.8556506,27.5042484
53,fast_food,-97.8557404,27.5043065
54,restaurant,-97.8555751,27.502775
55,restaurant,-97.8569502,27.499539
56,charging_station,-97.8444129,27.4938142
